trade_id,system_id,entry_datetime,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,gross_pips,spread_at_entry,net_pips,pnl_usd,spread_cost_usd,signal_candle_datetime,signal_candle_body_pips,signal_candle_range_pips,mfe_pips,mae_pips,time_to_mfe_minutes,trade_duration_minutes,position_units,hour_utc,day_of_week,session_range_at_entry,compression_range_pips,three_candle_total_pips,equity_after,drawdown_usd,drawdown_pct
3827,2,2025-06-05 00:46:00+00:00,2025-06-05 00:51:00+00:00,long,142.747,142.697,142.697,142.77700000000002,SL hit,-5.000000000001137,1.2000000000000457,-6.200000000001182,-43.43348721865386,8.406481397157528,2025-06-05 00:45:00+00:00,1.3999999999981583,4.999999999998295,1.4999999999986358,7.500000000001705,3.0,5.0,100000,0,Thursday,,,4.2999999999977945,51703.049321227685,48249.55966043128,48.27243645964754
3828,2,2025-06-05 01:03:00+00:00,2025-06-05 01:04:00+00:00,short,142.734,142.704,142.78400000000002,142.704,TP hit,3.0000000000001137,1.6999999999995907,1.300000000000523,9.107850967537678,11.910266649849305,2025-06-05 01:02:00+00:00,1.8999999999977035,3.2000000000010687,16.30000000000109,0.0,1.0,1.0,100000,1,Thursday,,,6.89999999999884,51712.15717219522,48240.451809463746,48.26332429033017
3829,2,2025-06-05 01:15:00+00:00,2025-06-05 01:17:00+00:00,short,142.734,142.78400000000002,142.78400000000002,142.704,SL hit,-5.000000000001137,1.8999999999977035,-6.89999999999884,-48.341670519980106,13.311474490995161,2025-06-05 01:14:00+00:00,0.6000000000000227,3.299999999998704,0.0,6.399999999999295,,2.0,100000,1,Thursday,,,8.200000000002206,51663.81550167524,48288.793479983724,48.31168888132233
3830,2,2025-06-05 01:29:00+00:00,2025-06-05 01:30:00+00:00,long,142.809,142.839,142.759,142.839,TP hit,3.0000000000001137,1.500000000001478,1.4999999999986358,10.503539692866944,10.503539692886848,2025-06-05 01:28:00+00:00,2.5000000000005684,4.599999999999227,4.099999999999682,0.0,1.0,1.0,100000,1,Thursday,,,7.600000000002183,51674.31904136811,48278.28994029086,48.30118036153493
3831,2,2025-06-06 00:09:00+00:00,2025-06-06 00:13:00+00:00,short,143.608,143.578,143.65800000000002,143.578,TP hit,3.0000000000001137,1.8000000000000682,1.2000000000000455,8.356080441201364,12.534120661802046,2025-06-06 00:08:00+00:00,3.8000000000010914,4.300000000000637,3.300000000001546,3.6000000000001364,4.0,4.0,100000,0,Friday,,,5.89999999999975,51682.67512180931,48269.933859849654,48.29282031918452
3832,2,2025-06-06 00:23:00+00:00,2025-06-06 00:24:00+00:00,long,143.586,143.616,143.536,143.616,TP hit,3.0000000000001137,1.2999999999976808,1.700000000002433,11.839594389442096,9.05380747425014,2025-06-06 00:22:00+00:00,3.7999999999982492,4.399999999998272,3.3999999999991815,0.0,1.0,1.0,100000,0,Friday,,,4.599999999999227,51694.514716198755,48258.09426546021,48.280975111230404
3833,2,2025-06-06 01:12:00+00:00,2025-06-06 01:17:00+00:00,long,143.715,143.745,143.665,143.745,TP hit,3.0000000000001137,1.700000000002433,1.2999999999976808,9.045680687455594,11.828967052864579,2025-06-06 01:11:00+00:00,2.000000000001023,2.800000000002001,4.4999999999987494,2.1000000000015007,5.0,5.0,100000,1,Friday,,,5.299999999999727,51703.56039688621,48249.048584772754,48.271925141670216
3834,2,2025-06-06 01:26:00+00:00,2025-06-06 01:27:00+00:00,long,143.666,143.696,143.61599999999999,143.696,TP hit,3.0000000000001137,1.8000000000000682,1.2000000000000455,8.352706973118522,12.529060459677781,2025-06-06 01:25:00+00:00,2.1000000000015007,2.9000000000024784,3.0000000000001137,0.0,1.0,1.0,100000,1,Friday,,,8.500000000000796,51711.91310385933,48240.69587779963,48.26356847438737
3835,2,2025-06-06 01:39:00+00:00,2025-06-06 01:52:00+00:00,short,143.734,143.704,143.78400000000002,143.704,TP hit,3.0000000000001137,1.700000000002433,1.2999999999976808,9.044484951352365,11.82740339796035,2025-06-06 01:38:00+00:00,3.500000000002501,4.600000000002069,4.300000000000637,4.800000000000182,13.0,13.0,100000,1,Friday,,,5.800000000002115,51720.957588810685,48231.65139284828,48.25451970113022
3836,2,2025-06-06 01:54:00+00:00,2025-06-06 01:59:00+00:00,long,143.704,143.654,143.654,143.734,SL hit,-5.000000000001137,1.4000000000010004,-6.400000000002137,-44.535990647456835,9.742247954134893,2025-06-06 01:53:00+00:00,0.7000000000005002,2.2999999999996135,2.0999999999986585,5.100000000001614,3.0,5.0,100000,1,Friday,,,4.800000000000182,51676.42159816323,48276.18738349574,48.299076807844294
