trade_id,entry_datetime,exit_datetime,equity_after
755,2024-03-04 00:01:00+00:00,2024-03-04 00:15:00+00:00,49897.200360048664
756,2024-03-04 00:04:00+00:00,2024-03-04 00:20:00+00:00,49646.29273429278
757,2024-03-04 06:28:00+00:00,2024-03-04 07:36:00+00:00,49588.80058739224
758,2024-03-04 06:31:00+00:00,2024-03-04 08:13:00+00:00,49675.72200277236
759,2024-03-05 01:51:00+00:00,2024-03-05 03:59:00+00:00,49555.18046042329
760,2024-03-05 01:54:00+00:00,2024-03-05 04:29:00+00:00,49435.64127016039
762,2024-03-05 07:52:00+00:00,2024-03-05 07:56:00+00:00,49590.07623512758
761,2024-03-05 07:48:00+00:00,2024-03-05 07:57:00+00:00,49744.511098640985
763,2024-03-05 08:04:00+00:00,2024-03-05 08:19:00+00:00,49825.51411353385
764,2024-03-05 08:07:00+00:00,2024-03-05 08:19:00+00:00,49906.46148179228
765,2024-03-05 08:27:00+00:00,2024-03-05 08:30:00+00:00,49908.154379743224
766,2024-03-06 01:39:00+00:00,2024-03-06 02:52:00+00:00,49658.447592162
767,2024-03-06 02:03:00+00:00,2024-03-06 02:52:00+00:00,49408.74074018238
769,2024-03-06 03:55:00+00:00,2024-03-06 05:19:00+00:00,49581.75170611439
768,2024-03-06 03:48:00+00:00,2024-03-06 05:22:00+00:00,49754.7630411042
770,2024-03-06 05:19:00+00:00,2024-03-06 05:36:00+00:00,49506.68918234331
771,2024-03-06 05:22:00+00:00,2024-03-06 05:36:00+00:00,49257.74953629164
772,2024-03-08 00:01:00+00:00,2024-03-08 00:07:00+00:00,49011.294198977164
773,2024-03-08 00:05:00+00:00,2024-03-08 00:07:00+00:00,48764.83880888506
774,2024-03-11 01:07:00+00:00,2024-03-11 01:10:00+00:00,48581.8463731933
775,2024-03-11 02:00:00+00:00,2024-03-11 02:39:00+00:00,48399.7884354489
776,2024-03-12 01:00:00+00:00,2024-03-12 01:15:00+00:00,48218.41332419177
777,2024-03-12 01:03:00+00:00,2024-03-12 01:16:00+00:00,48037.0378555242
778,2024-03-12 02:06:00+00:00,2024-03-12 02:13:00+00:00,47857.021823992225
779,2024-03-13 01:02:00+00:00,2024-03-13 01:08:00+00:00,47677.43652800909
780,2024-03-13 05:03:00+00:00,2024-03-13 06:00:00+00:00,47717.937054321104
781,2024-03-13 05:17:00+00:00,2024-03-13 06:00:00+00:00,47748.29743522921
782,2024-03-13 06:37:00+00:00,2024-03-13 06:38:00+00:00,47569.36293968334
784,2024-03-14 00:03:00+00:00,2024-03-14 00:13:00+00:00,47735.77632751176
783,2024-03-14 00:00:00+00:00,2024-03-14 00:14:00+00:00,47755.66987029674
785,2024-03-14 00:26:00+00:00,2024-03-14 00:36:00+00:00,47922.7354396856
786,2024-03-14 00:29:00+00:00,2024-03-14 00:41:00+00:00,48089.80079712622
788,2024-03-14 01:03:00+00:00,2024-03-14 01:28:00+00:00,48169.479793590115
789,2024-03-14 01:30:00+00:00,2024-03-14 01:35:00+00:00,48226.38055965654
787,2024-03-14 00:54:00+00:00,2024-03-14 01:37:00+00:00,48285.57342337196
790,2024-03-14 01:43:00+00:00,2024-03-14 02:18:00+00:00,48044.30932186368
791,2024-03-14 01:46:00+00:00,2024-03-14 02:18:00+00:00,47803.04522799505
792,2024-03-14 03:41:00+00:00,2024-03-14 03:57:00+00:00,47850.17660325256
794,2024-03-14 03:57:00+00:00,2024-03-14 04:30:00+00:00,47611.088085308606
793,2024-03-14 03:44:00+00:00,2024-03-14 04:32:00+00:00,47372.23501164629
795,2024-03-15 02:09:00+00:00,2024-03-15 02:16:00+00:00,47194.70896154949
797,2024-03-15 04:37:00+00:00,2024-03-15 05:28:00+00:00,47318.53637459033
