trade_id,entry_datetime,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,pnl_usd,usd,position_units,entry_level_name,entry_level_tier,entry_level_price,zone_distance_at_entry_pips,confirmation_signals_present,confluence_count,ib_classification,session_phase_at_entry,rsi_at_entry,vwap_at_entry,mfe_pips,mae_pips,time_to_mfe_minutes,trade_duration_minutes,day_of_week,hour_utc,duration_min,is_win,month,dow,equity_after,drawdown_usd,drawdown_pct
394,2025-11-21 00:41:00+00:00,2025-11-21 00:48:00+00:00,long,157.35378440247132,157.25378440247133,157.25378440247133,157.4237844024713,SL_Hit_10,-9.999999999999432,-315.28652991334945,-315.28652991334945,495800,PTS_Mid,2,157.33100000000002,1.2999999999976808,"B,C",2,unknown,IB_Formation_PTS,46.7741935483871,157.46953174603175,0.0,10.137029715681933,,7.0,Friday,0,7.0,False,2025-11,Friday,62702.035144178495,37408.15413933763,37.36697973209922
395,2025-11-21 00:44:00+00:00,2025-11-21 00:49:00+00:00,long,157.3457081178541,157.2457081178541,157.2457081178541,157.41570811785408,SL_Hit_10,-9.999999999999432,-315.28682463523484,-315.28682463523484,495775,PTS_Mid,2,157.33100000000002,0.49999999999954525,"B,C",2,unknown,IB_Formation_PTS,46.7741935483871,157.46114074074075,0.0,13.326031680730921,,5.0,Friday,0,5.0,False,2025-11,Friday,62386.74831954326,37723.44096397287,37.68191952683113
396,2025-11-21 01:35:00+00:00,2025-11-21 01:41:00+00:00,long,157.3565702554774,157.4265702554774,157.2565702554774,157.4265702554774,TP_Hit_7,6.999999999999318,109.12821115341924,109.12821115341924,245424,PTS_Mid,2,157.33100000000002,1.6999999999995907,"B,C",2,volatile,Morning_Active,47.17182497331946,157.39238194444445,7.976825704199086,5.315346941972621,6.0,6.0,Friday,1,6.0,True,2025-11,Friday,62495.876530696674,37614.31275281945,37.57291143091758
397,2025-11-21 01:49:00+00:00,2025-11-21 01:55:00+00:00,long,157.36280458894635,157.43280458894634,157.26280458894635,157.43280458894634,TP_Hit_7,6.999999999999318,109.31908406849723,109.31908406849723,245863,PTS_Mid,2,157.33100000000002,2.2999999999996135,"B,C",2,volatile,Morning_Active,45.47368421052614,157.39200606060606,7.6300577761969635,1.9626072683564644,6.0,6.0,Friday,1,6.0,True,2025-11,Friday,62605.19561476517,37504.993668750954,37.46371267217894
399,2025-11-24 01:10:00+00:00,2025-11-24 01:29:00+00:00,long,156.68738510746053,156.71253833148663,156.58738510746053,156.75738510746052,Trailing_Stop,2.515322402609854,78.72345267251578,78.72345267251578,490472,IB_Low,1,156.661,1.6999999999995907,"A,C",2,normal,Morning_Active,80.37578288100387,156.74047887323945,5.515322402609968,3.076715349257597,16.0,19.0,Monday,1,19.0,True,2025-11,Monday,62683.91906743769,37426.27021607844,37.38507586883661
398,2025-11-24 01:02:00+00:00,2025-11-24 03:30:00+00:00,long,156.69747060504088,156.59747060504088,156.59747060504088,156.76747060504087,SL_Hit_10,-9.999999999999432,-313.2253657130161,-313.2253657130161,490503,IB_Low,1,156.661,2.6999999999986812,C,1,normal,Morning_Active,80.37578288100387,156.74486243386244,4.723750958228834,10.342025406484368,55.0,148.0,Monday,1,148.0,False,2025-11,Monday,62370.693701724675,37739.49558179145,37.69795647365291
400,2025-11-24 01:30:00+00:00,2025-11-24 03:30:00+00:00,long,156.69949858971623,156.59949858971623,156.59949858971623,156.76949858971622,SL_Hit_10,-9.999999999999432,-313.61913953932924,-313.61913953932924,491126,IB_Low,1,156.661,2.899999999999636,C,1,normal,Morning_Active,77.49510763209321,156.7336813186813,4.52095249069373,10.544823874019471,27.0,120.0,Monday,1,120.0,False,2025-11,Monday,62057.07456218534,38053.114721330785,38.011230418876565
401,2025-11-24 03:30:00+00:00,2025-11-24 04:56:00+00:00,long,156.60894964902397,156.50894964902398,156.50894964902398,156.67894964902396,SL_Hit_10,-9.999999999999432,-310.48320309457955,-310.48320309457955,485934,PTS_Low,1,156.566,3.6000000000001364,C,1,normal,Afternoon_Active,44.25675675675799,156.6988720379147,4.829960334373595,10.510936068939714,31.0,86.0,Monday,3,86.0,False,2025-11,Monday,61746.591359090766,38363.59792442536,38.32137187931799
402,2025-11-24 03:35:00+00:00,2025-11-24 04:56:00+00:00,long,156.6118822654776,156.5118822654776,156.5118822654776,156.68188226547758,SL_Hit_10,-9.999999999999432,-310.4831358271631,-310.4831358271631,485943,PTS_Low,1,156.566,3.8999999999987267,C,1,normal,Afternoon_Active,44.25675675675799,156.69686574074075,4.536698689011587,10.804197714301722,26.0,81.0,Monday,3,81.0,False,2025-11,Monday,61436.1082232636,38674.08106025252,38.631513272566046
403,2025-11-24 07:41:00+00:00,2025-11-24 07:49:00+00:00,short,156.76727521991654,156.84727521991655,156.84727521991655,156.71727521991653,SL_Hit_8,-8.00000000000125,-255.02515070103706,-255.02515070103706,500000,IB_High,1,156.803,2.6999999999986812,"B,C",2,normal,Late_Session,62.21719457013757,156.65729004329006,0.0,8.12877367661713,,8.0,Monday,7,8.0,False,2025-11,Monday,61181.083072562564,38929.10621095356,38.88625772218325
404,2025-11-24 07:44:00+00:00,2025-11-24 07:51:00+00:00,short,156.78732339423533,156.86732339423534,156.86732339423534,156.73732339423532,SL_Hit_8,-8.00000000000125,-254.99255762450395,-254.99255762450395,500000,IB_High,1,156.803,0.7000000000005002,"B,C",2,normal,Late_Session,62.21719457013757,156.65813835125448,0.6666259636006089,8.11833991949129,1.0,7.0,Monday,7,7.0,False,2025-11,Monday,60926.09051493806,39184.098768578064,39.140969614598475
405,2025-11-24 08:14:00+00:00,2025-11-24 08:22:00+00:00,short,156.70430629864705,156.69949785843056,156.78430629864707,156.65430629864704,Trailing_Stop,0.48084402164931817,15.342870533118573,15.342870533118573,500000,IB_Mid,2,156.732,2.000000000001023,"A,B,C",3,normal,Late_Session,75.99009900990404,156.66565993265993,4.680844021649477,7.725249306392357,8.0,8.0,Monday,8,8.0,True,2025-11,Monday,60941.43338547118,39168.75589804495,39.12564363165615
406,2025-11-24 08:17:00+00:00,2025-11-24 08:22:00+00:00,short,156.73239188874743,156.68239188874742,156.81239188874744,156.68239188874742,TP_Hit_5_late,5.000000000001137,159.5584526036402,159.5584526036402,500000,IB_Mid,2,156.732,0.8000000000009777,"A,B,C",3,normal,Late_Session,61.29707112970504,156.6660174029451,7.4894030316869475,4.916690296354886,5.0,5.0,Monday,8,5.0,True,2025-11,Monday,61100.99183807482,39009.19744544131,38.96626080185072
407,2025-11-24 08:24:00+00:00,2025-11-24 08:31:00+00:00,short,156.70653345756313,156.7914183586147,156.78653345756314,156.6565334575631,Wind_Down_Close_Large_Loss,-8.488490105156643,-270.693708686967,-270.693708686967,500000,IB_Mid,2,156.732,1.8000000000000682,"A,B,C",3,normal,Late_Session,61.29707112970504,156.66672937293728,0.20904763744624688,8.58849010515712,2.0,7.0,Monday,8,7.0,False,2025-11,Monday,60830.298129387855,39279.89115412827,39.236656563385395
408,2025-11-25 00:00:00+00:00,2025-11-25 00:16:00+00:00,short,156.8858902182531,156.87201352768977,156.9858902182531,156.81589021825312,Trailing_Stop,1.387669056333607,42.20982626029908,42.20982626029908,477170,PTS_High,1,156.936,3.6000000000001364,"B,C",2,unknown,IB_Formation_PTS,59.09090909091202,156.89200000000002,5.187669056334698,3.622571261090002,15.0,16.0,Tuesday,0,16.0,True,2025-11,Tuesday,60872.50795564815,39237.68132786798,39.19449319663683
409,2025-11-25 00:20:00+00:00,2025-11-25 00:54:00+00:00,short,156.92508483428344,156.85508483428345,157.02508483428343,156.85508483428345,TP_Hit_7,6.999999999999318,213.14878019618567,213.14878019618567,477621,PTS_High,1,156.936,0.2999999999985903,"B,C",2,unknown,IB_Formation_PTS,52.298850574711466,156.86966666666666,9.599999318345454,6.9115713926208855,34.0,34.0,Tuesday,0,34.0,True,2025-11,Tuesday,61085.656735844335,39024.53254767179,38.98157902504082
