trade_id,strategy,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,impulse_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,entry_hour_utc
11,ARB,2025-09-17,Wednesday,long,2025-09-17 07:23:00+00:00,2025-09-17 10:02:00+00:00,146.66936643669018,146.26936643669018,146.26936643669018,147.0693664366902,147.4693664366902,40.0,-40.00000000000057,-765.7105703570446,SL_FULL,39.19999999999959,,39.43664366901771,1.263356330980514,280000,159,7
12,ARB,2025-09-24,Wednesday,long,2025-09-24 08:28:00+00:00,2025-09-24 12:00:00+00:00,148.15578917980434,148.4960245576335,147.75578917980434,148.55578917980435,148.95578917980436,40.0,34.02353778291456,643.1422715937734,HARD_CLOSE,59.30000000000177,,1.57891798043579,36.52108201956423,280700,212,8
13,ARB,2025-11-06,Thursday,short,2025-11-06 08:05:00+00:00,2025-11-06 13:00:00+00:00,153.71462515621732,153.62075331841723,154.11462515621733,153.31462515621732,152.9146251562173,40.0,9.387183780009423,179.1023352305684,HARD_CLOSE,36.7999999999995,,8.13748437826689,18.362515621731745,293100,295,8
14,ARB,2025-11-13,Thursday,short,2025-11-13 08:35:00+00:00,2025-11-13 13:00:00+00:00,154.57425842487464,154.62175331841723,154.97425842487465,154.17425842487464,153.77425842487463,40.0,-4.74948935425914,-90.67606771280208,HARD_CLOSE,39.400000000000546,,19.174157512534862,25.1258424874635,295200,265,8
15,ARB,2025-11-19,Wednesday,long,2025-11-19 08:27:00+00:00,2025-11-19 13:00:00+00:00,155.63680224599935,156.23824668158278,155.64680224599934,156.03680224599935,156.43680224599936,40.0,50.072221779171855,952.3352162232331,TP1_ONLY,36.69999999999902,,7.980224599936037,65.9197754000644,297000,273,8
16,ARB,2025-11-25,Tuesday,short,2025-11-25 08:50:00+00:00,2025-11-25 13:00:00+00:00,156.47316148183745,156.31175331841723,156.87316148183746,156.07316148183745,155.67316148183744,40.0,16.140816342021935,311.22688743535554,HARD_CLOSE,45.79999999999984,,4.883851816254037,32.91614818374455,301400,250,8
17,ARB,2025-11-27,Thursday,long,2025-11-27 08:54:00+00:00,2025-11-27 13:00:00+00:00,156.34288051575896,156.36624668158277,155.94288051575896,156.74288051575897,157.14288051575897,40.0,2.336616582380202,45.143493849699276,HARD_CLOSE,58.19999999999936,,9.188051575895884,6.111948424103275,302100,246,8
18,ARB,2025-12-02,Tuesday,long,2025-12-02 08:21:00+00:00,2025-12-02 13:00:00+00:00,155.88691228691613,155.99824668158277,155.48691228691612,156.28691228691613,156.68691228691614,40.0,11.133439466664186,215.03480857403468,HARD_CLOSE,37.79999999999859,,2.8912286916124685,19.908771308388395,301300,279,8
19,ARB,2025-12-04,Thursday,short,2025-12-04 08:11:00+00:00,2025-12-04 13:00:00+00:00,154.89081177782597,154.6817533184172,155.29081177782598,154.49081177782597,154.09081177782596,40.0,20.90584594087659,405.4617721685877,HARD_CLOSE,52.00000000000102,,16.718822217401907,38.18117778259875,300000,289,8
20,ARB,2025-12-09,Tuesday,long,2025-12-09 08:03:00+00:00,2025-12-09 13:00:00+00:00,156.24543475453729,156.34424668158277,155.84543475453728,156.6454347545373,157.0454347545373,40.0,9.88119270454888,192.00619193591163,HARD_CLOSE,45.599999999998886,,26.743475453727683,18.856524546271203,303800,297,8
21,ARB,2025-12-30,Tuesday,short,2025-12-30 08:29:00+00:00,2025-12-30 13:00:00+00:00,155.85722231052333,155.96375331841722,156.25722231052333,155.45722231052332,155.05722231052331,40.0,-10.653100789389214,-207.37391418475437,HARD_CLOSE,42.00000000000159,,15.477768947667414,11.322231052332654,303600,271,8
22,ARB,2026-01-06,Tuesday,short,2026-01-06 08:07:00+00:00,2026-01-06 13:00:00+00:00,156.18868688980834,156.51075331841722,156.58868688980834,155.78868688980833,155.38868688980833,40.0,-32.20664286088777,-624.9511442164038,HARD_CLOSE,56.60000000000025,,34.93131101916731,2.4686889808350543,303700,293,8
23,ARB,2026-01-14,Wednesday,short,2026-01-14 08:06:00+00:00,2026-01-14 12:00:00+00:00,159.0086558582319,158.20865585823188,158.9986558582319,158.60865585823188,158.20865585823188,40.0,60.0065082980809,1164.5699888747247,TP2_FULL,37.10000000000093,,18.434414176812197,87.26558582318944,307300,234,8
24,ARB,2026-02-03,Tuesday,long,2026-02-03 09:13:00+00:00,2026-02-03 13:00:00+00:00,155.6703713897967,155.86724668158277,155.2703713897967,156.07037138979672,156.47037138979672,40.0,19.6875291786057,384.2337953378057,HARD_CLOSE,32.30000000000075,,5.837138979671863,31.462861020330024,304200,227,9
25,ARB,2026-02-05,Thursday,long,2026-02-05 09:29:00+00:00,2026-02-05 13:00:00+00:00,157.24492850555436,156.93924668158277,156.84492850555435,157.64492850555436,158.04492850555437,40.0,-30.568182397158235,-600.6927935885085,HARD_CLOSE,50.900000000001455,,38.09285055543512,9.407149444564311,308400,211,9
26,ARB,2026-02-18,Wednesday,long,2026-02-18 08:44:00+00:00,2026-02-18 13:00:00+00:00,153.7587783777511,153.6742466815828,153.3587783777511,154.1587783777511,154.5587783777511,40.0,-8.453169616831246,-164.96619458564837,HARD_CLOSE,64.50000000000102,,20.47783777510972,9.922162224890485,299900,256,8
