trade_id,setup_type,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,lor_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,trade_sequence_number,is_reentry,entry_hour_utc
33,D,2025-08-27,Wednesday,long,2025-08-27 07:30:00+00:00,2025-08-27 12:00:00+00:00,147.85255950631722,148.1340245576335,147.8625595063172,148.02111901263444,148.18967851895167,16.855950631722294,22.50187983654842,1315.69662476589,TP1_PARTIAL,56.60000000000025,8.799999999999386,10.855950631722067,33.144049368277706,865900,270,1,False,7
34,D,2025-08-28,Thursday,long,2025-08-28 07:19:00+00:00,2025-08-28 07:45:00+00:00,147.40324653316034,147.226,147.226,147.58049306632068,147.75773959948103,17.724653316034278,-17.724653316034278,-1001.5309180178037,SL_FULL,49.00000000000091,10.300000000000864,17.224653316034733,0.27534668396640427,831900,26,1,False,7
35,D,2025-08-28,Thursday,short,2025-08-28 07:59:00+00:00,2025-08-28 12:00:00+00:00,147.18745482981706,146.9359754423665,147.17745482981707,146.98745482981707,146.78745482981705,20.0,22.57396937252736,1119.4914216457926,TP1_PARTIAL,49.00000000000091,10.300000000000864,18.35451701829527,37.94548298170639,728800,241,2,False,7
36,D,2025-09-03,Wednesday,long,2025-09-03 07:17:00+00:00,2025-09-03 07:35:00+00:00,148.8301872233061,148.8401872233061,148.8401872233061,149.0301872233061,149.2301872233061,20.0,10.499999999998977,525.0664837416576,BE_STOP,43.59999999999786,16.70000000000016,1.618722330610467,30.78127766939076,745200,18,1,False,7
37,A,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,-40.00000000000057,-1003.9726689845281,SL_FULL,43.59999999999786,16.70000000000016,40.73066033280952,4.869339667192207,373200,27,2,False,7
38,D,2025-09-03,Wednesday,long,2025-09-03 07:41:00+00:00,2025-09-03 08:03:00+00:00,148.8477384884804,148.6477384884804,148.6477384884804,149.04773848848038,149.2477384884804,20.0,-19.999999999998863,-1008.0207174601819,SL_FULL,43.59999999999786,16.70000000000016,19.073848848037755,2.6261511519606984,749200,22,3,True,7
39,D,2025-09-03,Wednesday,short,2025-09-03 08:57:00+00:00,2025-09-03 12:00:00+00:00,148.57309243169664,148.6249754423665,148.77309243169663,148.37309243169665,148.17309243169663,20.0,-5.188301066985446,-255.84568412380742,HARD_CLOSE,43.59999999999786,16.70000000000016,16.390756830335818,13.90924316966391,732900,183,4,False,8
40,A,2025-09-04,Thursday,long,2025-09-04 07:23:00+00:00,2025-09-04 12:00:00+00:00,148.3693664366902,148.3380245576335,147.9693664366902,148.7693664366902,149.1693664366902,40.0,-3.1341879056697053,-77.11971283027128,HARD_CLOSE,49.39999999999998,,23.136643669019463,4.6633563309796955,365000,277,1,False,7
41,D,2025-09-09,Tuesday,long,2025-09-09 07:27:00+00:00,2025-09-09 08:15:00+00:00,147.1104813560077,147.1204813560077,147.1204813560077,147.25296271201543,147.39544406802315,14.248135600772116,7.624067800385603,525.6539888905411,BE_STOP,,6.200000000001182,24.248135600771548,22.65186439922786,1015200,48,1,False,7
42,D,2025-09-09,Tuesday,short,2025-09-09 08:25:00+00:00,2025-09-09 08:33:00+00:00,146.92116696302813,146.58350088908438,146.91116696302814,146.75233392605625,146.58350088908438,16.883303697187557,25.324955545781336,1485.5814287204103,TP2_FULL,,6.200000000001182,4.383303697187557,36.216696302813034,860200,8,2,False,8
43,D,2025-09-11,Thursday,long,2025-09-11 07:31:00+00:00,2025-09-11 12:00:00+00:00,147.81558340070032,147.9580245576335,147.626,148.00516680140063,148.19475020210095,18.958340070031454,14.244115693318804,753.1306085086818,HARD_CLOSE,46.999999999999886,9.799999999998477,4.5583400700309085,17.741659929967568,782300,269,1,False,7
44,D,2025-09-16,Tuesday,long,2025-09-16 08:04:00+00:00,2025-09-16 12:00:00+00:00,146.94740508979925,146.9500245576335,146.74740508979926,147.14740508979924,147.34740508979925,20.0,0.26194678342505995,13.239050257762342,HARD_CLOSE,,19.10000000000025,7.940508979925198,16.85949102007669,742700,236,1,False,8
45,D,2025-09-17,Wednesday,long,2025-09-17 07:23:00+00:00,2025-09-17 08:43:00+00:00,146.66936643669018,146.4693664366902,146.4693664366902,146.86936643669017,147.0693664366902,20.0,-19.999999999998863,-1012.3618583690945,SL_FULL,39.19999999999959,13.000000000002387,21.236643669018918,1.263356330980514,741400,80,1,False,7
46,D,2025-09-17,Wednesday,short,2025-09-17 08:46:00+00:00,2025-09-17 12:00:00+00:00,146.41520321947814,146.3479754423665,146.40520321947815,146.21520321947816,146.01520321947814,20.0,13.36048280792967,669.3552250106238,TP1_PARTIAL,39.19999999999959,13.000000000002387,4.279678052185432,21.120321947813636,732700,194,2,False,8
47,D,2025-09-23,Tuesday,short,2025-09-23 08:44:00+00:00,2025-09-23 12:00:00+00:00,147.6052216222489,147.7739754423665,147.8052216222489,147.40522162224892,147.2052216222489,20.0,-16.87538201175869,-849.1707708599765,HARD_CLOSE,,15.200000000001523,19.07783777510872,9.72216222488953,743600,196,1,False,8
48,D,2025-09-24,Wednesday,long,2025-09-24 08:26:00+00:00,2025-09-24 11:28:00+00:00,148.13481687299583,148.44845061898747,148.14481687299582,148.29163374599165,148.44845061898747,15.681687299581881,23.522530949372822,1496.0338245458056,TP2_FULL,59.30000000000177,8.599999999998431,2.281687299583268,32.71831270041616,943800,182,1,False,8
49,D,2025-09-25,Thursday,short,2025-09-25 07:16:00+00:00,2025-09-25 07:59:00+00:00,148.64784184354923,148.834,148.834,148.46168368709846,148.27552553064768,18.615815645077305,-18.615815645077305,-1012.7542045378807,SL_FULL,30.400000000000205,10.599999999999454,18.215815645078237,0.0,809700,43,1,False,7
50,D,2025-09-30,Tuesday,short,2025-09-30 07:37:00+00:00,2025-09-30 07:41:00+00:00,147.99830299999266,148.138,148.138,147.85860599998531,147.71890899997797,13.96970000073452,-13.96970000073452,-1002.9953773360809,SL_FULL,,6.60000000000025,18.269700000735156,0.030299999266958366,1063600,4,1,False,7
51,D,2025-09-30,Tuesday,long,2025-09-30 07:42:00+00:00,2025-09-30 07:43:00+00:00,148.1697440455168,148.012,148.012,148.32748809103362,148.48523213655042,15.774404551680732,-15.774404551680732,-994.9858180045626,SL_FULL,,6.60000000000025,16.374404551680755,0.0,933600,1,2,False,7
52,D,2025-09-30,Tuesday,short,2025-09-30 07:45:00+00:00,2025-09-30 09:55:00+00:00,147.99425131095916,147.98425131095917,147.98425131095917,147.8505026219183,147.70675393287746,14.374868904084792,7.687434452041941,526.6747955089509,BE_STOP,,6.60000000000025,11.374868904084678,16.12513109591589,1013000,130,3,True,7
53,D,2025-10-02,Thursday,short,2025-10-02 08:07:00+00:00,2025-10-02 12:00:00+00:00,146.99868688980834,146.8039754423665,146.98868688980835,146.79868688980835,146.59868688980833,20.0,19.735536004655675,977.4919305778644,TP1_PARTIAL,48.799999999999955,14.900000000000091,2.9313110191651504,39.86868898083458,727100,233,1,False,8
54,D,2025-10-07,Tuesday,short,2025-10-07 07:19:00+00:00,2025-10-07 08:39:00+00:00,150.56675346683966,150.743,150.743,150.39050693367932,150.21426040051898,17.6246533160338,-17.6246533160338,-997.8998431260391,SL_FULL,45.09999999999934,10.499999999998977,17.824653316034755,4.0753466839646535,853500,80,1,False,7
55,D,2025-10-07,Tuesday,long,2025-10-07 08:40:00+00:00,2025-10-07 12:00:00+00:00,150.75275088611804,150.8900245576335,150.76275088611803,150.92750177223607,151.1022526583541,17.475088611803358,15.601227881674617,882.0408458486609,TP1_PARTIAL,45.09999999999934,10.499999999998977,4.4750886118038125,19.924911388196165,853200,200,2,False,8
56,D,2025-10-08,Wednesday,long,2025-10-08 07:16:00+00:00,2025-10-08 09:03:00+00:00,152.49615815645078,152.88447446935234,152.50615815645077,152.69031631290156,152.88447446935234,19.415815645078283,29.124962195169108,1493.6052871990219,TP2_FULL,59.00000000000034,12.300000000001887,14.6158156450781,39.78418435492301,783700,107,1,False,7
57,D,2025-10-15,Wednesday,long,2025-10-15 07:17:00+00:00,2025-10-15 12:00:00+00:00,151.1991872233061,151.4920245576335,151.2091872233061,151.3991872233061,151.5991872233061,20.0,24.642472941616532,1245.8369483790111,TP1_PARTIAL,,17.199999999999704,10.81872233060892,31.281277669390306,765700,283,1,False,7
58,D,2025-10-16,Thursday,short,2025-10-16 07:42:00+00:00,2025-10-16 07:56:00+00:00,151.0022559544832,151.20225595448318,151.20225595448318,150.8022559544832,150.60225595448318,20.0,-19.999999999998863,-1023.9265216161662,SL_FULL,,18.000000000000682,30.974404551682255,6.125595448318677,774100,14,1,False,7
59,D,2025-10-16,Thursday,long,2025-10-16 07:59:00+00:00,2025-10-16 08:05:00+00:00,151.32154517018296,151.12154517018297,151.12154517018297,151.52154517018295,151.72154517018296,20.0,-19.999999999998863,-1016.4004068845195,SL_FULL,,18.000000000000682,20.954517018296315,0.0,768000,6,2,False,7
60,D,2025-10-21,Tuesday,short,2025-10-21 07:26:00+00:00,2025-10-21 08:17:00+00:00,151.07554646730512,151.2755464673051,151.2755464673051,150.87554646730513,150.6755464673051,20.0,-19.999999999998863,-1003.466875809962,SL_FULL,,14.000000000001478,19.645353269487487,1.354646730510467,759000,51,1,False,7
61,D,2025-10-21,Tuesday,long,2025-10-21 08:27:00+00:00,2025-10-21 09:12:00+00:00,151.34180224599936,151.74180224599937,151.35180224599935,151.54180224599935,151.74180224599937,20.0,29.99999999999972,1488.9723779488738,TP2_FULL,,14.000000000001478,0.9802245999367187,41.41977540006394,752800,45,2,False,8
62,D,2025-10-23,Thursday,short,2025-10-23 07:17:00+00:00,2025-10-23 10:44:00+00:00,152.4998127766939,152.678,152.678,152.32162555338778,152.14343833008166,17.81872233061108,-17.81872233061108,-1008.4726002358581,SL_FULL,,10.599999999999454,18.81872233061017,12.081277669389578,864100,207,1,False,7
63,D,2025-10-28,Tuesday,short,2025-10-28 08:20:00+00:00,2025-10-28 12:00:00+00:00,151.9790645181668,152.0439754423665,152.1790645181668,151.77906451816682,151.5790645181668,20.0,-6.491092419969391,-324.2899817545054,HARD_CLOSE,,12.20000000000141,10.593548183319967,15.5064518166796,759600,220,1,False,8
64,D,2025-11-04,Tuesday,short,2025-11-04 08:16:00+00:00,2025-11-04 08:30:00+00:00,153.4129603783082,153.6129603783082,153.6129603783082,153.21296037830822,153.0129603783082,20.0,-19.999999999998863,-995.0983277943311,SL_FULL,,13.2000000000005,19.903962169178158,2.596037830821274,764300,14,1,False,8
65,D,2025-11-04,Tuesday,long,2025-11-04 08:32:00+00:00,2025-11-04 09:51:00+00:00,153.65675269204573,153.45675269204574,153.45675269204574,153.85675269204572,154.05675269204573,20.0,-19.999999999998863,-987.6398225638156,SL_FULL,,13.2000000000005,22.075269204572123,10.12473079542815,757800,79,2,False,8
66,D,2025-11-04,Tuesday,short,2025-11-04 09:53:00+00:00,2025-11-04 10:58:00+00:00,153.4068825915742,153.6068825915742,153.6068825915742,153.2068825915742,153.0068825915742,20.0,-19.999999999998863,-975.216718630344,SL_FULL,,13.2000000000005,19.611740842580616,8.888259157419043,749000,65,3,True,9
67,D,2025-11-05,Wednesday,short,2025-11-05 08:51:00+00:00,2025-11-05 09:42:00+00:00,153.4531507054714,153.65315070547138,153.65315070547138,153.2531507054714,153.05315070547138,20.0,-19.999999999998863,-965.551303821775,SL_FULL,,15.399999999999636,19.284929452859956,3.3150705471399533,741800,51,1,False,8
68,A,2025-11-06,Thursday,short,2025-11-06 08:27:00+00:00,2025-11-06 13:00:00+00:00,153.68219775400064,153.62075331841723,154.08219775400065,153.28219775400063,152.88219775400063,40.0,6.144443558341095,147.07074712223513,HARD_CLOSE,36.7999999999995,16.800000000000637,9.480224599934672,15.119775400063418,367700,273,1,False,8
69,D,2025-11-06,Thursday,short,2025-11-06 08:28:00+00:00,2025-11-06 13:00:00+00:00,153.66321082019564,153.62075331841723,153.86321082019563,153.46321082019566,153.26321082019564,20.0,4.245750177841501,203.2488848894553,HARD_CLOSE,36.7999999999995,16.800000000000637,11.378917980434267,13.221082019563823,735400,272,2,False,8
70,D,2025-11-11,Tuesday,long,2025-11-11 08:19:00+00:00,2025-11-11 13:00:00+00:00,154.31495989586148,154.18524668158278,154.139,154.49091979172294,154.6668796875844,17.595989586146743,-12.971321427869498,-708.7797657806275,HARD_CLOSE,40.99999999999966,9.299999999998931,14.295989586148039,12.804010413853462,842500,281,1,False,8
71,D,2025-11-12,Wednesday,long,2025-11-12 09:12:00+00:00,2025-11-12 13:00:00+00:00,154.8003856283371,154.79524668158277,154.6003856283371,155.00038562833709,155.2003856283371,20.0,-0.5138946754328799,-24.500382188711505,HARD_CLOSE,,12.999999999999545,9.438562833710762,10.961437166290011,738000,228,1,False,9
72,D,2025-11-13,Thursday,short,2025-11-13 08:33:00+00:00,2025-11-13 10:31:00+00:00,154.61325252047573,154.60325252047573,154.60325252047573,154.42050504095144,154.22775756142715,19.274747952428584,10.136179079656205,501.92065667969695,BE_STOP,39.400000000000546,10.80000000000041,7.774747952427674,29.025252047571826,764700,118,1,False,8
73,A,2025-11-13,Thursday,short,2025-11-13 08:58:00+00:00,2025-11-13 13:00:00+00:00,154.54708487977652,154.62175331841723,154.94708487977653,154.14708487977651,153.7470848797765,40.0,-7.466843864071393,-177.85586672751387,HARD_CLOSE,39.400000000000546,10.80000000000041,21.891512022347115,22.408487977651248,368300,242,2,False,8
74,D,2025-11-18,Tuesday,long,2025-11-18 08:35:00+00:00,2025-11-18 12:58:00+00:00,155.158743786282,155.168743786282,155.168743786282,155.358743786282,155.558743786282,20.0,10.49871984907592,501.52017274277756,BE_STOP,56.60000000000025,17.199999999999704,7.474378628199929,28.32562137180048,742100,263,1,False,8
75,D,2025-11-19,Wednesday,long,2025-11-19 08:21:00+00:00,2025-11-19 09:47:00+00:00,155.59891228691615,155.89473686074845,155.60891228691614,155.7468245738323,155.89473686074845,14.791228691615288,22.18757419059602,1440.063687031903,TP2_FULL,36.69999999999902,5.299999999999727,4.191228691615834,34.50877130838421,1011500,86,1,False,8
76,A,2025-11-19,Wednesday,long,2025-11-19 08:30:00+00:00,2025-11-19 13:00:00+00:00,155.67076778126523,156.23824668158278,155.68076778126522,156.07076778126523,156.47076778126524,40.0,48.37394501587795,1159.0991104458149,TP1_PARTIAL,36.69999999999902,5.299999999999727,11.376778126523845,62.52322187347659,374200,270,2,False,8
77,D,2025-11-20,Thursday,short,2025-11-20 08:33:00+00:00,2025-11-20 11:29:00+00:00,157.2592525204757,157.4592525204757,157.4592525204757,157.05925252047572,156.8592525204757,20.0,-19.999999999998863,-986.2869124175237,SL_FULL,,19.999999999998863,20.47474795242863,14.92525204756987,776500,176,1,False,8
78,D,2025-11-25,Tuesday,short,2025-11-25 08:43:00+00:00,2025-11-25 11:39:00+00:00,156.52622981364792,156.51622981364793,156.51622981364793,156.32622981364793,156.1262298136479,20.0,10.499999999998977,513.9339418176772,BE_STOP,45.79999999999984,13.399999999998613,2.177018635208583,38.22298136479105,765200,176,1,False,8
79,A,2025-11-25,Tuesday,short,2025-11-25 09:01:00+00:00,2025-11-25 13:00:00+00:00,156.42456812532612,156.31175331841723,156.82456812532612,156.0245681253261,155.6245681253261,40.0,11.281480690888657,275.91719602434847,HARD_CLOSE,45.79999999999984,13.399999999998613,9.743187467387315,28.056812532611275,382300,239,2,False,9
80,D,2025-11-26,Wednesday,long,2025-11-26 08:57:00+00:00,2025-11-26 13:00:00+00:00,156.50190756830335,156.46824668158277,156.30190756830336,156.70190756830334,156.90190756830336,20.0,-3.3660886720582543,-165.90762911622002,HARD_CLOSE,,11.999999999997613,17.590756830335863,8.809243169665137,771200,243,1,False,8
81,D,2025-11-27,Thursday,long,2025-11-27 08:21:00+00:00,2025-11-27 13:00:00+00:00,156.26691228691615,156.36624668158277,156.06691228691616,156.46691228691614,156.66691228691616,20.0,9.933439466661298,488.39365425970107,HARD_CLOSE,58.19999999999936,13.399999999998613,12.491228691615675,13.708771308384371,768800,279,1,False,8
82,A,2025-11-27,Thursday,long,2025-11-27 09:06:00+00:00,2025-11-27 13:00:00+00:00,156.38443455978435,156.36624668158277,155.98443455978435,156.78443455978436,157.18443455978436,40.0,-1.8187878201587182,-44.746720552797534,HARD_CLOSE,58.19999999999936,13.399999999998613,13.343455978434804,1.9565440215643548,384700,234,2,False,9
83,D,2025-12-02,Tuesday,long,2025-12-02 08:21:00+00:00,2025-12-02 11:35:00+00:00,155.88691228691613,155.89691228691612,155.89691228691612,156.03782457383227,156.1887368607484,15.091228691613878,8.045614345806484,526.4770705983451,BE_STOP,37.79999999999859,7.800000000000296,2.8912286916124685,19.908771308388395,1021000,194,1,False,8
84,A,2025-12-02,Tuesday,long,2025-12-02 08:27:00+00:00,2025-12-02 13:00:00+00:00,155.92580224599936,155.99824668158277,155.52580224599936,156.32580224599937,156.72580224599938,40.0,7.244443558340663,178.9304791819944,HARD_CLOSE,37.79999999999859,7.800000000000296,3.3802245999368097,16.019775400064873,385300,273,2,False,8
85,D,2025-12-03,Wednesday,short,2025-12-03 09:01:00+00:00,2025-12-03 13:00:00+00:00,155.62956812532613,155.42875331841722,155.61956812532614,155.48513625065226,155.3407043759784,14.44318746738702,17.262334079138952,1191.0776018637441,TP1_PARTIAL,30.299999999999727,6.999999999999318,5.343187467386201,26.756812532613594,1072600,239,1,False,9
86,A,2025-12-04,Thursday,short,2025-12-04 08:11:00+00:00,2025-12-04 13:00:00+00:00,154.89081177782597,154.6817533184172,155.29081177782598,154.49081177782597,154.09081177782596,40.0,20.90584594087659,527.100303819164,HARD_CLOSE,52.00000000000102,,16.718822217401907,38.18117778259875,390000,289,1,False,8
