trade_id,setup_type,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,lor_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,trade_sequence_number,is_reentry,entry_hour_utc
19,A,2025-09-04,Thursday,long,2025-09-04 07:23:00+00:00,2025-09-04 12:00:00+00:00,148.3693664366902,148.3380245576335,147.9693664366902,148.7693664366902,149.1693664366902,40.0,-3.1341879056697053,-75.99989234259886,HARD_CLOSE,49.39999999999998,,23.136643669019463,4.6633563309796955,359700,277,1,False,7
20,D,2025-09-09,Tuesday,short,2025-09-09 08:25:00+00:00,2025-09-09 08:33:00+00:00,146.92116696302813,146.58350088908438,146.91116696302814,146.75233392605625,146.58350088908438,16.883303697187557,25.324955545781336,1456.2221119472797,TP2_FULL,,6.200000000001182,4.383303697187557,36.216696302813034,843200,8,1,False,8
21,D,2025-09-17,Wednesday,short,2025-09-17 08:46:00+00:00,2025-09-17 12:00:00+00:00,146.41520321947814,146.3479754423665,146.40520321947815,146.21520321947816,146.01520321947814,20.0,13.361388855581426,657.7978261166965,TP1_PARTIAL,39.19999999999959,13.000000000002387,4.279678052185432,21.120321947813636,720000,194,1,False,8
22,D,2025-09-23,Tuesday,short,2025-09-23 08:44:00+00:00,2025-09-23 12:00:00+00:00,147.6052216222489,147.7739754423665,147.8052216222489,147.40522162224892,147.2052216222489,20.0,-16.87538201175869,-834.4393252654451,HARD_CLOSE,,15.200000000001523,19.07783777510872,9.72216222488953,730700,196,1,False,8
23,D,2025-09-25,Thursday,short,2025-09-25 07:16:00+00:00,2025-09-25 07:59:00+00:00,148.64784184354923,148.834,148.834,148.46168368709846,148.27552553064768,18.615815645077305,-18.615815645077305,-980.4841557826908,SL_FULL,30.400000000000205,10.599999999999454,18.215815645078237,0.0,783900,43,1,False,7
24,D,2025-09-30,Tuesday,short,2025-09-30 07:37:00+00:00,2025-09-30 07:41:00+00:00,147.99830299999266,148.138,148.138,147.85860599998531,147.71890899997797,13.96970000073452,-13.96970000073452,-971.0270214770238,SL_FULL,,6.60000000000025,18.269700000735156,0.030299999266958366,1029700,4,1,False,7
25,D,2025-09-30,Tuesday,short,2025-09-30 07:45:00+00:00,2025-09-30 09:55:00+00:00,147.99425131095916,147.98425131095917,147.98425131095917,147.8505026219183,147.70675393287746,14.374868904084792,7.686759430900118,515.0354370722334,BE_STOP,,6.60000000000025,11.374868904084678,16.12513109591589,990700,130,2,True,7
26,D,2025-10-02,Thursday,short,2025-10-02 08:07:00+00:00,2025-10-02 12:00:00+00:00,146.99868688980834,146.8039754423665,146.98868688980835,146.79868688980835,146.59868688980833,20.0,19.73557237209178,955.8493261720893,TP1_PARTIAL,48.799999999999955,14.900000000000091,2.9313110191651504,39.86868898083458,711000,233,1,False,8
27,D,2025-10-07,Tuesday,short,2025-10-07 07:19:00+00:00,2025-10-07 08:39:00+00:00,150.56675346683966,150.743,150.743,150.39050693367932,150.21426040051898,17.6246533160338,-17.6246533160338,-975.802236758046,SL_FULL,45.09999999999934,10.499999999998977,17.824653316034755,4.0753466839646535,834600,80,1,False,7
28,D,2025-10-16,Thursday,short,2025-10-16 07:42:00+00:00,2025-10-16 07:56:00+00:00,151.0022559544832,151.20225595448318,151.20225595448318,150.8022559544832,150.60225595448318,20.0,-19.999999999998863,-965.858604940091,SL_FULL,,18.000000000000682,30.974404551682255,6.125595448318677,730200,14,1,False,7
