trade_id,setup_type,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,risk_pct,pnl_pips,pnl_usd,exit_reason,asian_range_pips,lor_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,trade_sequence_number,is_reentry,margin_used_pct,entry_hour_utc
16,D,2025-08-27,Wednesday,long,2025-08-27 07:30:00+00:00,2025-08-27 12:00:00+00:00,147.85255950631722,148.1340245576335,147.8625595063172,148.02111901263444,148.18967851895167,16.855950631722294,0.0075,22.50205454403393,1037.6442904545015,TP1_PARTIAL,56.60000000000025,8.799999999999386,10.855950631722067,33.144049368277706,682900,270,1,False,29.47229966388188,7
17,D,2025-08-28,Thursday,long,2025-08-28 07:19:00+00:00,2025-08-28 07:45:00+00:00,147.40324653316034,147.226,147.226,147.58049306632068,147.75773959948103,17.724653316034278,0.0075,-17.724653316034278,-787.2353255100876,SL_FULL,49.00000000000091,10.300000000000864,17.224653316034733,0.27534668396640427,653900,26,1,False,27.856538589041886,7
18,D,2025-09-03,Wednesday,long,2025-09-03 07:17:00+00:00,2025-09-03 07:35:00+00:00,148.8301872233061,148.8401872233061,148.8401872233061,149.0301872233061,149.2301872233061,20.0,0.0075,10.498364043394877,409.0963595984066,BE_STOP,43.59999999999786,16.70000000000016,1.618722330610467,30.78127766939076,580700,18,1,False,25.16660463948518,7
19,A,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,0.02,-40.00000000000057,-2086.7674151428146,SL_FULL,43.59999999999786,16.70000000000016,40.73066033280952,4.869339667192207,775700,27,2,False,33.67612080252878,7
20,D,2025-09-03,Wednesday,long,2025-09-03 07:41:00+00:00,2025-09-03 08:03:00+00:00,148.8477384884804,148.6477384884804,148.6477384884804,149.04773848848038,149.2477384884804,20.0,0.0075,-19.999999999998863,-784.5393491070903,SL_FULL,43.59999999999786,16.70000000000016,19.073848848037755,2.6261511519606984,583100,22,3,True,25.17463125672346,7
21,A,2025-09-04,Thursday,long,2025-09-04 07:23:00+00:00,2025-09-04 12:00:00+00:00,148.3693664366902,148.3380245576335,147.9693664366902,148.7693664366902,149.1693664366902,40.0,0.02,-3.1341879056697053,-159.24692482239854,HARD_CLOSE,49.39999999999998,,23.136643669019463,4.6633563309796955,753700,277,1,False,33.35213162497367,7
22,D,2025-09-11,Thursday,long,2025-09-11 07:31:00+00:00,2025-09-11 12:00:00+00:00,147.81558340070032,147.9580245576335,147.626,148.00516680140063,148.19475020210095,18.958340070031454,0.0075,14.244115693318804,571.081524948677,HARD_CLOSE,46.999999999999886,9.799999999998477,4.5583400700309085,17.741659929967568,593200,269,1,False,26.192890537938784,7
23,D,2025-09-17,Wednesday,long,2025-09-17 07:23:00+00:00,2025-09-17 08:43:00+00:00,146.66936643669018,146.4693664366902,146.4693664366902,146.86936643669017,147.0693664366902,20.0,0.0075,-19.999999999998863,-766.0304863030242,SL_FULL,39.19999999999959,13.000000000002387,21.236643669018918,1.263356330980514,561000,80,1,False,24.441413147166024,7
24,D,2025-09-24,Wednesday,long,2025-09-24 08:26:00+00:00,2025-09-24 11:28:00+00:00,148.13481687299583,148.44845061898747,148.14481687299582,148.29163374599165,148.44845061898747,15.681687299581881,0.0075,23.52362405457982,1137.0574908378155,TP2_FULL,59.30000000000177,8.599999999998431,2.281687299583268,32.71831270041616,717300,182,1,False,31.802074314105145,8
25,D,2025-10-08,Wednesday,long,2025-10-08 07:16:00+00:00,2025-10-08 09:03:00+00:00,152.49615815645078,152.88447446935234,152.50615815645077,152.69031631290156,152.88447446935234,19.415815645078283,0.0075,29.125333135636417,1149.4255479452886,TP2_FULL,59.00000000000034,12.300000000001887,14.6158156450781,39.78418435492301,603100,107,1,False,27.220468879722027,7
26,D,2025-10-15,Wednesday,long,2025-10-15 07:17:00+00:00,2025-10-15 12:00:00+00:00,151.1991872233061,151.4920245576335,151.2091872233061,151.3991872233061,151.5991872233061,20.0,0.0075,24.64186671636952,955.0585427623303,TP1_PARTIAL,,17.199999999999704,10.81872233060892,31.281277669390306,587000,283,1,False,25.976851466198802,7
27,D,2025-10-16,Thursday,long,2025-10-16 07:59:00+00:00,2025-10-16 08:05:00+00:00,151.32154517018296,151.12154517018297,151.12154517018297,151.52154517018295,151.72154517018296,20.0,0.0075,-19.999999999998863,-784.6664078669683,SL_FULL,,18.000000000000682,20.954517018296315,0.0,592900,6,1,False,26.019166815383443,7
