trade_id,setup_type,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,risk_pct,pnl_pips,pnl_usd,exit_reason,asian_range_pips,lor_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,trade_sequence_number,is_reentry,margin_used_pct,entry_hour_utc
15,D,2025-08-07,Thursday,long,2025-08-07 08:06:00+00:00,2025-08-07 10:02:00+00:00,146.98734414176812,147.38734414176812,146.9973441417681,147.1873441417681,147.38734414176812,20.0,0.0075,29.999999999999712,1160.733666160357,TP2_FULL,,11.699999999999022,2.834414176811606,41.46558582318676,570000,116,1,False,24.54968658225967,8
16,D,2025-08-12,Tuesday,long,2025-08-12 08:31:00+00:00,2025-08-12 12:00:00+00:00,148.38475945258503,148.4330245576335,148.24,148.52951890517005,148.67427835775507,14.475945258502065,0.0075,4.826510504847192,261.39949693877736,HARD_CLOSE,31.60000000000025,6.19999999999834,3.2759452585025883,11.124054741497957,803900,209,1,False,34.564893372753076,8
17,A,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,0.02,36.44613898133997,1915.2091594697315,TP1_PARTIAL,46.79999999999893,,1.1101778006718632,43.98982219932748,773800,286,1,False,33.01689864337942,7
18,D,2025-08-14,Thursday,long,2025-08-14 07:52:00+00:00,2025-08-14 12:00:00+00:00,146.52968983824485,146.4870245576335,146.32968983824486,146.72968983824484,146.92968983824485,20.0,0.0075,-4.266528061134522,-170.8509929954128,HARD_CLOSE,,16.200000000000614,10.568983824484235,14.131016175514333,586600,248,1,False,24.398623267309613,7
19,D,2025-08-19,Tuesday,long,2025-08-19 07:49:00+00:00,2025-08-19 12:00:00+00:00,147.6907267058583,147.7040245576335,147.503,147.87845341171663,148.06618011757496,18.77267058583243,0.0075,1.329785177517806,56.61111280667419,HARD_CLOSE,54.09999999999968,11.50000000000091,9.072670585831588,13.127329414169253,628800,251,1,False,26.403347722104098,7
20,D,2025-08-20,Wednesday,long,2025-08-20 07:32:00+00:00,2025-08-20 12:00:00+00:00,147.50160603634265,147.5310245576335,147.30160603634266,147.70160603634264,147.90160603634266,20.0,0.0075,2.9418521290835997,117.60945814184885,HARD_CLOSE,,12.79999999999859,13.360603634265544,19.43939636573475,589800,268,1,False,24.720892280045096,7
21,D,2025-08-27,Wednesday,long,2025-08-27 07:30:00+00:00,2025-08-27 12:00:00+00:00,147.85255950631722,148.1340245576335,147.8625595063172,148.02111901263444,148.18967851895167,16.855950631722294,0.0075,22.502031708707477,1067.1208767148346,TP1_PARTIAL,56.60000000000025,8.799999999999386,10.855950631722067,33.144049368277706,702300,270,1,False,29.473753027918725,7
22,D,2025-08-28,Thursday,long,2025-08-28 07:19:00+00:00,2025-08-28 07:45:00+00:00,147.40324653316034,147.226,147.226,147.58049306632068,147.75773959948103,17.724653316034278,0.0075,-17.724653316034278,-809.6280110193208,SL_FULL,49.00000000000091,10.300000000000864,17.224653316034733,0.27534668396640427,672500,26,1,False,27.85888653157497,7
23,D,2025-09-03,Wednesday,long,2025-09-03 07:17:00+00:00,2025-09-03 07:35:00+00:00,148.8301872233061,148.8401872233061,148.8401872233061,149.0301872233061,149.2301872233061,20.0,0.0075,10.499999999998975,420.7859689888861,BE_STOP,43.59999999999786,16.70000000000016,1.618722330610467,30.78127766939076,597200,18,1,False,25.16798978182324,7
24,A,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,0.02,-40.00000000000057,-2145.951227355193,SL_FULL,43.59999999999786,16.70000000000016,40.73066033280952,4.869339667192207,797700,27,2,False,33.676254952387424,7
25,D,2025-09-03,Wednesday,long,2025-09-03 07:41:00+00:00,2025-09-03 08:03:00+00:00,148.8477384884804,148.6477384884804,148.6477384884804,149.04773848848038,149.2477384884804,20.0,0.0075,-19.999999999998863,-806.7394850362053,SL_FULL,43.59999999999786,16.70000000000016,19.073848848037755,2.6261511519606984,599600,22,3,True,25.17313306923584,7
26,A,2025-09-04,Thursday,long,2025-09-04 07:23:00+00:00,2025-09-04 12:00:00+00:00,148.3693664366902,148.3380245576335,147.9693664366902,148.7693664366902,149.1693664366902,40.0,0.02,-3.1341879056697053,-163.76846414998158,HARD_CLOSE,49.39999999999998,,23.136643669019463,4.6633563309796955,775100,277,1,False,33.353254483450556,7
27,D,2025-09-09,Tuesday,long,2025-09-09 07:27:00+00:00,2025-09-09 08:15:00+00:00,147.1104813560077,147.1204813560077,147.1204813560077,147.25296271201543,147.39544406802315,14.248135600772116,0.0075,7.624067800385603,418.2656542807122,BE_STOP,,6.200000000001182,24.248135600771548,22.65186439922786,807800,48,1,False,34.519536169899254,7
28,D,2025-09-11,Thursday,long,2025-09-11 07:31:00+00:00,2025-09-11 12:00:00+00:00,147.81558340070032,147.9580245576335,147.626,148.00516680140063,148.19475020210095,18.958340070031454,0.0075,14.244115693318802,589.5656201594231,HARD_CLOSE,46.999999999999886,9.799999999998477,4.5583400700309085,17.741659929967568,612400,269,1,False,26.1899756234744,7
29,D,2025-09-16,Tuesday,long,2025-09-16 08:04:00+00:00,2025-09-16 12:00:00+00:00,146.94740508979925,146.9500245576335,146.74740508979926,147.14740508979924,147.34740508979925,20.0,0.0075,0.26194678342505995,10.345960373778462,HARD_CLOSE,,19.10000000000025,7.940508979925198,16.85949102007669,580400,236,1,False,24.5375533703173,8
30,D,2025-09-17,Wednesday,long,2025-09-17 07:23:00+00:00,2025-09-17 08:43:00+00:00,146.66936643669018,146.4693664366902,146.4693664366902,146.86936643669017,147.0693664366902,20.0,0.0075,-19.999999999998863,-791.0186465514115,SL_FULL,39.19999999999959,13.000000000002387,21.236643669018918,1.263356330980514,579300,80,1,False,24.442308407352847,7
31,D,2025-09-24,Wednesday,long,2025-09-24 08:26:00+00:00,2025-09-24 11:28:00+00:00,148.13481687299583,148.44845061898747,148.14481687299582,148.29163374599165,148.44845061898747,15.681687299581881,0.0075,23.522530949372822,1173.937964037533,TP2_FULL,59.30000000000177,8.599999999998431,2.281687299583268,32.71831270041616,740600,182,1,False,31.799016311566785,8
32,D,2025-09-30,Tuesday,long,2025-09-30 07:42:00+00:00,2025-09-30 07:43:00+00:00,148.1697440455168,148.012,148.012,148.32748809103362,148.48523213655042,15.774404551680732,0.0075,-15.774404551680732,-793.6653156255331,SL_FULL,,6.60000000000025,16.374404551680755,0.0,744700,1,1,False,31.627459135075913,7
33,D,2025-10-07,Tuesday,long,2025-10-07 08:40:00+00:00,2025-10-07 12:00:00+00:00,150.75275088611804,150.8900245576335,150.76275088611803,150.92750177223607,151.1022526583541,17.475088611803358,0.0075,15.601227881674617,701.7455768425586,TP1_PARTIAL,45.09999999999934,10.499999999998977,4.4750886118038125,19.924911388196165,678800,200,1,False,29.55310446018627,8
34,D,2025-10-08,Wednesday,long,2025-10-08 07:16:00+00:00,2025-10-08 09:03:00+00:00,152.49615815645078,152.88447446935234,152.50615815645077,152.69031631290156,152.88447446935234,19.415815645078283,0.0075,29.123723467617427,1185.7620917146892,TP2_FULL,59.00000000000034,12.300000000001887,14.6158156450781,39.78418435492301,622200,107,1,False,27.220123485050312,7
35,D,2025-10-15,Wednesday,long,2025-10-15 07:17:00+00:00,2025-10-15 12:00:00+00:00,151.1991872233061,151.4920245576335,151.2091872233061,151.3991872233061,151.5991872233061,20.0,0.0075,24.64186671636952,985.3210451394671,TP1_PARTIAL,,17.199999999999704,10.81872233060892,31.281277669390306,605600,283,1,False,25.976965317986256,7
36,D,2025-10-16,Thursday,long,2025-10-16 07:59:00+00:00,2025-10-16 08:05:00+00:00,151.32154517018296,151.12154517018297,151.12154517018297,151.52154517018295,151.72154517018296,20.0,0.0075,-19.999999999998863,-809.5470428271623,SL_FULL,,18.000000000000682,20.954517018296315,0.0,611700,6,1,False,26.01983489176804,7
37,D,2025-10-21,Tuesday,long,2025-10-21 08:27:00+00:00,2025-10-21 09:12:00+00:00,151.34180224599936,151.74180224599937,151.35180224599935,151.54180224599935,151.74180224599937,20.0,0.0075,29.99999999999972,1200.9883473572745,TP2_FULL,,14.000000000001478,0.9802245999367187,41.41977540006394,607200,45,1,False,26.027333230755257,8
38,D,2025-11-04,Tuesday,long,2025-11-04 08:32:00+00:00,2025-11-04 09:51:00+00:00,153.65675269204573,153.45675269204574,153.45675269204574,153.85675269204572,154.05675269204573,20.0,0.0075,-19.999999999998863,-812.4764652761714,SL_FULL,,13.2000000000005,22.075269204572123,10.12473079542815,623400,79,1,False,26.829315899267186,8
39,A,2025-11-06,Thursday,short,2025-11-06 08:27:00+00:00,2025-11-06 13:00:00+00:00,153.68219775400064,153.62075331841723,154.08219775400065,153.28219775400063,152.88219775400063,40.0,0.02,6.144443558341094,330.01923701538266,HARD_CLOSE,36.7999999999995,16.800000000000637,9.480224599934672,15.119775400063418,825100,273,1,False,35.78450205709458,8
