trade_id,setup_type,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,risk_pct,pnl_pips,pnl_usd,exit_reason,asian_range_pips,lor_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,trade_sequence_number,is_reentry,margin_used_pct,entry_hour_utc
16,D,2025-10-15,Wednesday,long,2025-10-15 07:17:00+00:00,2025-10-15 12:00:00+00:00,151.1991872233061,151.4920245576335,151.2091872233061,151.3991872233061,151.5991872233061,20.0,0.0075,24.642663056516437,948.4183766295154,TP1_PARTIAL,,17.199999999999704,10.81872233060892,31.281277669390306,582900,283,1,False,25.976425850080158,7
17,D,2025-11-12,Wednesday,long,2025-11-12 09:12:00+00:00,2025-11-12 13:00:00+00:00,154.8003856283371,154.79524668158277,154.6003856283371,155.00038562833709,155.2003856283371,20.0,0.0075,-0.5138946754328799,-19.995366114174715,HARD_CLOSE,,12.999999999999545,9.438562833710762,10.961437166290011,602300,228,1,False,27.22907802538181,9
18,D,2025-11-19,Wednesday,long,2025-11-19 08:21:00+00:00,2025-11-19 09:47:00+00:00,155.59891228691615,155.89473686074845,155.60891228691614,155.7468245738323,155.89473686074845,14.791228691615288,0.0075,22.186843037422936,1165.1105621457968,TP2_FULL,36.69999999999902,5.299999999999727,4.191228691615834,34.50877130838421,818400,86,1,False,37.19665707781956,8
19,D,2025-11-26,Wednesday,long,2025-11-26 08:57:00+00:00,2025-11-26 13:00:00+00:00,156.50190756830335,156.46824668158277,156.30190756830336,156.70190756830334,156.90190756830336,20.0,0.0075,-3.366088672058254,-132.43352759847647,HARD_CLOSE,,11.999999999997613,17.590756830335863,8.809243169665137,615600,243,1,False,27.829132443648813,8
20,D,2025-12-10,Wednesday,long,2025-12-10 09:14:00+00:00,2025-12-10 13:00:00+00:00,156.74235538150558,156.7042466815828,156.551,156.93371076301116,157.12506614451675,19.135538150558773,0.0075,-3.8108699922787537,-156.51623864504145,HARD_CLOSE,37.999999999999545,11.600000000001387,6.935538150557363,14.76446184944109,643600,226,1,False,29.17644809015172,9
21,D,2025-12-31,Wednesday,long,2025-12-31 09:56:00+00:00,2025-12-31 13:00:00+00:00,156.64506684275543,156.58924668158278,156.5,156.79013368551085,156.93520052826628,14.506684275542625,0.0075,-5.582016117264743,-302.00567119165413,HARD_CLOSE,32.20000000000027,6.399999999999295,9.306684275543375,3.093315724456147,847200,184,1,False,38.43987228369044,9
22,D,2026-01-07,Wednesday,long,2026-01-07 08:38:00+00:00,2026-01-07 09:30:00+00:00,156.5807433399752,156.431,156.431,156.73048667995036,156.88023001992553,14.97433399751742,0.0075,-14.97433399751742,-783.029272328966,SL_FULL,51.59999999999911,7.299999999997908,14.274333997519761,0.5256660024826942,818000,52,1,False,37.20715220346255,8
23,A,2026-01-14,Wednesday,short,2026-01-14 08:35:00+00:00,2026-01-14 13:00:00+00:00,158.93825842487465,158.5697533184172,158.92825842487466,158.53825842487464,158.13825842487464,40.0,0.02,38.425063911096466,1993.7956476232876,TP1_PARTIAL,37.10000000000093,17.599999999998772,14.974157512534703,80.22584248746512,822700,265,1,False,38.27163104807278,8
24,D,2026-01-21,Wednesday,long,2026-01-21 09:57:00+00:00,2026-01-21 12:13:00+00:00,158.03105380740058,157.8310538074006,157.8310538074006,158.23105380740057,158.4310538074006,20.0,0.0075,-19.999999999998863,-792.3662484861957,SL_FULL,42.199999999999704,15.299999999999159,19.90538074005883,5.794619259941669,625300,136,1,False,28.376180690264814,9
25,D,2026-02-04,Wednesday,long,2026-02-04 09:32:00+00:00,2026-02-04 13:00:00+00:00,156.53581405136788,156.61824668158278,156.54581405136787,156.70662810273575,156.87744215410362,17.081405136786998,0.0075,12.662334079138304,581.7253775929989,TP1_PARTIAL,,6.89999999999884,4.18140513678793,32.2185948632125,719800,208,1,False,32.60032372058756,9
26,D,2026-02-18,Wednesday,long,2026-02-18 08:43:00+00:00,2026-02-18 12:35:00+00:00,153.75077018635207,153.558,153.558,153.94354037270415,154.13631055905623,19.27701863520781,0.0075,-19.27701863520781,-790.7496866537335,SL_FULL,,12.000000000000455,19.077018635206855,10.722981364793327,629900,232,1,False,27.866327746871594,8
27,D,2026-02-25,Wednesday,long,2026-02-25 08:26:00+00:00,2026-02-25 09:20:00+00:00,156.14781687299583,156.54781687299584,156.15781687299582,156.34781687299582,156.54781687299584,20.0,0.0075,29.999999999999712,1173.3046851695542,TP2_FULL,,17.600000000001614,4.881687299584314,42.61831270041796,612000,54,1,False,27.704563001197087,8
