time,open,high,low,close
2026-02-23T12:40:00.000000000Z,154.960,154.982,154.958,154.980
2026-02-23T12:41:00.000000000Z,154.982,154.982,154.964,154.971
2026-02-23T12:42:00.000000000Z,154.970,154.972,154.945,154.947
2026-02-23T12:43:00.000000000Z,154.946,154.954,154.946,154.950
2026-02-23T12:44:00.000000000Z,154.951,154.958,154.940,154.940
2026-02-23T12:45:00.000000000Z,154.940,154.943,154.930,154.939
2026-02-23T12:46:00.000000000Z,154.938,154.938,154.914,154.916
2026-02-23T12:47:00.000000000Z,154.916,154.936,154.914,154.929
2026-02-23T12:48:00.000000000Z,154.930,154.930,154.902,154.902
2026-02-23T12:49:00.000000000Z,154.903,154.918,154.902,154.908
2026-02-23T12:50:00.000000000Z,154.908,154.913,154.903,154.903
2026-02-23T12:51:00.000000000Z,154.902,154.906,154.884,154.889
2026-02-23T12:52:00.000000000Z,154.888,154.888,154.868,154.888
2026-02-23T12:53:00.000000000Z,154.887,154.890,154.879,154.883
2026-02-23T12:54:00.000000000Z,154.882,154.902,154.880,154.898
2026-02-23T12:55:00.000000000Z,154.898,154.941,154.898,154.940
2026-02-23T12:56:00.000000000Z,154.939,154.962,154.936,154.962
2026-02-23T12:57:00.000000000Z,154.962,154.962,154.910,154.910
2026-02-23T12:58:00.000000000Z,154.909,154.918,154.902,154.902
2026-02-23T12:59:00.000000000Z,154.902,154.904,154.892,154.900
2026-02-23T13:00:00.000000000Z,154.902,154.955,154.890,154.892
2026-02-23T13:01:00.000000000Z,154.892,154.933,154.888,154.908
2026-02-23T13:02:00.000000000Z,154.909,154.910,154.868,154.880
2026-02-23T13:03:00.000000000Z,154.880,154.900,154.857,154.865
2026-02-23T13:04:00.000000000Z,154.865,154.903,154.862,154.896
2026-02-23T13:05:00.000000000Z,154.895,154.896,154.853,154.854
2026-02-23T13:06:00.000000000Z,154.852,154.860,154.821,154.836
2026-02-23T13:07:00.000000000Z,154.836,154.848,154.834,154.835
2026-02-23T13:08:00.000000000Z,154.834,154.838,154.818,154.825
2026-02-23T13:09:00.000000000Z,154.826,154.828,154.814,154.818
2026-02-23T13:10:00.000000000Z,154.819,154.832,154.805,154.808
2026-02-23T13:11:00.000000000Z,154.809,154.812,154.796,154.802
2026-02-23T13:12:00.000000000Z,154.802,154.820,154.796,154.806
2026-02-23T13:13:00.000000000Z,154.804,154.811,154.792,154.801
2026-02-23T13:14:00.000000000Z,154.800,154.812,154.800,154.810
2026-02-23T13:15:00.000000000Z,154.812,154.832,154.812,154.821
2026-02-23T13:16:00.000000000Z,154.822,154.823,154.788,154.788
2026-02-23T13:17:00.000000000Z,154.787,154.790,154.738,154.740
2026-02-23T13:18:00.000000000Z,154.734,154.734,154.701,154.728
2026-02-23T13:19:00.000000000Z,154.728,154.732,154.700,154.718
2026-02-23T13:20:00.000000000Z,154.718,154.722,154.698,154.714
2026-02-23T13:21:00.000000000Z,154.711,154.714,154.700,154.704
2026-02-23T13:22:00.000000000Z,154.704,154.733,154.702,154.726
2026-02-23T13:23:00.000000000Z,154.726,154.740,154.725,154.733
2026-02-23T13:24:00.000000000Z,154.731,154.732,154.712,154.729
2026-02-23T13:25:00.000000000Z,154.728,154.763,154.718,154.761
2026-02-23T13:26:00.000000000Z,154.760,154.772,154.748,154.768
2026-02-23T13:27:00.000000000Z,154.765,154.765,154.745,154.745
2026-02-23T13:28:00.000000000Z,154.746,154.746,154.703,154.706
2026-02-23T13:29:00.000000000Z,154.708,154.713,154.700,154.704
2026-02-23T13:30:00.000000000Z,154.704,154.704,154.639,154.652
2026-02-23T13:31:00.000000000Z,154.652,154.676,154.648,154.663
2026-02-23T13:32:00.000000000Z,154.662,154.665,154.624,154.624
2026-02-23T13:33:00.000000000Z,154.624,154.648,154.624,154.626
2026-02-23T13:34:00.000000000Z,154.626,154.628,154.599,154.608
2026-02-23T13:35:00.000000000Z,154.608,154.617,154.576,154.578
2026-02-23T13:36:00.000000000Z,154.578,154.606,154.566,154.600
2026-02-23T13:37:00.000000000Z,154.599,154.606,154.582,154.604
2026-02-23T13:38:00.000000000Z,154.606,154.608,154.570,154.583
2026-02-23T13:39:00.000000000Z,154.586,154.628,154.586,154.606
2026-02-23T13:40:00.000000000Z,154.606,154.631,154.600,154.612
2026-02-23T13:41:00.000000000Z,154.612,154.618,154.593,154.616
2026-02-23T13:42:00.000000000Z,154.615,154.626,154.598,154.602
2026-02-23T13:43:00.000000000Z,154.601,154.606,154.592,154.593
2026-02-23T13:44:00.000000000Z,154.592,154.600,154.582,154.596
2026-02-23T13:45:00.000000000Z,154.596,154.636,154.594,154.635
2026-02-23T13:46:00.000000000Z,154.636,154.637,154.610,154.624
2026-02-23T13:47:00.000000000Z,154.624,154.640,154.608,154.608
2026-02-23T13:48:00.000000000Z,154.610,154.634,154.610,154.629
2026-02-23T13:49:00.000000000Z,154.630,154.637,154.619,154.632
2026-02-23T13:50:00.000000000Z,154.634,154.682,154.634,154.670
2026-02-23T13:51:00.000000000Z,154.672,154.686,154.660,154.677
2026-02-23T13:52:00.000000000Z,154.678,154.687,154.652,154.662
2026-02-23T13:53:00.000000000Z,154.664,154.673,154.652,154.668
2026-02-23T13:54:00.000000000Z,154.667,154.688,154.666,154.674
2026-02-23T13:55:00.000000000Z,154.673,154.676,154.656,154.668
2026-02-23T13:56:00.000000000Z,154.668,154.670,154.638,154.655
2026-02-23T13:57:00.000000000Z,154.654,154.658,154.607,154.608
2026-02-23T13:58:00.000000000Z,154.607,154.628,154.603,154.626
2026-02-23T13:59:00.000000000Z,154.624,154.653,154.614,154.622
2026-02-23T14:00:00.000000000Z,154.622,154.626,154.580,154.590
2026-02-23T14:01:00.000000000Z,154.591,154.612,154.586,154.607
2026-02-23T14:02:00.000000000Z,154.608,154.644,154.593,154.619
2026-02-23T14:03:00.000000000Z,154.619,154.640,154.616,154.640
2026-02-23T14:04:00.000000000Z,154.641,154.677,154.635,154.652
2026-02-23T14:05:00.000000000Z,154.648,154.657,154.638,154.651
2026-02-23T14:06:00.000000000Z,154.652,154.658,154.632,154.642
2026-02-23T14:07:00.000000000Z,154.642,154.642,154.610,154.616
2026-02-23T14:08:00.000000000Z,154.616,154.628,154.604,154.626
2026-02-23T14:09:00.000000000Z,154.626,154.627,154.606,154.615
2026-02-23T14:10:00.000000000Z,154.614,154.632,154.602,154.629
2026-02-23T14:11:00.000000000Z,154.628,154.677,154.628,154.674
2026-02-23T14:12:00.000000000Z,154.673,154.674,154.658,154.658
2026-02-23T14:13:00.000000000Z,154.660,154.666,154.654,154.654
2026-02-23T14:14:00.000000000Z,154.653,154.664,154.636,154.639
2026-02-23T14:15:00.000000000Z,154.640,154.641,154.615,154.616
2026-02-23T14:16:00.000000000Z,154.616,154.616,154.597,154.607
2026-02-23T14:17:00.000000000Z,154.606,154.634,154.604,154.630
2026-02-23T14:18:00.000000000Z,154.629,154.632,154.626,154.628
2026-02-23T14:19:00.000000000Z,154.628,154.658,154.628,154.657
2026-02-23T14:20:00.000000000Z,154.658,154.680,154.655,154.680
2026-02-23T14:21:00.000000000Z,154.680,154.690,154.665,154.678
2026-02-23T14:22:00.000000000Z,154.678,154.698,154.678,154.690
2026-02-23T14:23:00.000000000Z,154.690,154.712,154.690,154.712
2026-02-23T14:24:00.000000000Z,154.712,154.744,154.712,154.744
2026-02-23T14:25:00.000000000Z,154.744,154.756,154.734,154.752
2026-02-23T14:26:00.000000000Z,154.752,154.772,154.746,154.772
2026-02-23T14:27:00.000000000Z,154.773,154.779,154.770,154.776
2026-02-23T14:28:00.000000000Z,154.777,154.777,154.759,154.769
2026-02-23T14:29:00.000000000Z,154.770,154.771,154.758,154.759
2026-02-23T14:30:00.000000000Z,154.760,154.818,154.759,154.816
2026-02-23T14:31:00.000000000Z,154.816,154.826,154.736,154.739
2026-02-23T14:32:00.000000000Z,154.740,154.748,154.704,154.724
