ema5,ema9,ema21,signal_rate,signals,precision,capture,quality,horizon_bars,target_pips
0.45,0.45,0.15,0.31678969373262117,15836,0.4105203334175297,0.16521805428484293,0.40850557016961514,8,1.2
0.55,0.28,0.15,0.3111284482586169,15553,0.40982447116311965,0.16199044424113043,0.40848905737208563,8,1.2
0.55,0.15,0.15,0.31136850107023545,15565,0.40982974622550594,0.1621175155026939,0.4084655260970777,8,1.2
0.55,0.18,0.15,0.31136850107023545,15565,0.40982974622550594,0.1621175155026939,0.4084655260970777,8,1.2
0.55,0.55,0.18,0.2533157294604813,12663,0.41396193634999606,0.13322151062315746,0.4083598238852538,8,1.2
0.55,0.45,0.18,0.28676308787933347,14335,0.4099058249040809,0.14933414658940733,0.40831739544960094,8,1.2
0.55,0.35,0.22,0.2844425773670207,14219,0.4101554258386666,0.14821591948764867,0.4082885351227091,8,1.2
0.55,0.35,0.15,0.30938806537438235,15466,0.4092202250096987,0.16084680288705908,0.4080936571647728,8,1.2
0.35,0.35,0.28,0.3109684130508712,15545,0.40939208748793826,0.16173630171800346,0.4080758779218337,8,1.2
0.45,0.45,0.28,0.2766208565884495,13828,0.41083309227654036,0.14437836738843143,0.4080275950671543,8,1.2
0.7,0.28,0.05,0.2597571465722459,12985,0.41278398151713513,0.1362203923960557,0.40795483910580466,8,1.2
0.7,0.12,0.05,0.25997719498289623,12996,0.4126654355186211,0.1362966351529938,0.4078626989165687,8,1.2
0.7,0.05,0.05,0.25999719938386445,12997,0.41263368469646844,0.1362966351529938,0.4078333486225322,8,1.2
0.7,0.08,0.05,0.25999719938386445,12997,0.41263368469646844,0.1362966351529938,0.4078333486225322,8,1.2
0.7,0.1,0.05,0.25999719938386445,12997,0.41263368469646844,0.1362966351529938,0.4078333486225322,8,1.2
0.7,0.22,0.05,0.2598971773790234,12992,0.4126385467980296,0.1362458066483684,0.4078262080835124,8,1.2
0.7,0.15,0.05,0.259957190581928,12995,0.4126202385532897,0.1362712209006811,0.4078151014231211,8,1.2
0.7,0.18,0.05,0.259957190581928,12995,0.4126202385532897,0.1362712209006811,0.4078151014231211,8,1.2
0.35,0.28,0.28,0.3141091040028806,15702,0.4093109158069036,0.16333739961370336,0.40761782332655794,8,1.2
0.7,0.28,0.08,0.25581627958150793,12788,0.4128088833281201,0.13416183795872724,0.40750683687790107,8,1.2
0.7,0.28,0.1,0.2530156634459581,12648,0.4131087919038583,0.13278946833384161,0.40747067151737326,8,1.2
0.45,0.45,0.12,0.32169077196983337,16081,0.4100491262981158,0.16758157974992377,0.40744623366173577,8,1.2
0.7,0.22,0.08,0.2558762927844126,12791,0.412712063169416,0.13416183795872724,0.4074172183035455,8,1.2
0.7,0.22,0.1,0.25305567224789455,12650,0.41304347826086957,0.13278946833384161,0.40741015893061694,8,1.2
0.7,0.12,0.08,0.2559363059873172,12794,0.41269345005471314,0.13418725221103994,0.4074058067731912,8,1.2
0.7,0.15,0.08,0.2559363059873172,12794,0.41269345005471314,0.13418725221103994,0.4074058067731912,8,1.2
0.7,0.18,0.08,0.2559363059873172,12794,0.41269345005471314,0.13418725221103994,0.4074058067731912,8,1.2
0.7,0.35,0.05,0.2588369441277081,12939,0.4123193446170492,0.1355850360882383,0.4073797779123742,8,1.2
0.7,0.08,0.08,0.2559563103882854,12795,0.4126611957796014,0.13418725221103994,0.40737595302619567,8,1.2
0.7,0.1,0.08,0.2559563103882854,12795,0.4126611957796014,0.13418725221103994,0.40737595302619567,8,1.2
0.7,0.35,0.08,0.25523615195342975,12759,0.4127282702406145,0.1338314526786622,0.407356608475026,8,1.2
0.7,0.12,0.1,0.253095681049831,12652,0.41297818526715147,0.13278946833384161,0.4073496669931312,8,1.2
0.7,0.15,0.1,0.253095681049831,12652,0.41297818526715147,0.13278946833384161,0.4073496669931312,8,1.2
0.7,0.18,0.1,0.253095681049831,12652,0.41297818526715147,0.13278946833384161,0.4073496669931312,8,1.2
0.55,0.55,0.22,0.24783452359519095,12389,0.41359270320445557,0.13022262885025923,0.4073328460358785,8,1.2
0.7,0.1,0.1,0.25311568545079915,12653,0.4129455465107089,0.13278946833384161,0.4073194287648048,8,1.2
0.45,0.35,0.35,0.24451379303446757,12223,0.41397365622187676,0.12859611670224663,0.40731531138601285,8,1.2
0.55,0.45,0.22,0.2764008081777991,13817,0.41014692046030254,0.14402256785605366,0.40731501744163845,8,1.2
0.7,0.28,0.12,0.2502150473104083,12508,0.41325551646945957,0.1313662702043306,0.4072813221467086,8,1.2
0.7,0.35,0.1,0.2525155534217528,12623,0.4129763130792997,0.13248449730608924,0.4072781794899101,8,1.2
0.55,0.55,0.28,0.235631839004581,11779,0.41497580439765686,0.12422486530446274,0.40725162507820656,8,1.2
0.7,0.22,0.12,0.2502350517113765,12509,0.4132224798145335,0.1313662702043306,0.4072506860198987,8,1.2
0.7,0.22,0.15,0.24535397787513252,12265,0.4137790460660416,0.12897733048693708,0.4072215234110575,8,1.2
