trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
22,2025-01-16 21:51:00+00:00,2025-01-16 21:50:00+00:00,1,2025-01-16 22:04:00+00:00,long,155.14149999999998,155.1605,154.86149999999998,156.829,session_close,1.900000000003388,17.035289265017276,4,139116,6.0,28.0,2025-01-17,13.0,50215.78255197865,50232.81784124367,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.829,157.649918,158.157082,156.008082,155.500918,155.2688475861634,155.1979,155.12695241383662,155.102,bullish,34.23423423422996,0.0853571428571444
23,2025-01-17 21:20:00+00:00,2025-01-17 21:19:00+00:00,1,2025-01-19 22:04:00+00:00,short,156.2305,156.27249999999998,156.5105,155.58533333333335,session_close,-4.199999999997317,-37.664477115271346,3,140141,6.0,28.0,2025-01-18,2924.0,50232.81784124367,50195.1533641284,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.58533333333335,156.13159333333334,156.46907333333337,155.03907333333336,154.70159333333334,156.22868796030906,156.16505,156.10141203969096,156.27,bearish,66.12377850162909,0.07042857142856869
24,2025-01-22 21:16:00+00:00,2025-01-22 21:15:00+00:00,1,2025-01-22 22:04:00+00:00,short,156.57750000000001,156.5035,156.56750000000002,155.51266666666666,tp1_then_session_close,6.700000000000728,60.08047995540862,4,140346,6.0,28.0,2025-01-23,48.0,50195.1533641284,50255.23384408381,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.51266666666666,156.07382466666667,156.42050866666665,154.95150866666665,154.60482466666667,156.579325526922,156.5135,156.447674473078,156.5191056,bullish,66.38297872340291,0.06907142857143153
25,2025-01-23 19:53:00+00:00,2025-01-23 19:51:00+00:00,2,2025-01-23 20:09:00+00:00,long,155.7765,155.7865,155.7865,156.19766666666666,tp1_then_be_stop,3.499999999999659,31.39883364345945,3,139796,6.0,28.0,2025-01-24,16.0,50255.23384408381,50286.63267772726,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.19766666666666,156.71680466666666,157.03752866666665,155.67852866666667,155.35780466666668,156.0403856269029,155.9329,155.8254143730971,155.8753292618752,bearish,30.158730158726442,0.1115000000000066
26,2025-01-24 17:18:00+00:00,2025-01-24 17:15:00+00:00,3,2025-01-24 18:58:00+00:00,long,155.5495,155.9355,155.55949999999999,156.19066666666666,tp1_then_trailing_stop,24.400101661667083,218.64691235405098,4,139679,10.199999999999878,28.0,2025-01-25,100.0,50286.63267772726,50505.279590081314,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.19066666666666,156.57686866666666,156.81546466666666,155.80446466666666,155.56586866666666,155.81247428020828,155.68005,155.5476257197917,155.516,bullish,33.21100917431309,0.20399999999999757
27,2025-01-30 19:53:00+00:00,2025-01-30 19:52:00+00:00,1,2025-01-30 20:18:00+00:00,long,154.1675,154.0675,154.0675,155.326,sl,-9.999999999999432,-252.6898924172703,5,389313,6.0,10.0,2025-01-31,25.0,50505.279590081314,50252.58969766404,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.326,155.651464,155.852536,155.00053599999998,154.799464,154.52554494399672,154.33765,154.14975505600327,154.1,bullish,13.111545988263217,0.11099999999999811
28,2025-01-31 19:56:00+00:00,2025-01-31 19:55:00+00:00,1,2025-01-31 21:10:00+00:00,short,155.1605,155.11350000000002,155.15050000000002,154.43633333333335,tp1_then_trailing_stop,6.3392750430338625,62.78950385107201,3,153617,7.97857142857146,25.378733333334935,2025-02-01,74.0,50252.58969766404,50315.37920151511,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.43633333333335,154.99137933333336,155.33428733333335,153.88128733333335,153.53837933333335,155.18155832387055,155.08905,154.99654167612943,155.070115712,bullish,66.00000000000186,0.1595714285714292
29,2025-02-04 17:59:00+00:00,2025-02-04 17:58:00+00:00,1,2025-02-04 22:04:00+00:00,long,154.27849999999998,154.3325,153.99849999999998,154.88866666666664,session_close,5.400000000003047,48.501242447340786,4,138617,7.953571428571442,28.0,2025-02-05,245.0,50315.37920151511,50363.88044396245,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.88866666666664,155.60529866666664,156.04803466666664,154.17203466666663,153.72929866666664,154.71232118159367,154.48505,154.25777881840634,154.35052006400002,bearish,27.980922098568897,0.15907142857142884
30,2025-02-06 18:24:00+00:00,2025-02-06 18:22:00+00:00,2,2025-02-06 18:28:00+00:00,long,151.7215,151.52398466666665,151.52398466666665,153.05566666666667,sl,-19.751533333334237,-252.14739823127155,4,193435,8.83571428571445,19.751533333334237,2025-02-07,4.0,50363.88044396245,50111.73304573118,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.05566666666667,153.95298466666665,154.50734866666667,152.15834866666668,151.60398466666666,152.09241917178122,151.89505000000003,151.69768082821884,151.636,bullish,21.88099808061135,0.17671428571428902
32,2025-02-11 19:34:00+00:00,2025-02-11 19:33:00+00:00,1,2025-02-11 19:40:00+00:00,short,152.5335,152.4375,152.5235,151.924,tp1_then_trailing_stop,7.800000000000295,70.75246243787086,3,138286,6.0,27.637200000000917,2025-02-12,6.0,50111.73304573118,50182.48550816905,TOKYO_MEANREV,tokyo_meanrev,tokyo,151.924,152.42212800000001,152.729872,151.425872,151.118128,152.5474152202621,152.4413,152.33518477973792,152.505,bullish,66.08187134503197,0.09092857142857318
