trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,pnl_usd,confluence_score,position_size_units,position_units,partial_tp_pips,initial_sl_pips,regime_label,regime,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,rejection_confirmed,divergence_present,inside_ir,quality_markers,sl_source,tp_source,distance_to_ir_boundary_pips,distance_to_midpoint_pips,distance_to_pivot_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_middle,bb_lower,sar_value,sar_direction,rsi_m5,rsi_value,atr_m15,atr_value,hour_utc,day_of_week
17,2025-03-28 20:11:00+00:00,2025-03-28 20:04:00+00:00,7,2025-03-28 20:55:00+00:00,long,149.7175,149.8285,149.7375,150.75833333333333,tp1_then_trailing_stop,8.549999999999612,285.3603124654932,285.3603124654932,5,500000,500000,6.0,13.616666666666788,neutral,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,16.70000000000016,4.099999999999682,False,False,False,,pivot,pivot,0.0,0.0,98.1333333333339,2025-03-29,44.0,102530.76443458941,102816.1247470549,TOKYO_MEANREV,tokyo_meanrev,tokyo,150.75833333333333,151.17738733333331,151.43627933333332,150.33927933333334,150.08038733333333,150.14297540668917,149.95028,149.95028,149.7575845933108,149.711,bullish,17.589576547225008,17.589576547225008,0.11214285714285056,0.11214285714285056,20,Friday
18,2025-04-16 17:41:00+00:00,2025-04-16 17:40:00+00:00,1,2025-04-16 18:01:00+00:00,long,142.36849999999998,142.3885,142.3885,143.13133333333334,tp1_then_be_stop,4.664285714285654,163.73916960350377,163.73916960350377,4,500000,500000,7.328571428571504,31.416666666666515,neutral,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,7.400000000001228,6.999999999996476,False,False,False,,pivot,pivot,0.0,0.0,77.73333333333312,2025-04-17,20.0,102816.1247470549,102979.8639166584,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.13133333333334,143.51218733333334,143.74747933333336,142.75047933333335,142.51518733333333,142.73047876890288,142.57544,142.57544,142.4204012310971,142.60062434849183,bearish,34.398976982096286,34.398976982096286,0.14657142857143007,0.14657142857143007,17,Wednesday
19,2025-04-30 18:24:00+00:00,2025-04-30 18:22:00+00:00,2,2025-04-30 19:21:00+00:00,short,142.91750000000002,142.7815,142.8975,142.34533333333334,tp1_then_trailing_stop,11.189285714287678,391.78058942785907,391.78058942785907,5,500000,500000,8.778571428571626,30.283333333332507,neutral,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,19.400000000001683,4.79999999999734,False,False,False,,pivot,pivot,0.0,0.0,56.96666666666488,2025-05-01,57.0,102979.8639166584,103371.64450608626,TOKYO_MEANREV,tokyo_meanrev,tokyo,142.34533333333334,142.64902333333333,142.83664333333334,142.04164333333335,141.85402333333334,142.9176207869125,142.71831999999998,142.71831999999998,142.51901921308746,142.9544760604095,bearish,74.87684729064097,74.87684729064097,0.17557142857143251,0.17557142857143251,18,Wednesday
20,2025-04-30 20:14:00+00:00,2025-04-30 20:13:00+00:00,1,2025-04-30 21:55:00+00:00,short,143.0525,143.0155,143.0325,142.34533333333334,tp1_then_trailing_stop,4.850000000000421,169.5789107750952,169.5789107750952,5,500000,500000,6.0,16.783333333333417,neutral,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,8,strong,immediate,11.000000000001364,14.699999999999136,False,False,False,,pivot,pivot,0.0,0.0,72.46666666666499,2025-05-01,101.0,103371.64450608626,103541.22341686135,TOKYO_MEANREV,tokyo_meanrev,tokyo,142.34533333333334,142.64902333333333,142.83664333333334,142.04164333333335,141.85402333333334,143.03935866943092,142.86344,142.86344,142.68752133056907,143.094,bearish,84.30851063829355,84.30851063829355,0.11607142857142858,0.11607142857142858,20,Wednesday
21,2025-05-20 18:14:00+00:00,2025-05-20 18:13:00+00:00,1,2025-05-20 22:00:00+00:00,long,144.6025,144.4845,144.2525,145.00733333333332,session_close,-11.7999999999995,-408.34830033669704,-408.34830033669704,5,500000,500000,6.0,35.0,neutral,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,2.000000000001023,17.799999999999727,False,False,False,,pivot,pivot,0.0,0.0,42.9333333333318,2025-05-21,226.0,103541.22341686135,103132.87511652465,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.00733333333332,145.31904533333332,145.51162133333332,144.69562133333332,144.50304533333332,144.93604702497473,144.75616,144.75616,144.57627297502526,144.67821320064002,bearish,24.812030075188872,24.812030075188872,0.10985714285713957,0.10985714285713957,18,Tuesday
22,2025-05-21 17:12:00+00:00,2025-05-21 17:10:00+00:00,2,2025-05-21 19:08:00+00:00,long,143.5955,143.6155,143.6155,144.69933333333333,tp1_then_be_stop,4.510714285714812,156.9986253177546,156.9986253177546,4,500000,500000,7.021428571428499,35.0,neutral,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,8.00000000000125,32.09999999999695,False,False,False,,pivot,pivot,0.0,0.0,112.5333333333316,2025-05-22,116.0,103132.87511652465,103289.8737418424,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.69933333333333,145.24253733333333,145.57812933333332,144.15612933333333,143.82053733333333,143.76951260594322,143.68048000000002,143.68048000000002,143.59144739405681,143.65319209764863,bearish,34.69387755102251,34.69387755102251,0.14042857142857,0.14042857142857,17,Wednesday
23,2025-05-23 17:48:00+00:00,2025-05-23 17:46:00+00:00,2,2025-05-23 18:03:00+00:00,long,142.54649999999998,142.5665,142.5665,143.76366666666664,tp1_then_be_stop,4.2660714285716494,149.58049348908548,149.58049348908548,4,500000,500000,6.532142857142784,35.0,neutral,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,7.00000000000216,2.7999999999963165,False,False,False,,pivot,pivot,0.0,0.0,121.56666666666354,2025-05-24,15.0,103289.8737418424,103439.45423533149,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.76366666666664,144.38021466666663,144.76111866666665,143.14711866666664,142.76621466666663,142.7565831070657,142.65687999999997,142.65687999999997,142.55717689293425,142.528,bullish,30.94339622641428,30.94339622641428,0.13064285714285567,0.13064285714285567,17,Friday
24,2025-05-23 18:26:00+00:00,2025-05-23 18:24:00+00:00,2,2025-05-25 21:04:00+00:00,long,142.5195,142.5395,142.5395,143.76366666666664,tp1_then_be_stop,4.000000000000625,140.2824608014482,140.2824608014482,5,500000,500000,6.0,35.0,neutral,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,6.30000000000166,6.599999999997408,False,False,False,,pivot,pivot,0.0,0.0,125.96666666666465,2025-05-24,3038.0,103439.45423533149,103579.73669613294,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.76366666666664,144.38021466666663,144.76111866666665,143.14711866666664,142.76621466666663,142.76216152188834,142.61787999999999,142.61787999999999,142.47359847811163,142.422,bullish,27.621483375955492,27.621483375955492,0.11892857142856883,0.11892857142856883,18,Friday
25,2025-05-30 16:44:00+00:00,2025-05-30 16:43:00+00:00,1,2025-05-30 20:58:00+00:00,long,143.9905,144.0105,144.0105,144.79599999999996,tp1_then_be_stop,5.660714285714618,196.45602243282468,196.45602243282468,3,500000,500000,9.321428571428621,35.0,neutral,neutral,ABC,medium,0.75,1.0,0.75,1.0,1.0,full,2,weak,immediate,9.800000000001319,20.39999999999793,False,False,False,,pivot,pivot,0.0,0.0,84.49999999999704,2025-05-31,254.0,103579.73669613294,103776.19271856577,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.79599999999996,145.68529599999997,146.23470399999997,143.90670399999996,143.35729599999996,144.3596822988494,144.15308,144.15308,143.94647770115057,144.04044,bearish,33.39960238568432,33.39960238568432,0.18642857142857241,0.18642857142857241,16,Friday
26,2025-06-03 20:02:00+00:00,2025-06-03 20:01:00+00:00,1,2025-06-03 20:50:00+00:00,short,144.05450000000002,144.0115,144.0345,143.06866666666667,tp1_then_trailing_stop,5.150000000000432,178.81746180668952,178.81746180668952,5,500000,500000,6.0,35.0,neutral,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,9.500000000002728,1.799999999997226,False,False,False,,pivot,pivot,0.0,0.0,101.03333333333353,2025-06-04,48.0,103776.19271856577,103955.01018037245,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.06866666666667,143.62256666666667,143.9647666666667,142.51476666666667,142.17256666666665,144.08014433174793,143.94191999999998,143.94191999999998,143.80369566825203,144.109,bearish,80.31496062992724,80.31496062992724,0.07478571428571204,0.07478571428571204,20,Tuesday
27,2025-06-06 20:54:00+00:00,2025-06-06 20:52:00+00:00,2,2025-06-08 21:04:00+00:00,short,144.8605,144.89249999999998,144.9805,143.35066666666665,session_close,-3.1999999999982265,-110.42669565361308,-110.42669565361308,4,500000,500000,6.0,12.0,neutral,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,4,moderate,immediate,0.40000000000190994,3.1999999999982265,False,False,False,,pivot,pivot,0.0,0.0,152.13333333333594,2025-06-07,2890.0,103955.01018037245,103844.58348471884,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.35066666666665,143.90342066666665,144.24491266666666,142.79791266666666,142.45642066666665,144.8684768012285,144.81948,144.81948,144.7704831987715,144.8722137031072,bearish,65.86826347306143,65.86826347306143,0.06514285714285352,0.06514285714285352,20,Friday
28,2025-06-11 18:06:00+00:00,2025-06-11 18:05:00+00:00,1,2025-06-11 18:35:00+00:00,long,144.4195,144.4395,144.4395,144.86233333333334,tp1_then_be_stop,4.000000000000625,138.43752686565094,138.43752686565094,4,500000,500000,6.0,35.0,neutral,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,6.100000000000705,9.899999999998954,False,False,False,,pivot,pivot,0.0,0.0,45.83333333333428,2025-06-12,29.0,103844.58348471884,103983.02101158448,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.86233333333334,145.20307733333334,145.41358933333336,144.52158933333334,144.31107733333332,144.66017395567897,144.54752,144.54752,144.434866044321,144.52537200098618,bearish,30.170777988614006,30.170777988614006,0.11950000000000216,0.11950000000000216,18,Wednesday
29,2025-06-17 17:11:00+00:00,2025-06-17 17:10:00+00:00,1,2025-06-17 17:36:00+00:00,short,145.2185,145.1985,145.1985,144.418,tp1_then_be_stop,4.358928571429033,150.13999197128908,150.13999197128908,4,500000,500000,6.717857142857245,35.0,neutral,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,5,moderate,immediate,8.100000000001728,6.499999999999773,False,False,False,,pivot,pivot,0.0,0.0,83.29999999999984,2025-06-18,25.0,103983.02101158448,104133.16100355577,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.418,144.88709599999999,145.176904,143.94890400000003,143.659096,145.2431559019737,145.07039999999998,145.07039999999998,144.89764409802626,145.173166732272,bullish,69.15077989601613,69.15077989601613,0.1343571428571449,0.1343571428571449,17,Tuesday
30,2025-06-17 18:51:00+00:00,2025-06-17 18:48:00+00:00,3,2025-06-17 20:03:00+00:00,short,145.3245,145.2755,145.3045,144.418,tp1_then_trailing_stop,5.450000000000443,187.58246131710501,187.58246131710501,5,500000,500000,6.0,35.0,neutral,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,11.199999999999477,6.399999999999295,False,False,False,,pivot,pivot,0.0,0.0,92.59999999999877,2025-06-18,72.0,104133.16100355577,104320.74346487287,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.418,144.88709599999999,145.176904,143.94890400000003,143.659096,145.33284171903364,145.22019999999998,145.22019999999998,145.10755828096632,145.220112,bullish,70.49808429117903,70.49808429117903,0.11228571428571651,0.11228571428571651,18,Tuesday
31,2025-06-17 19:04:00+00:00,2025-06-17 19:03:00+00:00,1,2025-06-17 20:03:00+00:00,short,145.31050000000002,145.2755,145.2905,144.418,tp1_then_trailing_stop,4.750000000001364,163.50025810761878,163.50025810761878,5,500000,500000,6.0,35.0,neutral,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,9.800000000001319,7.799999999997453,False,False,False,,pivot,pivot,0.0,0.0,92.79999999999973,2025-06-18,59.0,104320.74346487287,104484.2437229805,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.418,144.88709599999999,145.176904,143.94890400000003,143.659096,145.36169736591236,145.24676000000002,145.24676000000002,145.13182263408768,145.378,bearish,71.30177514792481,71.30177514792481,0.1132857142857152,0.1132857142857152,19,Tuesday
33,2025-06-20 20:03:00+00:00,2025-06-20 20:02:00+00:00,1,2025-06-20 20:40:00+00:00,short,146.1635,146.1265,146.1435,145.32966666666667,tp1_then_trailing_stop,4.850000000000421,165.96826270209232,165.96826270209232,5,500000,500000,6.0,28.016666666667334,neutral,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,9.200000000001296,1.8000000000000682,False,False,False,,pivot,pivot,0.0,0.0,85.93333333333248,2025-06-21,37.0,104484.2437229805,104650.21198568259,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.32966666666667,145.72465466666665,145.96867866666668,144.93467866666668,144.69065466666666,146.18159941450745,145.989,145.989,145.79640058549256,146.218,bearish,87.41007194244689,87.41007194244689,0.0688571428571448,0.0688571428571448,20,Friday
