trade_id,entry_datetime,exit_datetime,direction,mode,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,entry_session_day,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,rsi_m5,atr_m15,adx_m15,session_mean,day_type,first_hour_high,first_hour_low,ema20_m5,roc10_m5,news_event_id,news_move_pips
112,2023-09-21 00:15:00+00:00,2023-09-21 00:23:00+00:00,short,mean_reversion,morning_active,148.34799999999998,148.43,148.59799999999998,148.01166666666666,138.35799999999998,trailing_stop,-8.200000000002206,-280.3396752678784,507449,8.0,85516.67703481192,85236.33735954404,0.0,10.300000000003706,2023-09-21,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.01166666666666,148.35011866666665,148.55921466666666,147.67321466666667,147.46411866666665,148.37073279498716,148.30535,148.23996720501285,69.51871657753792,0.06507142857142664,36.59220430692682,148.3594375,UNCLASSIFIED,,,,,,
113,2023-09-21 00:30:00+00:00,2023-09-21 00:57:00+00:00,short,mean_reversion,morning_active,148.423,148.41400000000002,148.63921466666667,148.01166666666666,138.433,trailing_stop,0.899999999998613,35.482003045480106,585114,27.0,85236.33735954404,85271.81936258952,7.200000000000273,4.300000000000637,2023-09-21,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.01166666666666,148.35011866666665,148.55921466666666,147.67321466666667,147.46411866666665,148.42596520213226,148.3254,148.22483479786774,73.1404958677716,0.06664285714285663,32.94234144870252,148.38293548387097,UNCLASSIFIED,,,,,,
114,2023-09-21 00:40:00+00:00,2023-09-21 00:57:00+00:00,short,mean_reversion,morning_active,148.381,148.41400000000002,148.631,148.01166666666666,138.391,trailing_stop,-3.300000000001546,-112.486921719028,505898,17.0,85271.81936258952,85159.3324408705,3.0000000000001137,4.800000000000182,2023-09-21,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.01166666666666,148.35011866666665,148.55921466666666,147.67321466666667,147.46411866666665,148.44101003905007,148.3414,148.24178996094992,64.4688644688676,0.06664285714285663,32.94234144870252,148.38985365853657,UNCLASSIFIED,,,,,,
115,2023-09-22 04:20:00+00:00,2023-09-22 04:48:00+00:00,short,mean_reversion,afternoon_active,148.21699999999998,147.98600000000002,148.46699999999998,147.8255747126437,138.22699999999998,trailing_stop,23.099999999996612,394.0499168839717,252441,28.0,85159.3324408705,85553.38235775447,30.599999999998317,2.1000000000015007,2023-09-22,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,147.788,148.22271600000002,148.491284,147.353284,147.08471600000001,148.34153223109666,148.08089999999999,147.8202677689033,84.87972508591494,0.12128571428570874,29.683380759697485,147.8255747126437,RANGING,,,,,,
116,2023-09-25 01:05:00+00:00,2023-09-25 02:19:00+00:00,long,mean_reversion,morning_active,148.336,148.382,148.15066666666667,148.4047272727272,158.32600000000002,trailing_stop,5.963635699815757,275.1782042603543,684747,74.0,85553.38235775447,85828.56056201483,9.599999999997522,2.000000000001023,2023-09-25,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.31366666666668,148.34537266666666,148.3649606666667,148.2819606666667,148.26237266666666,148.48661076874012,148.40349999999998,148.32038923125984,38.94230769231248,0.07021428571428803,15.524468352529208,148.4047272727272,RANGING,,,,,,
117,2023-09-25 04:30:00+00:00,2023-09-25 06:00:00+00:00,short,mean_reversion,afternoon_active,148.391,148.36,148.4766666666667,148.31366666666668,138.40099999999998,session_end_close,3.099999999997749,208.95119978415667,1000000,90.0,85828.56056201483,86037.51176179899,5.699999999998795,1.8000000000029104,2023-09-25,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.31366666666668,148.34537266666666,148.3649606666667,148.2819606666667,148.26237266666666,148.40766536468684,148.36015000000003,148.31263463531323,86.36363636365839,0.047571428571422256,24.650410443263493,148.38307380073803,RANGING,,,,,,
118,2023-09-25 04:40:00+00:00,2023-09-25 06:00:00+00:00,short,mean_reversion,afternoon_active,148.384,148.36,148.4766666666667,148.31366666666668,138.39399999999998,session_end_close,2.399999999997249,161.76867080056945,1000000,80.0,86037.51176179899,86199.28043259955,4.999999999998295,2.5000000000034106,2023-09-25,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.31366666666668,148.34537266666666,148.3649606666667,148.2819606666667,148.26237266666666,148.41541588717547,148.36545,148.31548411282455,77.38095238096528,0.047571428571422256,24.650410443263493,148.38354804270466,RANGING,,,,,,
119,2023-09-26 00:20:00+00:00,2023-09-26 00:26:00+00:00,long,mean_reversion,morning_active,148.77100000000002,148.69899999999998,148.52100000000002,148.68499999999997,158.76100000000002,trailing_stop,-8.03999781658909,-277.3677311080325,512958,6.0,86199.28043259955,85921.91270149151,0.0,7.500000000001705,2023-09-26,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.68499999999997,148.95660199999998,149.12439799999999,148.41339799999997,148.24560199999996,148.83581715354586,148.802,148.76818284645412,34.969325153375834,0.04078571428572023,19.75773571746024,148.7805238095238,UNCLASSIFIED,,,,,,
120,2023-09-27 00:05:00+00:00,2023-09-27 00:33:00+00:00,long,mean_reversion,morning_active,149.0,148.976,148.75,148.96699999999998,158.99,trailing_stop,-2.9399992970050297,-101.06441699037055,512094,28.0,85921.91270149151,85820.84828450115,3.7999999999982492,3.2000000000010687,2023-09-27,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.96699999999998,149.15112399999998,149.264876,148.782876,148.66912399999998,149.09070323195397,149.04315,148.99559676804603,28.124999999997925,0.04199999999999753,22.32447663400745,148.999,UNCLASSIFIED,,,,,,
121,2023-09-27 00:45:00+00:00,2023-09-27 01:15:00+00:00,long,mean_reversion,morning_active,148.99800000000002,148.998,148.74800000000002,148.96699999999998,158.98800000000003,trailing_stop,-1.8600000000031969,-63.86394973394344,511485,30.0,85820.84828450115,85756.9843347672,7.199999999997431,1.8000000000029104,2023-09-27,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.96699999999998,149.15112399999998,149.264876,148.782876,148.66912399999998,149.08010119370348,149.02675,148.9733988062965,35.4166666666716,0.044714285714281994,17.399623925077485,149.01091304347824,UNCLASSIFIED,,,,,,
122,2023-09-27 04:20:00+00:00,2023-09-27 05:23:00+00:00,short,mean_reversion,afternoon_active,149.052,149.08,149.302,148.99729885057462,139.06199999999998,trailing_stop,-2.800000000002001,-96.02978266709303,511290,63.0,85756.9843347672,85660.95455210011,3.1999999999982265,5.200000000002092,2023-09-27,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.96699999999998,149.15112399999998,149.264876,148.782876,148.66912399999998,149.06275433450028,149.01229999999998,148.96184566549968,67.08074534161688,0.052999999999999305,27.916924366264006,148.99729885057462,RANGING,,,,,,
123,2023-09-28 04:35:00+00:00,2023-09-28 06:00:00+00:00,short,breakout,afternoon_active,149.36499999999998,149.36100000000002,149.547,149.265,149.265,session_end_close,0.3999999999962256,14.120312531250455,527256,85.0,85660.95455210011,85675.07486463136,9.899999999996112,4.700000000002547,2023-09-28,TOKYO_DUAL_MODE_V11,breakout,tokyo,,,,,,,,,,,36.41673519945531,,TRENDING,149.517,149.441,149.41573562328557,-0.0003011685339116834,,
124,2023-09-28 04:45:00+00:00,2023-09-28 06:00:00+00:00,short,breakout,afternoon_active,149.35999999999999,149.36100000000002,149.547,149.26,149.26,session_end_close,-0.10000000000331966,-3.435575551964934,513141,75.0,85675.07486463136,85671.6392890794,9.399999999996567,5.200000000002092,2023-09-28,TOKYO_DUAL_MODE_V11,breakout,tokyo,,,,,,,,,,,34.477242905232536,,TRENDING,149.517,149.441,149.4060420861816,-0.00029448772521625534,,
125,2023-09-29 01:10:00+00:00,2023-09-29 02:12:00+00:00,short,mean_reversion,morning_active,149.39999999999998,149.334,149.64999999999998,149.33,139.40999999999997,trailing_stop,6.839999374963888,234.50470744080775,511973,62.0,85671.6392890794,85906.1439965202,11.099999999996157,1.6000000000019554,2023-09-29,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,149.33,149.489676,149.58832400000003,149.17032400000002,149.071676,149.44215391259795,149.36804999999998,149.29394608740202,60.734463276834816,0.05028571428571078,15.062241951649408,149.3794788732394,RANGING,,,,,,
126,2023-10-02 00:10:00+00:00,2023-10-02 00:57:00+00:00,long,mean_reversion,morning_active,149.507,149.634,149.34333333333333,149.54433333333336,159.497,trailing_stop,7.320004570522026,383.95999909796717,784739,47.0,85906.1439965202,86290.10399561816,21.299999999999386,1.500000000001478,2023-10-02,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,149.54433333333336,149.59055533333336,149.61911133333336,149.49811133333336,149.46955533333335,149.64753278293517,149.57145,149.49536721706482,34.44816053511295,0.07892857142856867,19.180684192997578,149.49690909090907,UNCLASSIFIED,,,,,,
127,2023-10-03 01:30:00+00:00,2023-10-03 02:00:00+00:00,short,mean_reversion,morning_active,149.846,149.876,150.07339200000004,149.71900000000002,139.856,phase_lunch_close,-3.0000000000001137,-113.82029144092881,568631,30.0,86290.10399561816,86176.28370417723,1.300000000000523,3.0000000000001137,2023-10-03,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,149.71900000000002,149.888608,149.99339200000003,149.54939200000004,149.44460800000002,149.8933545003257,149.84115000000003,149.78894549967436,63.414634146336724,0.03892857142856444,18.261925688365626,149.84072527472526,RANGING,,,,,,
128,2023-10-03 04:55:00+00:00,2023-10-03 05:36:00+00:00,short,mean_reversion,afternoon_active,149.875,149.93300000000002,150.07339200000004,149.71900000000002,139.885,trailing_stop,-5.800000000002115,-251.8390614475383,651017,41.0,86176.28370417723,85924.4446427297,1.099999999999568,6.30000000000166,2023-10-03,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,149.71900000000002,149.888608,149.99339200000003,149.54939200000004,149.44460800000002,149.88730634246375,149.86465,149.84199365753628,60.606060606069306,0.03199999999999444,14.27916359689588,149.85421694915271,RANGING,,,,,,
129,2023-10-03 05:20:00+00:00,2023-10-03 06:00:00+00:00,short,mean_reversion,afternoon_active,149.878,149.924,150.07339200000004,149.71900000000002,139.88799999999998,session_end_close,-4.600000000002069,-202.8174008165049,661026,40.0,85924.4446427297,85721.62724191319,0.0,6.70000000000357,2023-10-03,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,149.71900000000002,149.888608,149.99339200000003,149.54939200000004,149.44460800000002,149.895021727929,149.8674,149.83977827207102,69.1489361702147,0.031142857142851556,13.590501053615354,149.85635937500012,RANGING,,,,,,
