trade_id,entry_datetime,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
104,2025-10-27 17:07:00+00:00,2025-10-27 17:33:00+00:00,long,152.99949999999998,,152.7995,153.0795,tp,8.00000000000125,131.77048527074595,4,252142,2025-10-28,26.0,44078.30904933907,44210.07953460982,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.98299999999998,153.06971399999998,153.12328599999998,152.89628599999998,152.84271399999997,153.12171115001252,153.054,152.9862888499875,152.94,bullish,25.1336898395804,0.09300000000000555
105,2025-10-27 18:59:00+00:00,2025-10-27 19:57:00+00:00,long,152.8295,152.8825,152.70599999999996,152.98299999999998,tp1_then_trailing_stop,5.989299999998821,160.73821612182266,5,410320,2025-10-28,58.0,44210.07953460982,44370.817750731636,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.98299999999998,153.06971399999998,153.12328599999998,152.89628599999998,152.84271399999997,153.1839751232893,153.02495000000002,152.86592487671075,152.762,bullish,10.30927835051402,0.06678571428571647
106,2025-10-27 21:59:00+00:00,2025-10-27 23:38:00+00:00,long,152.8655,152.70599999999996,152.70599999999996,152.98299999999998,sl,-15.950000000003683,-333.12778148868915,4,318938,2025-10-28,99.0,44370.817750731636,44037.68996924294,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.98299999999998,153.06971399999998,153.12328599999998,152.89628599999998,152.84271399999997,152.89997062242364,152.8719,152.84382937757638,152.871,bearish,33.3333333333446,0.06207142857142246
108,2025-10-28 19:11:00+00:00,2025-10-28 19:24:00+00:00,long,152.0605,151.98049999999998,151.98049999999998,152.894,sl,-8.00000000000125,-263.191659456353,5,500000,2025-10-29,13.0,44037.68996924294,43774.49830978659,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.894,153.158344,153.32165600000002,152.629656,152.466344,152.25560429615794,152.1532,152.05079570384206,152.034,bullish,24.496644295302048,0.11064285714285761
107,2025-10-28 15:44:00+00:00,2025-10-28 23:56:00+00:00,long,151.9235,151.84349999999998,151.84349999999998,152.894,sl,-8.00000000000125,-263.4291227481338,4,500000,2025-10-29,492.0,43774.49830978659,43511.069187038454,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.894,153.158344,153.32165600000002,152.629656,152.466344,152.169094247209,152.0335,151.89790575279102,151.854,bullish,32.56704980842726,0.13285714285714384
109,2025-10-28 23:55:00+00:00,2025-10-29 00:00:00+00:00,long,151.90349999999998,151.7035,151.7035,152.24533333333332,sl,-19.999999999998863,-328.74126173751546,4,249356,2025-10-29,5.0,43511.069187038454,43182.32792530094,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.24533333333332,152.67508333333333,152.9405833333333,151.8155833333333,151.55008333333333,152.2597338426308,152.13905,152.0183661573692,152.17337561600002,bearish,26.116838487972856,0.05285714285714148
110,2025-10-29 15:58:00+00:00,2025-10-29 17:32:00+00:00,long,151.92149999999998,,151.7215,152.24533333333332,tp,32.38333333333401,523.279658270872,3,246012,2025-10-30,94.0,43182.32792530094,43705.60758357181,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.24533333333332,152.67508333333333,152.9405833333333,151.8155833333333,151.55008333333333,152.1422564539922,152.04154999999997,151.94084354600776,152.0425069278208,bearish,31.714285714286348,0.1115000000000005
111,2025-10-30 21:04:00+00:00,2025-10-31 00:00:00+00:00,short,154.1285,153.8935,154.20850000000002,152.42399999999998,session_close,23.500000000001364,763.5150282501004,5,500000,2025-10-31,176.0,43705.60758357181,44469.122611821906,TOKYO_MEANREV,tokyo_meanrev,tokyo,152.42399999999998,153.00693199999998,153.36706799999996,151.84106799999998,151.480932,154.1250235395197,154.0751,154.02517646048028,154.102299008,bullish,71.54150197628512,0.060000000000002274
112,2025-11-02 23:35:00+00:00,2025-11-03 00:00:00+00:00,short,154.2245,154.1995,154.4245,154.02866666666665,session_close,2.5000000000005684,41.69647112994181,3,257183,2025-11-03,25.0,44469.122611821906,44510.81908295185,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.02866666666665,154.32013266666667,154.50020066666664,153.73720066666664,153.55713266666666,154.2098653758259,154.09735,153.9848346241741,154.1401976,bullish,67.76859504132378,0.062285714285717324
113,2025-11-03 18:31:00+00:00,2025-11-04 00:00:00+00:00,short,154.2305,154.2575,154.4305,154.02866666666665,session_close,-2.6999999999986812,-45.05918999074019,4,257434,2025-11-04,329.0,44510.81908295185,44465.75989296111,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.02866666666665,154.32013266666667,154.50020066666664,153.73720066666664,153.55713266666666,154.21149043513876,154.13830000000002,154.06510956486127,154.1821632,bullish,73.58490566038364,0.07642857142856892
