trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
45,2023-10-31 20:29:00+00:00,2023-10-31 20:28:00+00:00,1,2023-10-31 20:54:00+00:00,short,151.61450000000002,151.71450000000002,151.71450000000002,149.24300000000002,sl,-9.999999999999432,-192.20245922438752,5,291599,6.078571428571422,10.0,favorable,ABCDE,high,0.75,1.0,1.0,0.75,1.0,full,2023-11-01,25.0,51287.87281255793,51095.67035333354,TOKYO_MEANREV,tokyo_meanrev,tokyo,149.24300000000002,149.644482,149.89251800000002,148.84151800000004,148.59348200000002,151.62999825635808,151.57260000000002,151.51520174364197,151.609,bullish,70.5607476635622,0.12157142857142844
46,2023-10-31 20:48:00+00:00,2023-10-31 20:47:00+00:00,1,2023-10-31 21:19:00+00:00,short,151.6775,151.6575,151.6575,149.24300000000002,tp1_then_be_stop,4.000000000000626,76.95701737642403,5,291720,6.0,10.0,favorable,ABCDE,high,0.75,1.0,1.0,0.75,1.0,full,2023-11-01,31.0,51095.67035333354,51172.62737070996,TOKYO_MEANREV,tokyo_meanrev,tokyo,149.24300000000002,149.644482,149.89251800000002,148.84151800000004,148.59348200000002,151.68649381588222,151.58845000000002,151.49040618411783,151.698,bearish,84.2519685039378,0.07692857142856926
47,2023-11-02 21:18:00+00:00,2023-11-02 21:15:00+00:00,3,2023-11-02 22:00:00+00:00,long,150.4655,150.4455,150.1855,151.06966666666668,session_close,-1.999999999998181,-6.854309367837936,4,51560,6.0,28.0,neutral,ABCE,medium,0.375,0.5,0.75,1.0,1.0,full,2023-11-03,42.0,51172.62737070996,51165.77306134212,TOKYO_MEANREV,tokyo_meanrev,tokyo,151.06966666666668,151.44097066666666,151.67036266666668,150.6983626666667,150.46897066666668,150.5296037017602,150.4864,150.4431962982398,150.51894353408,bearish,30.769230769228358,0.052999999999999305
48,2023-11-08 19:55:00+00:00,2023-11-08 19:54:00+00:00,1,2023-11-08 22:03:00+00:00,short,151.02450000000002,150.95149999999998,151.0045,150.34733333333335,tp1_then_session_close,6.65000000000191,80.36790420575997,5,182438,6.0,15.883333333334804,favorable,ABCDE,high,0.75,1.0,1.0,0.75,1.0,full,2023-11-09,128.0,51165.77306134212,51246.140965547886,TOKYO_MEANREV,tokyo_meanrev,tokyo,150.34733333333335,150.63612533333335,150.81454133333335,150.05854133333335,149.88012533333335,151.02229483162225,150.95940000000002,150.8965051683778,151.054,bearish,89.3617021276823,0.054071428571430956
49,2023-11-08 20:06:00+00:00,2023-11-08 20:02:00+00:00,4,2023-11-08 22:03:00+00:00,short,151.02450000000002,150.95149999999998,151.0045,150.34733333333335,tp1_then_session_close,6.650007125710369,40.18399518018222,5,91219,6.0,15.883333333334804,neutral,ABCDE,high,0.375,0.5,1.0,0.75,1.0,full,2023-11-09,117.0,51246.140965547886,51286.32496072807,TOKYO_MEANREV,tokyo_meanrev,tokyo,150.34733333333335,150.63612533333335,150.81454133333335,150.05854133333335,149.88012533333335,151.04310270344948,150.971,150.89889729655053,151.0255,bullish,87.40157480317146,0.052142857142860474
50,2023-11-09 17:48:00+00:00,2023-11-09 17:47:00+00:00,1,2023-11-09 19:06:00+00:00,short,151.0695,151.31487,151.31487,150.793,sl,-24.53700000000083,-128.00633824025792,3,78939,6.0,24.53700000000083,neutral,ABC,high,0.5,0.5,1.0,1.0,1.0,full,2023-11-10,78.0,51286.32496072807,51158.31862248781,TOKYO_MEANREV,tokyo_meanrev,tokyo,150.793,151.06613000000002,151.23487,150.51987,150.35113,151.0821799952905,151.0232,150.96422000470952,151.096,bearish,67.87330316742226,0.06907142857143356
51,2023-11-15 21:02:00+00:00,2023-11-15 21:00:00+00:00,2,2023-11-15 22:03:00+00:00,short,151.4095,151.3495,151.3895,150.77700000000002,tp1_then_session_close,6.000000000000227,54.83387787868684,3,138318,6.0,28.0,favorable,ABC,high,1.0,1.0,1.0,1.0,1.0,full,2023-11-16,61.0,51158.31862248781,51213.152500366494,TOKYO_MEANREV,tokyo_meanrev,tokyo,150.77700000000002,151.40157000000002,151.78743,150.15243,149.76657000000003,151.4038104253812,151.3712,151.33858957461877,151.3807,bullish,68.48484848485151,0.05471428571428305
52,2023-11-17 18:18:00+00:00,2023-11-17 18:17:00+00:00,1,2023-11-17 19:19:00+00:00,long,149.6855,149.5855,149.5855,150.819,sl,-9.999999999999432,-192.17704924607241,4,287469,6.0,10.0,favorable,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,2023-11-18,61.0,51213.152500366494,51020.97545112042,TOKYO_MEANREV,tokyo_meanrev,tokyo,150.819,151.25677199999998,151.52722799999998,150.381228,150.110772,149.84001796169653,149.75685,149.67368203830344,149.7474656,bearish,32.81250000000121,0.10249999999999407
53,2023-11-17 18:59:00+00:00,2023-11-17 18:55:00+00:00,4,2023-11-17 19:56:00+00:00,long,149.6175,149.63750000000002,149.63750000000002,150.819,tp1_then_be_stop,3.999994779690487,102.39190344782936,5,383119,6.0,10.0,favorable,ABCDE,high,1.0,1.0,1.0,1.0,1.0,full,2023-11-18,57.0,51020.97545112042,51123.367354568254,TOKYO_MEANREV,tokyo_meanrev,tokyo,150.819,151.25677199999998,151.52722799999998,150.381228,150.110772,149.79027651019925,149.70445,149.61862348980077,149.66946,bearish,21.38728323698463,0.09028571428571297
54,2023-11-29 18:47:00+00:00,2023-11-29 18:45:00+00:00,2,2023-11-29 20:45:00+00:00,long,147.1935,147.2745,147.2135,147.87199999999999,tp1_then_trailing_stop,7.462509488442455,34.045505196770094,3,67187,6.824999999999497,28.0,neutral,ABC,high,0.5,0.5,1.0,1.0,1.0,full,2023-11-30,118.0,51123.367354568254,51157.41285976503,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.87199999999999,148.44881999999998,148.80517999999998,147.29518,146.93882,147.37738387998527,147.2741,147.17081612001473,147.139,bullish,34.45190156599648,0.13649999999998993
