trade_id,entry_datetime,exit_datetime,direction,mode,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,entry_session_day,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,rsi_m5,atr_m15,adx_m15,session_mean,day_type,news_event_id,news_move_pips,first_hour_high,first_hour_low,ema20_m5,roc10_m5
100,2025-03-11 00:55:00+00:00,2025-03-11 01:00:00+00:00,long,mean_reversion,morning_active,146.656,146.731,146.406,146.76758928571425,156.64600000000002,trailing_stop,9.695352579944919,317.85591320327126,481131,5.0,82017.08533300621,82334.94124620948,15.099999999998204,3.4000000000020236,2025-03-11,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,147.21766666666667,147.68523466666667,147.97409866666666,146.75009866666667,146.46123466666668,147.05494114244235,146.81955,146.58415885755764,38.67276887871731,0.14671428571429196,54.8786205873056,146.76758928571425,UNCLASSIFIED,,,,,,
101,2025-03-12 00:00:00+00:00,2025-03-12 00:05:00+00:00,short,mean_reversion,morning_active,148.022,148.08200000000002,148.272,147.46633333333332,138.03199999999998,trailing_stop,-6.000000000003069,-197.52366931845168,487495,5.0,82334.94124620948,82137.41757689102,0.0,8.70000000000175,2025-03-12,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,147.46633333333332,148.06951133333334,148.44215533333332,146.8631553333333,146.49051133333333,148.027250375473,147.89415000000002,147.76104962452706,62.54612546125549,0.0906428571428555,27.46219408884415,148.03,UNCLASSIFIED,,,,,,
102,2025-03-12 00:15:00+00:00,2025-03-12 00:23:00+00:00,short,mean_reversion,morning_active,148.08599999999998,148.11700000000002,148.33599999999998,147.46633333333332,138.09599999999998,trailing_stop,-3.1000000000034333,-101.82906756156756,486536,8.0,82137.41757689102,82035.58850932945,4.999999999998295,3.1000000000034333,2025-03-12,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,147.46633333333332,148.06951133333334,148.44215533333332,146.8631553333333,146.49051133333333,148.0972618107478,147.9348,147.7723381892522,63.65131578947588,0.10178571428571306,25.190690599605635,148.08006250000003,UNCLASSIFIED,,,,,,
103,2025-03-12 00:25:00+00:00,2025-03-12 00:40:00+00:00,short,mean_reversion,morning_active,148.05599999999998,148.05900000000003,148.30599999999998,147.46633333333332,138.06599999999997,trailing_stop,-0.30000000000427457,-9.844062164547694,485834,15.0,82035.58850932945,82025.7444471649,8.999999999997499,1.8000000000029104,2025-03-12,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,147.46633333333332,148.06951133333334,148.44215533333332,146.8631553333333,146.49051133333333,148.13272860093193,147.9537,147.77467139906807,70.0610997963372,0.10178571428571306,25.190690599605635,148.07553846153849,UNCLASSIFIED,,,,,,
104,2025-03-12 04:25:00+00:00,2025-03-12 06:00:00+00:00,long,breakout,afternoon_active,148.209,148.05599999999998,147.914,148.40132142857144,148.40132142857144,session_end_close,-15.300000000002001,-319.39587048148127,309075,95.0,82025.7444471649,81706.34857668342,7.299999999997908,18.80000000000166,2025-03-12,TOKYO_DUAL_MODE_V11,breakout,tokyo,,,,,,,,,,,25.1716115215906,,TRENDING,,,148.158,147.944,148.08265943000333,0.0013851725722315742
105,2025-03-12 04:45:00+00:00,2025-03-12 06:00:00+00:00,long,breakout,afternoon_active,148.199,148.05599999999998,147.914,148.3689285714286,148.3689285714286,session_end_close,-14.30000000000291,-308.9737261577329,319898,75.0,81706.34857668342,81397.37485052568,8.299999999996999,17.80000000000257,2025-03-12,TOKYO_DUAL_MODE_V11,breakout,tokyo,,,,,,,,,,,19.64158602666362,,TRENDING,,,148.158,147.944,148.12601345929662,0.0007360786591213576
106,2025-03-13 00:00:00+00:00,2025-03-13 00:06:00+00:00,short,mean_reversion,morning_active,148.26,148.352,148.51,148.38433333333333,138.26999999999998,trailing_stop,-11.139994641454773,-362.42795861096533,482718,6.0,81397.37485052568,81034.94689191472,1.8999999999977035,9.400000000002251,2025-03-13,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.38433333333333,148.94472733333333,149.29093933333334,147.82393933333333,147.47772733333332,148.29673744772668,148.19914999999997,148.10156255227326,66.18357487922931,0.07285714285714155,27.818279134982387,148.268,UNCLASSIFIED,,,,,,
107,2025-03-14 00:45:00+00:00,2025-03-14 00:51:00+00:00,short,mean_reversion,morning_active,148.19899999999998,148.25,148.44899999999998,148.00739130434783,138.20899999999997,trailing_stop,-5.100000000001614,-165.25410455317203,480371,6.0,81034.94689191472,80869.69278736155,1.2999999999976808,6.100000000003547,2025-03-14,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,147.84966666666665,148.21638666666666,148.44294666666664,147.48294666666663,147.25638666666666,148.17707146689517,147.9647,147.75232853310482,72.47278382581646,0.09535714285714748,57.532883192337714,148.00739130434783,UNCLASSIFIED,,,,,,
108,2025-03-17 00:40:00+00:00,2025-03-17 00:45:00+00:00,short,mean_reversion,morning_active,148.79,148.86100000000002,148.99933333333337,148.67663414634146,138.79999999999998,trailing_stop,-7.1000000000026375,-274.1561255131644,574805,5.0,80869.69278736155,80595.53666184838,0.0,8.500000000000796,2025-03-17,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.79233333333335,148.84084733333336,148.87081933333334,148.74381933333333,148.71384733333335,148.81587425555668,148.62065,148.42542574444334,68.17472698907933,0.11464285714285438,33.400166230714596,148.67663414634146,UNCLASSIFIED,,,,,,
109,2025-03-17 00:50:00+00:00,2025-03-17 00:55:00+00:00,short,mean_reversion,morning_active,148.846,148.804,148.99933333333337,148.70858823529412,138.856,trailing_stop,4.200000000000159,220.82374129728532,782368,5.0,80595.53666184838,80816.36040314566,10.200000000000387,2.200000000001978,2025-03-17,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.79233333333335,148.84084733333336,148.87081933333334,148.74381933333333,148.71384733333335,148.88491966545274,148.65335,148.42178033454724,69.44837340876924,0.10864285714285415,28.177252777238852,148.70858823529412,UNCLASSIFIED,,,,,,
