session_day,trades,wins,wr,net_usd,net_pips,pf,mr_trades,bo_trades,news_trades,weekday,month
2024-05-21,5,1,20.0,-1066.2220933796389,-36.13992893016204,0.02547661307306943,5,0,0,Tuesday,May
2024-05-22,2,2,100.0,311.8535647566041,11.29999999999427,inf,2,0,0,Wednesday,May
2024-05-23,3,0,0.0,-569.536859834892,-20.600000000007412,0.0,3,0,0,Thursday,May
2024-05-24,1,1,100.0,135.43176221133064,4.925643139579737,inf,1,0,0,Friday,May
2024-05-27,2,1,50.0,-32.02363697276908,-5.800000000004957,0.8104392415132678,1,1,0,Monday,May
2024-05-28,4,1,25.0,-728.1615355557717,-37.73999996907173,0.08241235846540897,2,2,0,Tuesday,May
2024-05-29,2,0,0.0,-429.41376750948587,-15.800000000004388,0.0,2,0,0,Wednesday,May
2024-05-30,1,0,0.0,-95.3407814880143,-3.5199888629252607,0.0,1,0,0,Thursday,May
2024-06-07,1,0,0.0,-242.53976428428865,-8.980000000003088,0.0,1,0,0,Friday,June
2024-06-11,3,0,0.0,-570.267708827487,-20.100000000005025,0.0,3,0,0,Tuesday,June
2024-06-13,3,1,33.33333333333333,-145.63443509851297,-5.419937495225628,0.58102014235102,3,0,0,Thursday,June
2024-06-14,2,0,0.0,-206.7787415897621,-11.200000000008004,0.0,0,2,0,Friday,June
2024-06-17,3,0,0.0,-374.56681971094355,-11.819999480720313,0.0,3,0,0,Monday,June
2024-06-18,1,0,0.0,-203.24921131656987,-7.70000000000266,0.0,1,0,0,Tuesday,June
2024-06-19,1,1,100.0,76.89087821675916,2.920000673589774,inf,1,0,0,Wednesday,June
2024-06-20,4,2,50.0,11.695251234059981,1.5999999999905867,1.0507882524219478,4,0,0,Thursday,June
2024-06-21,1,0,0.0,-139.67742706394458,-5.30000000000257,0.0,1,0,0,Friday,June
2024-06-24,5,3,60.0,445.6887933072556,4.5999999999907,1.9682557194703068,3,2,0,Monday,June
2024-06-25,1,0,0.0,-344.63930590745906,-12.999994795390723,0.0,1,0,0,Tuesday,June
2024-06-26,3,0,0.0,-341.68032360101773,-12.900000000007594,0.0,3,0,0,Wednesday,June
2024-06-27,2,0,0.0,-285.56843024132604,-10.879990780173578,0.0,2,0,0,Thursday,June
2024-07-01,2,0,0.0,-670.5277495183351,-10.800000000003251,0.0,2,0,0,Monday,July
2024-07-02,3,0,0.0,-242.4468101098685,-9.400000000005093,0.0,3,0,0,Tuesday,July
2024-07-03,4,4,100.0,385.6938467966705,21.4999999999975,inf,0,4,0,Wednesday,July
2024-07-05,1,0,0.0,-85.44058289708174,-3.300000000004388,0.0,1,0,0,Friday,July
2024-07-08,1,0,0.0,-498.6225551913621,-8.00000000000125,0.0,1,0,0,Monday,July
2024-07-09,3,0,0.0,-419.22724105574366,-24.000000000006594,0.0,0,3,0,Tuesday,July
2024-07-10,2,0,0.0,-186.31473481772736,-11.100000000001842,0.0,0,2,0,Wednesday,July
2024-07-11,1,1,100.0,20.32110963829195,0.8000077950255561,inf,1,0,0,Thursday,July
2024-07-12,1,0,0.0,-61.0125425867531,-2.400000000000091,0.0,1,0,0,Friday,July
2024-07-16,1,0,0.0,-319.70549320144266,-12.60000000000332,0.0,1,0,0,Tuesday,July
2024-07-17,1,0,0.0,-53.05109746945451,-2.1000000000015007,0.0,1,0,0,Wednesday,July
2024-07-18,3,1,33.33333333333333,-305.6983640711055,-12.091677197189714,0.25201188477335684,3,0,0,Thursday,July
2024-07-22,4,1,25.0,-275.02071287710345,-2.4899971325775265,0.4752861493099336,3,1,0,Monday,July
2024-07-24,1,1,100.0,125.83426724778272,5.0292666794468985,inf,1,0,0,Wednesday,July
2024-07-25,2,0,0.0,-791.416719332821,-31.600000000003092,0.0,2,0,0,Thursday,July
2024-07-26,1,1,100.0,66.82606097605236,2.6999999999986812,inf,1,0,0,Friday,July
2024-07-29,1,0,0.0,-298.1398664853243,-4.600000000002069,0.0,1,0,0,Monday,July
2024-07-31,1,0,0.0,-36.98391130544595,-1.5000000000014782,0.0,1,0,0,Wednesday,July
2024-08-01,1,1,100.0,9.855220429942689,0.3999999999962256,inf,1,0,0,Thursday,August
2024-08-05,3,1,33.33333333333333,-549.5002141938486,-8.000000000004093,0.49982291834455206,3,0,0,Monday,August
2024-08-06,1,1,100.0,162.39441730633408,6.646249999998873,inf,1,0,0,Tuesday,August
2024-08-07,2,0,0.0,-210.40563473115998,-8.600000000001273,0.0,2,0,0,Wednesday,August
2024-08-09,1,0,0.0,-136.6084528424931,-5.60000000000116,0.0,1,0,0,Friday,August
2024-08-14,1,0,0.0,-147.49133508309836,-6.0599984547084755,0.0,1,0,0,Wednesday,August
2024-08-16,1,0,0.0,-790.4502483550052,-32.44000000000085,0.0,1,0,0,Friday,August
2024-08-20,1,1,100.0,67.11399147725257,2.7999999999991587,inf,1,0,0,Tuesday,August
2024-08-21,1,0,0.0,-758.9520364553244,-31.719976001247186,0.0,1,0,0,Wednesday,August
2024-08-27,2,0,0.0,-272.1424440434654,-11.500000000003752,0.0,2,0,0,Tuesday,August
2024-08-29,1,1,100.0,240.36704268577586,10.18292376763902,inf,1,0,0,Thursday,August
2024-08-30,1,0,0.0,-104.24298781332952,-4.400000000001114,0.0,1,0,0,Friday,August
2024-09-03,2,0,0.0,-419.15238408058065,-17.739989110616545,0.0,2,0,0,Tuesday,September
2024-09-04,1,1,100.0,7.042354303643957,0.2999999999985903,inf,1,0,0,Wednesday,September
2024-09-05,1,0,0.0,-49.31074869036777,-2.1000000000015007,0.0,1,0,0,Thursday,September
2024-09-06,1,1,100.0,107.87270595779557,4.599999999996385,inf,1,0,0,Friday,September
2024-09-09,3,1,33.33333333333333,-596.1615711559864,-8.500000000003638,0.08598115853395938,3,0,0,Monday,September
2024-09-11,3,0,0.0,-427.5428360935206,-18.400000000005434,0.0,3,0,0,Wednesday,September
2024-09-12,3,1,33.33333333333333,-366.63334634755427,-14.570967741942695,0.10807254627302086,3,0,0,Thursday,September
2024-09-13,3,0,0.0,-357.63252666203306,-14.40000000000623,0.0,3,0,0,Friday,September
2024-09-16,2,0,0.0,-633.2993341005913,-12.70000000000664,0.0,2,0,0,Monday,September
2024-09-18,1,0,0.0,-112.35746441147828,-4.9799949124858385,0.0,1,0,0,Wednesday,September
2024-09-19,3,0,0.0,-498.16176730794894,-22.200000000006526,0.0,3,0,0,Thursday,September
2024-09-23,2,0,0.0,-189.40771415579422,-5.600000000006844,0.0,2,0,0,Monday,September
2024-09-27,1,1,100.0,88.27516473525277,3.299999999998704,inf,1,0,0,Friday,September
2024-09-30,1,1,100.0,111.3331092059673,1.5999999999991132,inf,1,0,0,Monday,September
2024-10-01,3,0,0.0,-398.4786286017261,-17.90000000000873,0.0,3,0,0,Tuesday,October
2024-10-03,1,0,0.0,-55.363670399250196,-2.5000000000005684,0.0,1,0,0,Thursday,October
2024-10-07,3,1,33.33333333333333,-611.3603323302965,-14.666666666676065,0.010892974057436031,3,0,0,Monday,October
2024-10-08,1,1,100.0,6.564631647259514,0.2999999999985903,inf,1,0,0,Tuesday,October
2024-10-09,1,0,0.0,-190.51583993667586,-8.699996503018818,0.0,1,0,0,Wednesday,October
2024-10-10,2,0,0.0,-765.738109094096,-35.179944491080235,0.0,2,0,0,Thursday,October
2024-10-15,2,1,50.0,-130.21583742197387,-10.720000000005712,0.2556222887951369,1,1,0,Tuesday,October
2024-10-17,2,1,50.0,-65.22156370439353,-2.5399847419036155,0.24803799771195406,1,1,0,Thursday,October
2024-10-18,2,0,0.0,-536.5804120693738,-25.07998844476085,0.0,2,0,0,Friday,October
2024-10-21,3,1,33.33333333333333,-957.3533015574859,-14.933333333340215,0.09321798987779169,3,0,0,Monday,October
2024-10-23,3,0,0.0,-450.7649714197556,-19.800000000006435,0.0,3,0,0,Wednesday,October
2024-10-28,1,0,0.0,-119.704945843708,-5.800000000002115,0.0,1,0,0,Monday,October
2024-10-29,1,1,100.0,171.2885346811802,8.319998647062251,inf,1,0,0,Tuesday,October
2024-10-31,1,0,0.0,-66.5654990757654,-3.2200056208869907,0.0,1,0,0,Thursday,October
2024-11-04,2,0,0.0,-169.31192841514968,-8.200000000005048,0.0,2,0,0,Monday,November
2024-11-05,2,0,0.0,-209.56233784192227,-10.20000000000607,0.0,2,0,0,Tuesday,November
2024-11-06,1,0,0.0,-184.29323623409303,-9.000000000000341,0.0,1,0,0,Wednesday,November
2024-11-07,1,0,0.0,-1059.4352454355117,-51.63986340454129,0.0,1,0,0,Thursday,November
2024-11-12,1,0,0.0,-108.02546980616947,-5.399973069504365,0.0,1,0,0,Tuesday,November
2024-11-14,3,0,0.0,-429.44859246750855,-21.600000000006503,0.0,3,0,0,Thursday,November
2024-11-15,3,0,0.0,-507.12552304234487,-24.50000000000614,0.0,3,0,0,Friday,November
2024-11-18,1,0,0.0,-246.83093273130146,-12.60000000000332,0.0,1,0,0,Monday,November
2024-11-20,2,0,0.0,-287.6744097111691,-14.800000000005298,0.0,2,0,0,Wednesday,November
2024-11-22,1,0,0.0,-30.9791409769203,-1.6000000000019554,0.0,1,0,0,Friday,November
2024-11-25,2,0,0.0,-91.38138419113443,-4.000000000002046,0.0,2,0,0,Monday,November
