time,open,high,low,close
2025-07-01T22:15:00Z,143.399,143.408,143.397,143.404
2025-07-01T22:16:00Z,143.404,143.422,143.404,143.404
2025-07-01T22:17:00Z,143.402,143.402,143.391,143.4
2025-07-01T22:18:00Z,143.4,143.403,143.394,143.402
2025-07-01T22:19:00Z,143.4,143.4,143.384,143.385
2025-07-01T22:20:00Z,143.384,143.39,143.384,143.389
2025-07-01T22:21:00Z,143.39,143.403,143.389,143.396
2025-07-01T22:22:00Z,143.396,143.406,143.396,143.406
2025-07-01T22:23:00Z,143.406,143.406,143.406,143.406
2025-07-01T22:24:00Z,143.406,143.413,143.406,143.413
2025-07-01T22:25:00Z,143.411,143.416,143.41,143.415
2025-07-01T22:26:00Z,143.422,143.428,143.422,143.422
2025-07-01T22:27:00Z,143.421,143.434,143.421,143.43
2025-07-01T22:28:00Z,143.43,143.436,143.429,143.43
2025-07-01T22:29:00Z,143.43,143.432,143.412,143.412
2025-07-01T22:30:00Z,143.411,143.418,143.402,143.418
2025-07-01T22:31:00Z,143.418,143.433,143.41,143.424
2025-07-01T22:32:00Z,143.424,143.434,143.424,143.434
2025-07-01T22:33:00Z,143.434,143.444,143.434,143.44
2025-07-01T22:34:00Z,143.438,143.442,143.432,143.432
2025-07-01T22:35:00Z,143.432,143.436,143.432,143.432
2025-07-01T22:36:00Z,143.431,143.448,143.431,143.448
2025-07-01T22:37:00Z,143.445,143.447,143.43,143.432
2025-07-01T22:38:00Z,143.431,143.437,143.428,143.437
2025-07-01T22:39:00Z,143.435,143.435,143.42,143.421
2025-07-01T22:40:00Z,143.422,143.424,143.422,143.423
2025-07-01T22:41:00Z,143.424,143.424,143.411,143.412
2025-07-01T22:42:00Z,143.413,143.422,143.412,143.417
2025-07-01T22:43:00Z,143.416,143.424,143.412,143.416
2025-07-01T22:44:00Z,143.416,143.416,143.402,143.404
2025-07-01T22:45:00Z,143.406,143.406,143.392,143.394
2025-07-01T22:46:00Z,143.394,143.406,143.394,143.402
2025-07-01T22:47:00Z,143.401,143.41,143.401,143.409
2025-07-01T22:48:00Z,143.41,143.41,143.402,143.402
2025-07-01T22:49:00Z,143.402,143.408,143.398,143.401
2025-07-01T22:50:00Z,143.402,143.402,143.392,143.395
2025-07-01T22:51:00Z,143.396,143.4,143.392,143.396
2025-07-01T22:52:00Z,143.394,143.394,143.39,143.392
2025-07-01T22:53:00Z,143.391,143.392,143.367,143.367
2025-07-01T22:54:00Z,143.369,143.373,143.368,143.373
2025-07-01T22:55:00Z,143.374,143.391,143.372,143.391
2025-07-01T22:56:00Z,143.392,143.395,143.392,143.394
2025-07-01T22:57:00Z,143.394,143.417,143.394,143.414
2025-07-01T22:58:00Z,143.412,143.42,143.412,143.414
2025-07-01T22:59:00Z,143.412,143.414,143.408,143.414
2025-07-01T23:00:00Z,143.414,143.427,143.404,143.424
2025-07-01T23:01:00Z,143.422,143.422,143.397,143.401
2025-07-01T23:02:00Z,143.402,143.403,143.4,143.401
2025-07-01T23:03:00Z,143.398,143.436,143.396,143.428
2025-07-01T23:04:00Z,143.427,143.46,143.427,143.458
2025-07-01T23:05:00Z,143.458,143.459,143.449,143.45
2025-07-01T23:06:00Z,143.45,143.467,143.446,143.464
2025-07-01T23:07:00Z,143.464,143.474,143.448,143.468
2025-07-01T23:08:00Z,143.466,143.468,143.458,143.46
2025-07-01T23:09:00Z,143.46,143.46,143.422,143.423
2025-07-01T23:10:00Z,143.426,143.454,143.426,143.452
2025-07-01T23:11:00Z,143.451,143.454,143.448,143.451
2025-07-01T23:12:00Z,143.448,143.448,143.434,143.434
2025-07-01T23:13:00Z,143.434,143.434,143.426,143.428
2025-07-01T23:14:00Z,143.428,143.433,143.426,143.43
2025-07-01T23:15:00Z,143.429,143.432,143.388,143.412
2025-07-01T23:16:00Z,143.413,143.442,143.413,143.436
2025-07-01T23:17:00Z,143.436,143.438,143.423,143.43
2025-07-01T23:18:00Z,143.432,143.446,143.422,143.443
2025-07-01T23:19:00Z,143.442,143.454,143.44,143.453
2025-07-01T23:20:00Z,143.452,143.454,143.444,143.444
