trade_id,strategy,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,impulse_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,entry_hour_utc
13,LMP,2025-07-30,Wednesday,long,2025-07-30 09:31:00+00:00,2025-07-30 11:38:00+00:00,148.02985269184032,148.315288,148.0398526918403,148.12,148.315288,12.0,18.780195055750884,1162.1378375277156,TP2_FULL,,31.60000000000025,6.085269184032427,29.614730815967505,917500,127,9
15,LMP,2025-08-06,Wednesday,long,2025-08-06 10:22:00+00:00,2025-08-06 10:53:00+00:00,147.67524135673645,147.55524135673645,147.55524135673645,147.794,147.955916,12.0,-12.000000000000455,-753.1552181960537,SL_FULL,,26.200000000000045,11.524135673644764,8.075864326355031,926100,31,10
14,ARB,2025-08-06,Wednesday,long,2025-08-06 08:35:00+00:00,2025-08-06 11:30:00+00:00,147.84874157512536,147.44874157512535,147.44874157512535,148.24874157512536,148.64874157512537,40.0,-40.00000000000057,-754.4316676539735,SL_FULL,44.599999999999795,,39.77415751253659,3.7258424874636376,278100,175,8
16,LMP,2025-08-07,Thursday,long,2025-08-07 08:49:00+00:00,2025-08-07 11:41:00+00:00,147.12882775877142,147.486056,147.1388277587714,147.182,147.486056,12.0,20.52002412285674,1264.7696891740984,TP2_FULL,,49.19999999999902,1.5827758771422396,36.71722412285874,908800,172,8
17,ARB,2025-08-13,Wednesday,short,2025-08-13 07:14:00+00:00,2025-08-13 12:00:00+00:00,147.6208982219933,147.2919754423665,147.6108982219933,147.22089822199328,146.82089822199328,40.0,36.44613898133998,685.5943876623361,TP1_ONLY,46.79999999999893,,1.1101778006718632,43.98982219932748,277000,286,7
18,LMP,2025-08-19,Tuesday,long,2025-08-19 08:37:00+00:00,2025-08-19 08:54:00+00:00,147.73374140928297,147.61374140928297,147.61374140928297,147.755,147.892196,12.0,-12.000000000000455,-756.4336418410318,SL_FULL,,22.20000000000084,11.174140928295628,0.0,930500,17,8
19,LMP,2025-08-20,Wednesday,long,2025-08-20 09:11:00+00:00,2025-08-20 10:02:00+00:00,147.5263980980149,147.4063980980149,147.4063980980149,147.696,147.92342399999998,12.0,-12.000000000000455,-750.7408187697552,SL_FULL,,36.7999999999995,11.439809801490242,0.0,922200,51,9
20,ARB,2025-08-21,Thursday,long,2025-08-21 09:37:00+00:00,2025-08-21 12:00:00+00:00,147.66161855978237,147.9180245576335,147.26161855978236,148.06161855978237,148.46161855978238,40.0,25.640599785111817,476.34741215756105,HARD_CLOSE,32.49999999999886,,2.1618559782382363,27.438144021763833,274800,143,9
21,LMP,2025-08-26,Tuesday,short,2025-08-26 10:32:00+00:00,2025-08-26 12:00:00+00:00,147.61259975992346,147.4739754423665,147.60259975992346,147.561,147.34531800000002,12.0,9.511203874019712,593.3799263809263,TP1_ONLY,,34.899999999998954,5.740024007653233,21.359975992345426,920200,88,10
22,ARB,2025-08-27,Wednesday,long,2025-08-27 10:01:00+00:00,2025-08-27 12:00:00+00:00,148.08302099454644,148.1340245576335,147.68302099454644,148.48302099454645,148.88302099454646,40.0,5.100356308705045,95.92389539463181,HARD_CLOSE,56.60000000000025,,11.802099454644122,10.097900545355287,278600,119,10
