trade_number,time,equity,drawdown_usd,drawdown_pct
140,2025-10-28 01:01:00+00:00,74354.12978999296,25862.810301025733,25.806824951486938
141,2025-10-29 00:21:00+00:00,74752.31569798771,25464.624393030987,25.40950099843758
142,2025-10-29 00:21:00+00:00,74695.79954238792,25521.140548630778,25.4658948132442
143,2025-10-29 00:32:00+00:00,74480.57370533205,25736.366385686648,25.680654749898025
144,2025-10-30 04:49:00+00:00,74107.71657931185,26109.22351170685,26.0527047503087
145,2025-10-30 05:40:00+00:00,73915.11840039343,26301.821690625264,26.244886011025194
146,2025-11-03 05:48:00+00:00,74111.25755509904,26105.682535919652,26.049171439688774
147,2025-11-04 00:43:00+00:00,74158.69362135268,26058.246469666017,26.001838058515343
148,2025-11-04 00:43:00+00:00,74069.77743638158,26147.16265463711,26.09056176619424
149,2025-11-04 00:55:00+00:00,73874.31686821072,26342.623222807975,26.285599219935435
150,2025-11-05 00:40:00+00:00,73637.79587711283,26579.144213905864,26.521608212909157
151,2025-11-05 00:53:00+00:00,73449.20455371567,26767.73553730303,26.709791291763775
152,2025-11-06 00:30:00+00:00,73161.10063161163,27055.83945940707,26.997271553925422
153,2025-11-11 00:54:00+00:00,72979.73432808796,27237.20576293074,27.178245252941725
154,2025-11-11 02:00:00+00:00,72840.03703334808,27376.903057670614,27.317640144277462
155,2025-11-11 02:00:00+00:00,72704.54775328172,27512.39233773698,27.452836130049235
156,2025-11-11 06:00:00+00:00,72213.54212064877,28003.39797036993,27.942778880433565
157,2025-11-12 00:54:00+00:00,72118.24068232674,28098.69940869196,28.037874019274838
158,2025-11-13 00:30:00+00:00,72106.7020637841,28110.23802723459,28.04938766011455
159,2025-11-14 02:00:00+00:00,72055.49829117594,28161.441799842753,28.10048059167049
160,2025-11-14 02:00:00+00:00,71947.01878815073,28269.921302867966,28.208725268595064
161,2025-11-18 00:51:00+00:00,72076.56079992396,28140.379291094738,28.079463677036216
162,2025-11-19 00:46:00+00:00,71794.41446875708,28422.525622261615,28.36099924468638
163,2025-11-20 00:10:00+00:00,70883.37744250728,29333.56264851142,29.270064144714645
164,2025-11-24 06:00:00+00:00,70925.53756972002,29291.402521298674,29.227995281731545
165,2025-11-24 06:00:00+00:00,70889.15685089094,29327.783240127756,29.264297247044034
166,2025-11-27 00:24:00+00:00,70735.98353447019,29480.95655654851,29.417138988451867
167,2025-12-01 00:16:00+00:00,70591.63517991628,29625.304911102416,29.56117487143014
168,2025-12-01 00:57:00+00:00,70818.17545928714,29398.764631731552,29.33512498488889
169,2025-12-01 00:57:00+00:00,70782.9305930308,29434.009497987892,29.37029355641415
170,2025-12-02 00:06:00+00:00,70652.72857165977,29564.211519358927,29.50021372884486
171,2025-12-03 00:24:00+00:00,70429.35314609086,29787.58694492784,29.72310561255837
172,2025-12-04 00:22:00+00:00,70547.64218109369,29669.297909925008,29.605072638397118
173,2025-12-08 00:27:00+00:00,70289.49552547665,29927.444565542042,29.862660482710247
174,2025-12-08 00:57:00+00:00,70080.76286133565,30136.177229683046,30.070941302251764
175,2025-12-09 00:13:00+00:00,69640.61646343402,30576.323627584672,30.51013491313419
176,2025-12-10 00:52:00+00:00,69755.88561923931,30461.054471779382,30.395115281023493
177,2025-12-11 00:18:00+00:00,69663.78836880864,30553.151722210052,30.487013168094308
178,2025-12-11 00:54:00+00:00,69972.87512823605,30244.06496278265,30.17859549025792
179,2025-12-12 00:55:00+00:00,69872.13751134159,30344.80257967711,30.27911503994979
180,2025-12-15 05:06:00+00:00,69752.10503460358,30464.83505641512,30.398887681809526
181,2025-12-15 05:27:00+00:00,69460.57065207124,30756.369438947455,30.689790978465325
182,2025-12-16 00:20:00+00:00,69609.06928287704,30607.870808141655,30.541613803358068
183,2025-12-16 00:48:00+00:00,69770.5017554208,30446.438335597893,30.380530784462117
184,2025-12-16 00:48:00+00:00,69787.20728021843,30429.73281080027,30.363861422194173
185,2025-12-19 01:04:00+00:00,69628.15077165414,30588.789319364558,30.522573620371276
186,2025-12-19 02:00:00+00:00,69761.07180216054,30455.868288858153,30.389940324657317
187,2025-12-19 05:01:00+00:00,69835.8987429871,30381.04134803159,30.31527536206855
188,2025-12-19 05:50:00+00:00,69901.56415936524,30315.375931653456,30.249752091932287
189,2025-12-22 01:45:00+00:00,69767.31234818549,30449.62774283321,30.383713287572288
190,2025-12-23 00:31:00+00:00,69661.24042841095,30555.699662607745,30.4895555929532
191,2025-12-23 00:55:00+00:00,69477.25764668341,30739.68244433528,30.673140106270445
192,2025-12-26 00:32:00+00:00,69427.23988944665,30789.70020157205,30.723049589828154
193,2025-12-26 00:33:00+00:00,69191.146128445,31025.79396257369,30.958632277532665
194,2025-12-29 00:25:00+00:00,69296.2909633621,30920.649127656594,30.853715050144164
195,2025-12-31 04:20:00+00:00,69080.19435851836,31136.745732500334,31.069343869630643
196,2025-12-31 04:50:00+00:00,68884.09583874153,31332.844252277166,31.265017894000906
197,2026-01-02 05:57:00+00:00,68972.50354781575,31244.436543202944,31.17680156151867
198,2026-01-05 00:07:00+00:00,68528.52317974876,31688.41691126993,31.619820843152844
199,2026-01-05 00:31:00+00:00,68435.79554259371,31781.144548424985,31.71234775234688
200,2026-01-05 00:53:00+00:00,68167.3651976257,32049.574893393,31.980197024859315
201,2026-01-07 00:25:00+00:00,68167.36519762562,32049.574893393074,31.980197024859386
202,2026-01-08 00:19:00+00:00,67922.1036038293,32294.8364871894,32.224927699706946
203,2026-01-08 01:28:00+00:00,67739.49328917295,32477.44680184574,32.40714271693905
204,2026-01-08 01:28:00+00:00,67611.83802087959,32605.10207013911,32.534521649260704
205,2026-01-09 00:54:00+00:00,67333.460032429,32883.4800585897,32.81229703154415
206,2026-01-09 02:00:00+00:00,67331.74815960863,32885.19193141007,32.8140051986652
207,2026-01-12 00:53:00+00:00,67051.4633012761,33165.47678974259,33.093683323020194
208,2026-01-14 00:28:00+00:00,67290.29982723271,32926.64026378599,32.855363807637175
209,2026-01-14 02:00:00+00:00,67209.66844651106,33007.27164450764,32.93582064522214
210,2026-01-14 06:00:00+00:00,67219.25127252433,32997.68881849437,32.92625856319831
211,2026-01-15 00:28:00+00:00,66947.41122882003,33269.52886219867,33.19751015345582
212,2026-01-20 00:30:00+00:00,67078.33531578362,33138.60477523507,33.0668694784914
213,2026-01-21 06:00:00+00:00,66756.68495552576,33460.25513549293,33.38782356067125
214,2026-01-21 06:00:00+00:00,66413.4489044576,33803.49118656109,33.730316607012945
215,2026-01-22 00:12:00+00:00,66259.42621046047,33957.513880558225,33.88400588734544
216,2026-01-23 00:35:00+00:00,66246.17564807893,33970.76444293976,33.89722776617102
217,2026-01-23 00:35:00+00:00,66280.6341965384,33936.30589448029,33.86284381029672
218,2026-01-23 02:00:00+00:00,66294.31544622315,33922.62464479555,33.8491921764788
219,2026-01-23 06:00:00+00:00,66249.36231265316,33967.577778365536,33.89404799978488
220,2026-01-30 00:39:00+00:00,65905.15822915906,34311.781861859636,34.23750698304808
221,2026-01-30 00:53:00+00:00,65712.80441005364,34504.13568096506,34.42944441291844
222,2026-02-02 00:18:00+00:00,64477.42637485165,35739.51371616704,35.66214821936074
223,2026-02-03 06:00:00+00:00,64433.83111346838,35783.10897755031,35.70564910987254
224,2026-02-03 06:00:00+00:00,64369.61980616609,35847.320284852605,35.76972141864985
225,2026-02-04 00:53:00+00:00,64217.76531350902,35999.174777509674,35.92124719115812
226,2026-02-05 00:39:00+00:00,64022.637937470645,36194.30215354805,36.115952174029445
