trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,signal_strength_score,signal_strength_tier,entry_delay_type,mfe_pips,mae_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
11,2023-10-31 20:48:00+00:00,2023-10-31 20:47:00+00:00,1,2023-10-31 21:19:00+00:00,short,151.6775,151.6575,151.6575,149.24300000000002,tp1_then_be_stop,4.000000000000625,113.24806004213053,5,429288,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,7,strong,immediate,8.300000000002683,4.999999999998295,2023-11-01,31.0,50316.018352244006,50429.26641228614,TOKYO_MEANREV,tokyo_meanrev,tokyo,149.24300000000002,149.644482,149.89251800000002,148.84151800000004,148.59348200000002,151.68649381588222,151.58845000000002,151.49040618411783,151.698,bearish,84.2519685039378,0.07692857142856926
12,2023-11-02 21:19:00+00:00,2023-11-02 21:16:00+00:00,3,2023-11-02 22:00:00+00:00,long,150.4675,150.4455,150.1875,151.06966666666668,session_close,-2.199999999999136,-22.291075505739176,4,152436,6.0,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,0.10000000000047748,3.299999999998704,2023-11-03,41.0,50429.26641228614,50406.9753367804,TOKYO_MEANREV,tokyo_meanrev,tokyo,151.06966666666668,151.44097066666666,151.67036266666668,150.6983626666667,150.46897066666668,150.5296037017602,150.4864,150.4431962982398,150.5136069220352,bearish,30.769230769228358,0.052999999999999305
13,2023-11-08 17:39:00+00:00,2023-11-08 17:38:00+00:00,1,2023-11-08 18:15:00+00:00,short,150.8495,150.9135,151.1295,150.34733333333335,early_exit_dead_wrong,-6.399999999999295,-64.78137476103147,4,152756,6.0,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,1.0000000000019327,10.299999999998022,2023-11-09,36.0,50406.9753367804,50342.193962019366,TOKYO_MEANREV,tokyo_meanrev,tokyo,150.34733333333335,150.63612533333335,150.81454133333335,150.05854133333335,149.88012533333335,150.8733238402893,150.80185,150.73037615971072,150.904,bearish,69.70588235293894,0.07157142857142722
14,2023-11-08 20:02:00+00:00,2023-11-08 20:00:00+00:00,2,2023-11-08 22:03:00+00:00,short,151.0445,150.95149999999998,151.0245,150.34733333333335,tp1_then_session_close,7.650005355735368,156.11764659770384,5,308081,6.0,13.883333333336623,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,11.100000000001842,2.0999999999986585,2023-11-09,121.0,50342.193962019366,50498.31160861707,TOKYO_MEANREV,tokyo_meanrev,tokyo,150.34733333333335,150.63612533333335,150.81454133333335,150.05854133333335,149.88012533333335,151.04310270344948,150.971,150.89889729655053,151.04864580823042,bearish,87.40157480317146,0.052142857142860474
15,2023-11-30 20:21:00+00:00,2023-11-30 20:16:00+00:00,5,2023-11-30 22:03:00+00:00,short,148.25650000000002,148.2105,148.2365,147.27133333333333,tp1_then_session_close,5.300000000001148,53.78655527478959,5,150402,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,7.70000000000266,5.49999999999784,2023-12-01,102.0,50498.31160861707,50552.09816389186,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.27133333333333,147.74272133333332,148.03394533333335,146.79994533333334,146.5087213333333,148.28396682283787,148.20260000000002,148.12123317716217,148.288,bearish,72.4358974358969,0.10200000000000184
16,2024-01-03 17:50:00+00:00,2024-01-03 17:49:00+00:00,1,2024-01-03 18:58:00+00:00,short,143.6245,143.56550000000001,143.6045,141.67766666666668,tp1_then_trailing_stop,8.173208719607723,232.55160235607096,5,408403,10.44642857142841,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,8,strong,immediate,15.100000000001046,7.699999999996976,2024-01-04,68.0,50552.09816389186,50784.64976624793,TOKYO_MEANREV,tokyo_meanrev,tokyo,141.67766666666668,142.21437666666668,142.54595666666668,141.14095666666668,140.80937666666668,143.67496717728756,143.5097,143.34443282271246,143.73,bearish,81.69642857142914,0.2089285714285682
17,2024-01-04 21:31:00+00:00,2024-01-04 21:30:00+00:00,1,2024-01-04 22:03:00+00:00,short,144.6585,144.5895,144.6385,142.966,tp1_then_session_close,6.450000000000955,69.69159086568008,5,156232,6.0,26.449999999999818,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,7.30000000000075,1.8999999999977035,2024-01-05,32.0,50784.64976624793,50854.34135711361,TOKYO_MEANREV,tokyo_meanrev,tokyo,142.966,143.68301400000001,144.12598599999998,142.248986,141.80601400000003,144.66019376198625,144.58865,144.51710623801375,144.626,bullish,72.28070175439012,0.07042857142856869
18,2024-01-26 18:02:00+00:00,2024-01-26 17:58:00+00:00,4,2024-01-26 18:32:00+00:00,short,147.9845,148.05949999999999,148.2645,147.56433333333334,early_exit_dead_wrong,-7.499999999998863,-76.5832317412816,4,151185,6.0,28.0,neutral,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,1.300000000000523,8.500000000000796,2024-01-27,30.0,50854.34135711361,50777.75812537233,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.56433333333334,147.89667333333333,148.10199333333335,147.23199333333335,147.02667333333332,148.01083547141582,147.955,147.8991645285842,148.031,bearish,66.27906976744006,0.11350000000000396
19,2024-01-26 18:59:00+00:00,2024-01-26 18:58:00+00:00,1,2024-01-26 19:57:00+00:00,short,148.1345,148.1145,148.1145,147.56433333333334,tp1_then_be_stop,4.000000000000625,40.81723666339292,5,151110,6.0,28.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,8,strong,immediate,7.30000000000075,3.8999999999987267,2024-01-27,58.0,50777.75812537233,50818.57536203573,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.56433333333334,147.89667333333333,148.10199333333335,147.23199333333335,147.02667333333332,148.14681121252895,148.01659999999998,147.88638878747102,148.21,bearish,81.57894736841736,0.08978571428571668
20,2024-02-15 18:21:00+00:00,2024-02-15 18:20:00+00:00,1,2024-02-15 18:51:00+00:00,long,150.0145,149.9445,149.9145,150.59066666666666,early_exit_dead_wrong,-6.999999999999318,-200.19147084419288,5,428823,6.0,10.0,neutral,ABCDE,medium,0.75,1.0,0.75,1.0,1.0,full,6,moderate,immediate,0.8000000000009777,9.199999999998454,2024-02-16,30.0,50818.57536203573,50618.38389119154,TOKYO_MEANREV,tokyo_meanrev,tokyo,150.59066666666666,150.77631866666667,150.89101466666668,150.40501466666666,150.29031866666665,150.24172885027124,150.12234999999998,150.00297114972872,150.041,bearish,28.279883381917983,0.11414285714284997
