trade_id,entry_datetime,exit_datetime,direction,mode,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,entry_session_day,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,rsi_m5,atr_m15,adx_m15,session_mean,day_type,news_event_id,news_move_pips,first_hour_high,first_hour_low,ema20_m5,roc10_m5
215,2025-12-08 00:45:00+00:00,2025-12-08 00:57:00+00:00,long,mean_reversion,morning_active,155.156,155.11599999999999,154.906,155.059,165.14600000000002,trailing_stop,-7.419988902761761,-196.61730720075644,410913,12.0,66209.73388680372,66013.11657960297,2.9999999999972715,8.100000000001728,2025-12-08,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,155.059,155.498682,155.770318,154.619318,154.347682,155.37083546659534,155.2407,155.11056453340467,38.07692307692377,0.07028571428571288,21.50345981880145,155.1851956521739,UNCLASSIFIED,,,,,,
216,2025-12-09 00:05:00+00:00,2025-12-09 00:13:00+00:00,long,mean_reversion,morning_active,155.83800000000002,155.796,155.58800000000002,155.60466666666665,165.82800000000003,trailing_stop,-15.679981401109705,-414.599986228764,411494,8.0,66013.11657960297,65598.51659337421,2.199999999996294,5.200000000002092,2025-12-09,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,155.60466666666665,156.01951866666664,156.27581466666663,155.18981466666665,154.93351866666666,155.98760042150602,155.90795,155.82829957849398,34.53453453454007,0.05214285714285438,46.19182546784127,155.81900000000002,UNCLASSIFIED,,,,,,
217,2025-12-10 00:30:00+00:00,2025-12-10 00:52:00+00:00,short,mean_reversion,morning_active,156.909,156.88600000000002,157.159,156.85538709677422,146.91899999999998,trailing_stop,4.1367712193898365,108.57857227740277,411719,22.0,65598.51659337421,65707.09516565161,9.699999999997999,2.800000000002001,2025-12-10,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,156.53133333333332,156.99431733333333,157.2803493333333,156.06834933333332,155.78231733333334,156.9147798758359,156.84720000000002,156.77962012416413,59.159159159161824,0.06328571428571397,14.732293363909019,156.85538709677422,UNCLASSIFIED,,,,,,
218,2025-12-11 00:10:00+00:00,2025-12-11 00:18:00+00:00,long,mean_reversion,morning_active,155.621,155.588,155.371,156.25266666666667,165.61100000000002,trailing_stop,-3.300000000001546,-86.75172892515056,409016,8.0,65707.09516565161,65620.34343672646,2.899999999996794,4.200000000003001,2025-12-11,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,156.25266666666667,156.69005666666666,156.9602766666667,155.81527666666668,155.54505666666665,156.10561357738482,155.839,155.57238642261518,19.568567026194742,0.09692857142857138,23.37858624120352,155.6388181818182,UNCLASSIFIED,,,,,,
219,2025-12-11 00:25:00+00:00,2025-12-11 00:54:00+00:00,long,mean_reversion,morning_active,155.63000000000002,155.74099999999999,155.38000000000002,156.25266666666667,165.62000000000003,trailing_stop,11.099999999996157,291.1461272239443,408499,29.0,65620.34343672646,65911.4895639504,18.199999999995953,1.8000000000029104,2025-12-11,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,156.25266666666667,156.69005666666666,156.9602766666667,155.81527666666668,155.54505666666665,156.06554085615585,155.78665,155.50775914384417,26.844583987441098,0.10028571428571606,25.57237891253675,155.62553846153847,UNCLASSIFIED,,,,,,
220,2025-12-12 00:35:00+00:00,2025-12-12 00:55:00+00:00,short,mean_reversion,morning_active,155.66,155.696,155.91,155.60861111111112,145.67,trailing_stop,-3.6000000000001364,-94.89053026410801,410391,20.0,65911.4895639504,65816.59903368629,4.999999999998295,4.600000000002069,2025-12-12,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,155.56033333333332,156.0259913333333,156.31367533333332,155.09467533333333,154.80699133333331,155.69057137428467,155.5746,155.45862862571533,61.72161172161137,0.07107142857142483,38.930305296593374,155.60861111111112,UNCLASSIFIED,,,,,,
221,2025-12-15 04:50:00+00:00,2025-12-15 05:06:00+00:00,long,mean_reversion,afternoon_active,155.21800000000002,155.188,155.04333333333332,155.59339175257753,165.20800000000003,trailing_stop,-3.000000000002956,-113.06544320448288,584880,16.0,65816.59903368629,65703.5335904818,3.299999999995862,3.1000000000034333,2025-12-15,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,155.80533333333332,156.06585733333333,156.2268093333333,155.54480933333332,155.38385733333334,155.49738434158616,155.339,155.18061565841384,27.81954887218302,0.1029285714285716,58.94322085122574,155.59339175257753,RANGING,,,,,,
222,2025-12-15 05:10:00+00:00,2025-12-15 05:27:00+00:00,long,mean_reversion,afternoon_active,155.25400000000002,155.166,155.04333333333332,155.57011254019312,165.24400000000003,trailing_stop,-8.800000000002228,-274.613356018785,484212,17.0,65703.5335904818,65428.92023446302,0.0,10.400000000004184,2025-12-15,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,155.80533333333332,156.06585733333333,156.2268093333333,155.54480933333332,155.38385733333334,155.46558539153304,155.30540000000002,155.145214608467,29.444444444447385,0.10107142857143003,64.6840596395714,155.57011254019312,RANGING,,,,,,
223,2025-12-16 00:15:00+00:00,2025-12-16 00:20:00+00:00,long,mean_reversion,morning_active,154.788,154.825,154.55291799999998,154.84712500000003,164.77800000000002,trailing_stop,5.027496918602844,139.87938687834554,430811,5.0,65428.92023446302,65568.79962134136,9.799999999998477,2.400000000002933,2025-12-16,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,155.343,155.781918,156.053082,154.904082,154.632918,155.33121408990257,155.0672,154.80318591009745,19.193857965450448,0.06857142857142914,56.69877664772012,154.84712500000003,UNCLASSIFIED,,,,,,
224,2025-12-16 00:25:00+00:00,2025-12-16 00:48:00+00:00,long,mean_reversion,morning_active,154.916,154.974,154.666,155.343,164.906,trailing_stop,5.799999999999273,152.06259114430196,406306,23.0,65568.79962134136,65720.86221248566,12.299999999999045,2.800000000002001,2025-12-16,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,155.343,155.781918,156.053082,154.904082,154.632918,155.28952386365117,155.0339,154.7782761363488,33.5962145110378,0.06857142857142914,56.69877664772012,154.85576923076925,UNCLASSIFIED,,,,,,
