trade_id,strategy,entry_datetime,exit_datetime,direction,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,session_day,strategy_tag,risk_pct,pivot_P,pivot_R1,pivot_S1,bb_upper,bb_lower,rsi_m5,adx_m15,combo,sl_pips,R,asian_high,asian_low,asian_mid,asian_width_pips,asian_bucket,ema20_m5,roc10_m5
223,strat_a_meanrev,2023-10-19 21:16:00+00:00,2023-10-19 22:00:00+00:00,long,strat_a_window,149.78,149.76399999999998,149.5,149.84,159.77,session_close,-1.6000000000019554,-33.782537859607004,316213,44.0,78911.41589297204,78877.63335511244,1.5999999999991132,3.0000000000001137,2023-10-19,strat_a_meanrev,0.0075,149.74433333333332,149.91852533333332,149.5701413333333,149.83703414385693,149.77586585614304,36.52173913042662,10.259272410491723,BC,28.000000000000114,-0.057142857142926745,,,,,,,
224,strat_b_breakout,2023-10-20 01:10:00+00:00,2023-10-20 01:55:00+00:00,long,strat_b_window,149.94400000000002,149.868,149.79700000000003,150.044,159.93400000000003,time_exit_45min,-7.600000000002183,-306.00664584843446,603429,45.0,78877.63335511244,78571.626709264,0.0,7.900000000003615,2023-10-20,strat_b_breakout,0.0075,,,,,,,20.44040493663389,,14.699999999999136,-0.5170068027212673,149.842,149.752,149.79700000000003,9.000000000000341,tight_under_12,149.8413938851402,0.0007341849879194108
225,strat_b_breakout,2023-10-20 01:55:00+00:00,2023-10-20 02:00:00+00:00,long,strat_b_window,149.88400000000001,149.86999999999998,149.79700000000003,149.984,159.87400000000002,session_close,-1.4000000000038426,-93.41429238699159,1000000,5.0,78571.626709264,78478.21241687701,0.0,2.400000000002933,2023-10-20,strat_b_breakout,0.0075,,,,,,,24.9234242909747,,8.699999999998909,-0.16091954023034694,149.842,149.752,149.79700000000003,9.000000000000341,tight_under_12,149.87611063273036,6.005324721262554e-05
226,strat_a_meanrev,2023-10-20 19:46:00+00:00,2023-10-22 21:45:00+00:00,short,strat_a_window,149.868,149.84,149.84799999999998,149.808,139.878,partial_tp_then_time_decay,4.3999976951053945,203.87167917485016,694175,2999.0,78478.21241687701,78682.08409605185,8.199999999999363,2.200000000001978,2023-10-20,strat_a_meanrev,0.0075,149.802,149.91507199999998,149.688928,149.89089047217163,149.83210952782838,63.02521008403923,32.385167157718335,ACD,2.000000000001023,2.199998847551572,,,,,,,
227,strat_b_breakout,2023-10-24 01:50:00+00:00,2023-10-24 02:00:00+00:00,short,strat_b_window,149.60399999999998,149.63500000000002,149.7135,149.504,139.61399999999998,session_close,-3.1000000000034333,-111.35325959847933,537495,10.0,78682.08409605185,78570.73083645338,2.2999999999967713,4.000000000002046,2023-10-24,strat_b_breakout,0.005,,,,,,,35.87589594427735,,10.950000000002547,-0.28310502283129796,149.792,149.635,149.7135,15.700000000001069,normal_12_30,149.67223806788706,-0.0005143998557008075
228,strat_a_meanrev,2023-10-24 18:31:00+00:00,2023-10-24 22:00:00+00:00,short,strat_a_window,149.86599999999999,149.876,150.00188533333335,149.80599999999998,139.87599999999998,session_close,-1.0000000000019327,-43.363113507249736,649909,209.0,78570.73083645338,78527.36772294613,2.5999999999982037,6.30000000000166,2023-10-24,strat_a_meanrev,0.0075,149.75533333333334,149.92188533333334,149.58878133333334,149.91424295650046,149.75805704349955,84.44444444445006,31.367437418388437,AC,13.588533333336272,-0.07359145946595044,,,,,,,
229,strat_a_meanrev,2023-10-24 18:45:00+00:00,2023-10-24 22:00:00+00:00,short,strat_a_window,149.897,149.876,150.00188533333335,149.8338235294117,139.90699999999998,session_close,2.0999999999986585,118.00134778075677,842170,195.0,78527.36772294613,78645.36907072688,5.699999999998795,3.2000000000010687,2023-10-24,strat_a_meanrev,0.0075,149.75533333333334,149.92188533333334,149.58878133333334,149.92870512090602,149.76469487909398,82.05128205129202,31.367437418388437,AC,10.488533333335681,0.20021865147953846,,,,,,,
230,strat_a_meanrev,2023-10-25 16:47:00+00:00,2023-10-25 17:07:00+00:00,short,strat_a_window,149.947,149.927,149.927,149.887,139.957,sl_hit,3.999997738700627,236.01446638887757,884447,20.0,78645.36907072688,78881.38353711576,7.800000000000296,5.800000000002115,2023-10-25,strat_a_meanrev,0.0075,149.70633333333333,149.9389713333333,149.47369533333335,149.96175479455172,149.91224520544824,62.38532110090715,17.049461327661763,AC,2.000000000001023,1.9999988693492903,,,,,,,
231,strat_a_meanrev,2023-10-25 16:57:00+00:00,2023-10-25 17:07:00+00:00,short,strat_a_window,149.97,149.95,149.95,149.91,139.98,sl_hit,3.9999977390482897,236.01454421172562,884583,10.0,78881.38353711576,79117.39808132748,10.099999999999909,3.500000000002501,2023-10-25,strat_a_meanrev,0.0075,149.70633333333333,149.9389713333333,149.47369533333335,149.9643949965986,149.91390500340137,66.05504587156562,17.049461327661763,ABC,2.000000000001023,1.9999988695231217,,,,,,,
232,strat_a_meanrev,2023-10-25 17:09:00+00:00,2023-10-25 19:52:00+00:00,short,strat_a_window,149.96099999999998,150.06099999999998,150.06099999999998,149.90099999999998,139.97099999999998,sl_hit,-9.99999999999943,-592.9848528264836,889839,163.0,79117.39808132748,78524.413228501,4.2999999999977945,10.200000000003229,2023-10-25,strat_a_meanrev,0.0075,149.70633333333333,149.9389713333333,149.47369533333335,149.98314878177925,149.90915121822073,79.2792792792659,17.410954172379014,ACD,9.999999999999432,-0.9999999999999998,,,,,,,
233,strat_a_meanrev,2023-10-25 17:20:00+00:00,2023-10-25 19:59:00+00:00,short,strat_a_window,149.964,150.064,150.064,149.904,139.974,sl_hit,-9.99999999999943,-592.9849930695899,889857,159.0,78524.413228501,77931.4282354314,4.599999999999227,10.400000000001342,2023-10-25,strat_a_meanrev,0.0075,149.70633333333333,149.9389713333333,149.47369533333335,149.98899857225672,149.91010142774326,60.4651162790672,17.21390983740682,AC,9.999999999999432,-0.9999999999999998,,,,,,,
234,strat_a_meanrev,2023-10-26 17:07:00+00:00,2023-10-26 18:04:00+00:00,long,strat_a_window,150.342,150.36200000000002,150.36200000000002,150.40200000000002,160.33200000000002,sl_hit,3.999993627143896,83.46999953800122,313831,57.0,77931.4282354314,78014.89823496941,6.19999999999834,11.600000000001387,2023-10-26,strat_a_meanrev,0.0075,150.09266666666664,150.29130666666666,149.89402666666663,150.49596353200215,150.34243646799783,39.495798319330135,20.350706079514655,BC,2.000000000001023,1.9999968135709247,,,,,,,
235,strat_a_meanrev,2023-10-26 17:17:00+00:00,2023-10-26 19:06:00+00:00,long,strat_a_window,150.31300000000002,150.33300000000003,150.33300000000003,150.37677083333327,160.30300000000003,sl_hit,4.18854166666307,87.40246704872854,313770,109.0,78014.89823496941,78102.30070201814,10.899999999998045,8.70000000000175,2023-10-26,strat_a_meanrev,0.0075,150.09266666666664,150.29130666666666,149.89402666666663,150.49737247183367,150.32302752816634,30.909090909089286,20.350706079514655,BC,2.000000000001023,2.0942708333304636,,,,,,,
236,strat_a_meanrev,2023-10-26 18:23:00+00:00,2023-10-26 22:00:00+00:00,short,strat_a_window,150.398,150.38500000000002,150.498,150.338,140.408,session_close,1.2999999999976808,76.07107091784148,879996,217.0,78102.30070201814,78178.37177293598,5.89999999999975,5.000000000001137,2023-10-26,strat_a_meanrev,0.0075,150.09266666666664,150.29130666666666,149.89402666666663,150.46149892081732,150.22970107918266,66.98412698412852,16.993315071930834,AC,9.999999999999432,0.12999999999977546,,,,,,,
237,strat_a_meanrev,2023-10-26 20:02:00+00:00,2023-10-26 22:00:00+00:00,short,strat_a_window,150.404,150.38500000000002,150.504,150.344,140.414,session_close,1.8999999999977035,111.30979153492547,881017,118.0,78178.37177293598,78289.6815644709,5.599999999998317,3.6000000000001364,2023-10-26,strat_a_meanrev,0.0075,150.09266666666664,150.29130666666666,149.89402666666663,150.43732979370918,150.33527020629083,57.89473684210583,13.161792426810079,AB,9.999999999999432,0.18999999999978115,,,,,,,
