trade_id,strategy,entry_datetime,exit_datetime,direction,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,session_day,strategy_tag,risk_pct,asian_high,asian_low,asian_mid,asian_width_pips,asian_bucket,adx_m15,ema20_m5,roc10_m5,sl_pips,R,pivot_P,pivot_R1,pivot_S1,bb_upper,bb_lower,rsi_m5,combo
29,strat_a_meanrev,2025-01-14 21:15:00+00:00,2025-01-14 21:34:00+00:00,short,strat_a_window,158.004,157.98399999999998,157.98399999999998,157.944,148.01399999999998,sl_hit,4.000000000000625,253.238287608529,1000000,19.0,94248.08876317822,94501.32705078676,6.89999999999884,1.4000000000010004,2025-01-14,strat_a_meanrev,0.0075,,,,,,20.82728339457126,,,2.000000000001023,1.9999999999992895,157.45166666666668,157.85429466666668,157.0490386666667,158.0156870678508,157.8765129321492,83.33333333333333,ABCDE
30,strat_a_meanrev,2025-01-15 18:21:00+00:00,2025-01-15 22:04:00+00:00,long,strat_a_window,156.447,156.44199999999998,156.347,156.5684464285714,166.437,session_close,-0.5000000000023874,-31.960726659233938,1000000,223.0,94501.32705078676,94469.36632412752,11.299999999999955,4.900000000000659,2025-01-15,strat_a_meanrev,0.0075,,,,,,28.968019448946457,,,9.999999999999432,-0.05000000000024159,157.765,158.176796,157.35320399999998,156.6413839380242,156.46131606197582,32.89036544849962,ABCE
31,strat_a_meanrev,2025-01-16 21:51:00+00:00,2025-01-16 22:04:00+00:00,long,strat_a_window,155.142,155.16,155.042,155.25640062111788,165.132,session_close,1.8000000000000682,116.0092807424638,1000000,13.0,94469.36632412752,94585.37560486999,2.2999999999996135,3.2000000000010687,2025-01-16,strat_a_meanrev,0.0075,,,,,,20.535488455704783,,,9.999999999999432,0.18000000000001706,156.829,157.649918,156.008082,155.2688475861634,155.12695241383662,34.23423423422996,ABCE
32,strat_b_breakout,2025-01-30 00:50:00+00:00,2025-01-30 00:54:00+00:00,short,strat_b_window,154.94299999999998,154.79,155.172464,154.7800357142857,144.95299999999997,partial_tp_then_trail,15.89785625134545,229.59492231047335,223537,4.0,94585.37560486999,94814.97052718046,25.699999999997658,1.700000000002433,2025-01-30,strat_b_breakout,0.0034999999999999996,155.39,155.038,155.214,35.199999999997544,wide_30_40,29.56737155504201,155.02999437398435,-0.001346996648620799,22.94640000000072,0.6928257265342255,,,,,,,
33,strat_a_meanrev,2025-01-30 19:53:00+00:00,2025-01-30 20:18:00+00:00,long,strat_a_window,154.168,154.068,154.068,154.318,164.15800000000002,sl_hit,-9.999999999999432,-649.0640496403817,1000000,25.0,94814.97052718046,94165.90647754008,0.0,15.400000000002478,2025-01-30,strat_a_meanrev,0.0075,,,,,,28.212950894231717,,,9.999999999999432,-1.0,155.326,155.651464,155.00053599999998,154.52554494399672,154.14975505600327,13.111545988263217,ABCDE
34,strat_a_meanrev,2025-01-31 19:56:00+00:00,2025-02-02 22:04:00+00:00,short,strat_a_window,155.16,154.887,155.14,155.01,145.17,partial_tp_then_session_close,21.15000000000009,1365.1274006887033,1000000,3008.0,94165.90647754008,95531.03387822877,27.299999999999613,7.00000000000216,2025-01-31,strat_a_meanrev,0.0075,,,,,,27.197216852889,,,2.000000000001023,10.574999999994635,154.43633333333335,154.99137933333336,153.88128733333335,155.18155832387055,154.99654167612943,66.00000000000186,ABC
35,strat_b_breakout,2025-02-06 01:10:00+00:00,2025-02-06 01:39:00+00:00,short,strat_b_window,152.346,152.019,152.585072,152.15025,142.356,partial_tp_then_trail,24.82500000000016,496.85563199566036,304380,29.0,95531.03387822877,96027.88951022443,48.599999999999,4.800000000000182,2025-02-06,strat_b_breakout,0.005,152.768,152.472,152.62,29.599999999999227,normal_12_30,25.876241486175697,152.50771617968638,-0.002128648995605084,23.907199999999307,1.0383901084192577,,,,,,,
36,strat_a_meanrev,2025-02-11 18:30:00+00:00,2025-02-11 19:33:00+00:00,short,strat_a_window,152.44899999999998,152.54899999999998,152.54899999999998,152.35775206611564,142.45899999999997,sl_hit,-9.999999999999432,-655.5270765458596,1000000,63.0,96027.88951022443,95372.36243367857,1.8999999999977035,11.100000000001842,2025-02-11,strat_a_meanrev,0.0075,,,,,,15.82922572379616,,,9.999999999999432,-1.0,151.924,152.42212800000001,151.425872,152.43521183513414,152.2976881648659,67.08074534161386,ABC
37,strat_a_meanrev,2025-02-14 19:38:00+00:00,2025-02-14 21:02:00+00:00,long,strat_a_window,152.264,152.28400000000002,152.28400000000002,152.324,162.25400000000002,sl_hit,4.000000000000625,262.61539003194383,1000000,84.0,95372.36243367857,95634.97782371052,8.199999999999363,9.400000000002251,2025-02-14,strat_a_meanrev,0.0075,,,,,,28.024020300036913,,,2.000000000001023,1.9999999999992895,153.39499999999998,154.147922,152.64207799999997,152.3891061523158,152.24769384768425,28.506787330320122,ABCDE
38,strat_a_meanrev,2025-02-14 19:48:00+00:00,2025-02-14 21:03:00+00:00,long,strat_a_window,152.25,152.27,152.27,152.31,162.24,sl_hit,4.000000000000625,262.6395306462286,1000000,75.0,95634.97782371052,95897.61735435674,9.600000000000364,8.00000000000125,2025-02-14,strat_a_meanrev,0.0075,,,,,,26.503436464770857,,,2.000000000001023,1.9999999999992895,153.39499999999998,154.147922,152.64207799999997,152.40119022155375,152.22120977844628,22.2748815165954,ABCDE
39,strat_b_breakout,2025-02-18 00:50:00+00:00,2025-02-18 02:00:00+00:00,long,strat_b_window,151.708,151.72799999999998,151.47811,151.87675,161.698,session_close,1.999999999998181,29.196325002609747,221495,70.0,95897.61735435674,95926.81367935936,8.29999999999984,12.600000000000477,2025-02-18,strat_b_breakout,0.0034999999999999996,151.629,151.234,151.4315,39.49999999999818,wide_30_40,37.87802372118359,151.56701012629333,0.0016573235874781367,22.98900000000117,0.08699812954013134,,,,,,,
40,strat_a_meanrev,2025-02-25 20:59:00+00:00,2025-02-25 22:04:00+00:00,long,strat_a_window,148.959,148.999,148.859,149.07235925925934,158.949,session_close,3.999999999999204,268.4581775716082,1000000,65.0,95926.81367935936,96195.27185693097,7.399999999998386,3.0000000000001137,2025-02-25,strat_a_meanrev,0.0075,,,,,,16.644709509917973,,,9.999999999999432,0.3999999999999432,149.47966666666665,149.87274466666665,149.08658866666664,149.14217730890743,148.96272269109255,16.95652173913382,ABCD
41,strat_b_breakout,2025-02-26 00:20:00+00:00,2025-02-26 01:00:00+00:00,short,strat_b_window,148.778,148.978734,148.978734,148.60689285714284,138.78799999999998,sl_hit,-20.07340000000113,-336.2289387289519,249539,40.0,96195.27185693097,95859.04291820202,8.499999999997954,27.50000000000057,2025-02-26,strat_b_breakout,0.0034999999999999996,149.187,148.85,149.01850000000002,33.70000000000175,wide_30_40,24.146029855022004,148.9469807172101,-0.0010339734121122355,20.07340000000113,-1.0,,,,,,,
