trade_id,entry_datetime,exit_datetime,direction,entry_type,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,pnl_usd,usd,position_units,entry_level_name,entry_level_tier,entry_level_price,zone_distance_at_entry_pips,confirmation_signals_present,confluence_count,ib_classification,session_phase_at_entry,rsi_at_entry,vwap_at_entry,breakout_candle_body_pct,mfe_pips,mae_pips,time_to_mfe_minutes,trade_duration_minutes,day_of_week,hour_utc,partial_close_executed,structural_stop_triggered,duration_min,is_win,month,dow,equity_after,drawdown_usd,drawdown_pct
15,2025-07-03 02:20:00+00:00,2025-07-03 02:22:00+00:00,long,1,143.69896039628395,143.70697673970201,143.61896039628394,143.78600000000003,143.87100000000004,Trailing_Stop,0.8016343418063343,27.891281272249685,27.891281272249685,500000,IB_High,1,143.616,7.499999999998863,"VWAP_support,RSI_momentum,PTS_alignment",3,normal,Active_Trading,55.8544303797463,143.5559219858156,0.5769230769234133,5.401634341805561,2.295186621290668,2.0,2.0,Thursday,2,n,n,2.0,True,2025-07,Thursday,99615.90409420793,106.86659072185284,0.10716367985752591
16,2025-07-03 02:25:00+00:00,2025-07-03 02:33:00+00:00,long,1,143.76012178907618,143.68012178907617,143.68012178907617,143.8101217890762,143.87100000000004,SL_Hit_PipBased,-8.00000000000125,-278.39620054558867,-278.39620054558867,500000,IB_High,1,143.616,13.599999999999568,"VWAP_support,RSI_momentum,PTS_alignment",3,normal,Active_Trading,55.8544303797463,143.56210730593608,0.7922077922079025,0.0,8.250783427629926,,8.0,Thursday,2,n,n,8.0,False,2025-07,Thursday,99337.50789366235,385.2627912674361,0.3863338218757067
17,2025-07-04 03:30:00+00:00,2025-07-04 04:22:00+00:00,short,1,144.4849000727503,144.39135318994838,144.5649000727503,144.36200000000002,144.25650000000002,TP1_partial_plus_trail_final,11.115879677092835,384.9738502716781,384.9738502716781,500000,IB_Low,1,144.573,8.00000000000125,"VWAP_support,RSI_momentum",2,wide,Afternoon_Trading,33.29223181257804,144.6566887835703,0.6176470588236032,13.754688280189953,5.1830506865343295,52.0,52.0,Friday,3,y,n,52.0,True,2025-07,Friday,99722.48174393403,0.2889409957570024,0.0002897442517616164
18,2025-07-04 04:20:00+00:00,2025-07-04 04:22:00+00:00,short,1,144.40958415876227,144.39135318994838,144.48958415876228,144.35958415876226,144.25650000000002,TP1_partial_plus_trail_final,3.7292387525565123,129.1593601819488,129.1593601819488,500000,IB_Low,1,144.573,15.500000000000114,"VWAP_support,RSI_momentum",2,wide,Afternoon_Trading,37.60217983651419,144.6241558109834,0.9253731343280099,6.223096881387846,1.6800735550305035,2.0,2.0,Friday,4,y,n,2.0,True,2025-07,Friday,99851.64110411597,0.0,0.0
19,2025-07-04 04:25:00+00:00,2025-07-04 04:29:00+00:00,short,1,144.3537452290723,144.43374522907231,144.43374522907231,144.3037452290723,144.25650000000002,SL_Hit_PipBased,-8.00000000000125,-276.94359054780546,-276.94359054780546,500000,IB_Low,1,144.573,21.100000000001273,"VWAP_support,RSI_momentum",2,wide,Afternoon_Trading,37.60217983651419,144.61951002506265,0.6835443037974274,0.0,9.73753335144636,,4.0,Friday,4,n,n,4.0,False,2025-07,Friday,99574.69751356817,276.94359054780216,0.2773550714695127
20,2025-07-04 05:35:00+00:00,2025-07-04 06:04:00+00:00,short,1,144.3443482454266,144.42434824542661,144.42434824542661,144.2943482454266,144.25650000000002,SL_Hit_PipBased,-8.00000000000125,-276.9616099082719,-276.9616099082719,500000,IB_Low,1,144.573,22.100000000000364,"VWAP_support,RSI_momentum",2,wide,Afternoon_Trading,16.83168316831683,144.569310515873,0.625000000000111,3.1273003859524806,9.53374723366096,18.0,29.0,Friday,5,n,n,29.0,False,2025-07,Friday,99297.7359036599,553.9052004560799,0.5547281890725454
21,2025-07-09 01:10:00+00:00,2025-07-09 01:14:00+00:00,long,1,147.0278353452312,146.9478353452312,146.9478353452312,147.09400000000002,147.1845,SL_Hit_PipBased,-8.00000000000125,-272.2054387941983,-272.2054387941983,500000,IB_High,1,146.913,10.499999999998977,"VWAP_support,RSI_momentum,PTS_alignment",3,normal,Active_Trading,73.33333333333478,146.8338122065728,0.9113924050633457,0.0,10.156215729492146,,4.0,Wednesday,1,n,n,4.0,False,2025-07,Wednesday,99025.53046486569,826.1106392502843,0.8273380688744947
22,2025-07-09 01:15:00+00:00,2025-07-09 01:18:00+00:00,long,4,146.93370295284714,146.85370295284713,146.85370295284713,147.09400000000002,147.1845,SL_Hit_PipBased,-8.00000000000125,-272.3799209397515,-272.3799209397515,500000,PTS_High_Breakout,1,146.445,47.90000000000134,"VWAP_support,RSI_momentum,PTS_alignment",0,normal,Active_Trading,79.6923076923071,146.84288596491228,0.7580645161290138,0.8616510110783793,9.134319321691464,1.0,3.0,Wednesday,1,n,n,3.0,False,2025-07,Wednesday,98753.15054392593,1098.490560190039,1.1001226900663912
23,2025-07-09 01:50:00+00:00,2025-07-09 01:55:00+00:00,long,4,146.89867682325303,146.85430115083457,146.818676823253,147.09400000000002,147.1845,Structural_Stop,-4.437567241845386,-151.08741136861715,-151.08741136861715,500000,PTS_High_Breakout,1,146.445,44.40000000000168,"VWAP_support,PTS_alignment",0,normal,Active_Trading,64.41136671177216,146.83490990990992,0.8717948717949933,1.3639930660275468,6.937567241845954,1.0,5.0,Wednesday,1,n,y,5.0,False,2025-07,Wednesday,98602.06313255732,1249.577971558654,1.251434586093293
24,2025-07-09 02:20:00+00:00,2025-07-09 02:23:00+00:00,long,2,146.94325638252326,146.88325638252326,146.88325638252326,147.02325638252327,,SL_Hit_PipBased,-6.000000000000227,-204.24383785360203,-204.24383785360203,500000,IB_High_Retest,1,146.913,2.2999999999996135,"VWAP_support,PTS_alignment",0,normal,Active_Trading,68.87755102040786,146.84145626477542,0.8780487804879064,0.0,6.84053189322924,,3.0,Wednesday,2,n,n,3.0,False,2025-07,Wednesday,98397.81929470372,1453.8218094122567,1.4559818880656623
