trade_id,entry_datetime,exit_datetime,equity_after
76,2025-08-18 02:25:00+00:00,2025-08-18 02:31:00+00:00,93813.2509132974
75,2025-08-18 02:20:00+00:00,2025-08-18 03:01:00+00:00,93609.74626305587
77,2025-08-18 03:30:00+00:00,2025-08-18 03:54:00+00:00,93639.70729264981
78,2025-08-18 03:35:00+00:00,2025-08-18 04:12:00+00:00,93429.22884399194
79,2025-08-19 01:10:00+00:00,2025-08-19 01:19:00+00:00,93158.58695161688
80,2025-08-19 01:45:00+00:00,2025-08-19 01:48:00+00:00,92955.51742183481
81,2025-08-19 02:15:00+00:00,2025-08-19 02:17:00+00:00,92752.44490647325
82,2025-08-19 02:25:00+00:00,2025-08-19 02:39:00+00:00,92481.80102093024
84,2025-08-19 03:50:00+00:00,2025-08-19 03:57:00+00:00,92231.93167883625
83,2025-08-19 03:45:00+00:00,2025-08-19 04:57:00+00:00,91982.06205912445
85,2025-08-19 05:40:00+00:00,2025-08-19 06:04:00+00:00,91969.01274536204
86,2025-08-19 06:25:00+00:00,2025-08-19 07:09:00+00:00,92076.26455100023
88,2025-08-21 06:45:00+00:00,2025-08-21 06:47:00+00:00,91910.45998523601
87,2025-08-21 06:40:00+00:00,2025-08-21 07:00:00+00:00,92048.5275903317
89,2025-08-22 01:50:00+00:00,2025-08-22 01:56:00+00:00,91779.25623244312
90,2025-08-22 02:00:00+00:00,2025-08-22 02:04:00+00:00,91509.86000520235
91,2025-08-22 03:35:00+00:00,2025-08-22 04:02:00+00:00,91752.18136075063
92,2025-08-22 03:40:00+00:00,2025-08-22 04:02:00+00:00,91846.36117261394
93,2025-08-22 03:55:00+00:00,2025-08-22 05:05:00+00:00,92018.40740183748
94,2025-08-22 04:30:00+00:00,2025-08-22 05:34:00+00:00,91749.32545276861
95,2025-08-22 06:20:00+00:00,2025-08-22 06:30:00+00:00,91547.29693726514
96,2025-08-25 06:10:00+00:00,2025-08-25 06:27:00+00:00,91621.70226860377
98,2025-08-25 06:20:00+00:00,2025-08-25 06:32:00+00:00,91349.97492059424
99,2025-08-25 06:30:00+00:00,2025-08-25 06:33:00+00:00,91212.59874138741
97,2025-08-25 06:15:00+00:00,2025-08-25 06:37:00+00:00,90940.94916294937
100,2025-08-27 01:20:00+00:00,2025-08-27 02:25:00+00:00,91147.04069425532
101,2025-08-27 01:45:00+00:00,2025-08-27 02:47:00+00:00,91452.41368654932
102,2025-08-27 01:50:00+00:00,2025-08-27 02:49:00+00:00,91601.7723650527
103,2025-08-27 02:25:00+00:00,2025-08-27 03:27:00+00:00,91776.3393372463
104,2025-08-27 04:50:00+00:00,2025-08-27 05:16:00+00:00,91505.84373551472
105,2025-08-27 05:00:00+00:00,2025-08-27 05:16:00+00:00,91235.35165187166
106,2025-08-28 03:30:00+00:00,2025-08-28 04:05:00+00:00,91512.21715339716
107,2025-08-28 03:35:00+00:00,2025-08-28 04:05:00+00:00,91615.94204542262
109,2025-08-28 04:05:00+00:00,2025-08-28 04:13:00+00:00,91344.20019743363
110,2025-08-28 04:15:00+00:00,2025-08-28 04:37:00+00:00,91404.4772733221
108,2025-08-28 03:45:00+00:00,2025-08-28 04:45:00+00:00,91132.7581874462
